X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...1,2,15,15,all around,391.34815655162,195.67407827581,45,622.74369890351,1,1049.81331953121,119.87938492761776,268.25559337794823,30
1...2,3,15,15,all around,391.34815655162,195.67407827581,75,519.302988520932,1,842.931898766054,96.25535862420479,215.39181535785997,45
1...3,4,15,15,all around,391.34815655162,195.67407827581,105,469.888653643313,1,744.103229010816,84.96999967223125,190.13842701279378,60
1...4,5,15,15,all around,391.34815655162,195.67407827581,135,442.509761673263,1,689.345445070717,78.71714562988615,176.14633761020164,75
1...5,6,15,15,all around,391.34815655162,195.67407827581,165,425.387873791608,1,655.101669307407,74.80680966850018,167.39613010569965,90
1...6,7,15,15,all around,391.34815655162,195.67407827581,195,413.680628603618,1,631.687178931425,72.13308220434517,161.413096843885,105
1...7,8,15,15,all around,391.34815655162,195.67407827581,225,405.152165635096,1,614.630252994382,70.18533230248477,157.0545926190687,120
1...8,9,15,15,all around,391.34815655162,195.67407827581,255,398.650858266037,1,601.627638256265,68.70054883836156,153.73207416064793,135
1...9,10,15,15,all around,391.34815655162,195.67407827581,285,393.525381448276,1,591.376684620742,67.52998070602278,151.11267926535837,150
1...10,11,15,15,all around,391.34815655162,195.67407827581,315,387.025216289782,1,578.376354303755,66.04545810256391,147.79074453809656,165
1...11,12,15,15,all around,391.34815655162,195.67407827581,345,379.373269944331,1,563.072461612853,64.29788907419338,143.88018754818947,180
1...12,13,15,15,all around,391.34815655162,195.67407827581,375,372.786525388158,1,549.89897250050706,62.79359326963654,140.514006082452,195
1...13,14,15,15,all around,391.34815655162,195.67407827581,405,367.034159441566,1,538.394240607321,61.47985476255781,137.5742370556702,210
1...14,15,15,15,all around,391.34815655162,195.67407827581,435,361.949027382071,1,528.223976488332,60.318500658496475,134.97546050626602,225
1...15,16,15,15,all around,391.34815655162,195.67407827581,465,357.406946900473,1,519.139815525137,59.281169917315204,132.65421258133892,240
1...16,17,15,15,all around,391.34815655162,195.67407827581,495,353.313608995143,1,510.953139714477,58.34632403326605,130.56229629820186,255
1...17,18,15,15,all around,391.34815655162,195.67407827581,525,349.596019028179,1,503.517959780547,57.4972923237963,128.662407462786,270
1...18,19,15,15,all around,391.34815655162,195.67407827581,555,346.196733478434,1,496.719388681059,56.72095570600864,126.92518933982515,285
1...19,20,15,15,all around,391.34815655162,195.67407827581,585,343.069879329835,1,490.46568038386,56.006837595448054,125.32719834574362,300
1...20,2,30,15,all around,391.34815655162,195.67407827581,60,560.693019329884,1,1324.19700136769,151.2115717086167,338.3680181442287,30
1...21,3,30,15,all around,391.34815655162,195.67407827581,105,469.888653643313,1,946.65108964256,108.0991717823556,241.89486363856014,45
1...22,4,30,15,all around,391.34815655162,195.67407827581,150,433.059756188744,1,832.490506901421,95.06304413244412,212.72375836312722,60
1...23,5,30,15,all around,391.34815655162,195.67407827581,195,413.680628603618,1,776.015237280371,88.61406843377793,198.2928050864633,75
1...24,6,30,15,all around,391.34815655162,195.67407827581,240,401.696731891966,1,742.055575437147,84.73617576621919,189.6151963448096,90
1...25,7,30,15,all around,391.34815655162,195.67407827581,285,393.525381448276,1,719.274516350306,82.13478054621025,183.7940218469974,105
1...26,8,30,15,all around,391.34815655162,195.67407827581,330,383.048375773955,1,691.586501835652,78.9730544677434,176.7189880053593,120
1...27,9,30,15,all around,391.34815655162,195.67407827581,375,372.786525388158,1,664.958298543299,75.93234944616842,169.91476449067903,135
1...28,10,30,15,all around,391.34815655162,195.67407827581,420,364.416776369712,1,643.365917918062,73.46669078065226,164.39732937216485,150
1...29,11,30,15,all around,391.34815655162,195.67407827581,465,357.406946900473,1,625.366043672078,71.41126453177728,159.79787644396134,165
1...30,12,30,15,all around,391.34815655162,195.67407827581,510,351.411746676095,1,610.030588367292,69.66009133239012,155.8792543556615,180
1...31,13,30,15,all around,391.34815655162,195.67407827581,555,346.196733478434,1,596.733876824426,68.14172461741023,152.4815862383435,195
1...32,14,30,15,all around,391.34815655162,195.67407827581,600,341.59673333692,1,585.037652523415,66.80611937303519,149.49288574104904,210
1...33,15,30,15,all around,391.34815655162,195.67407827581,645,337.491744093765,1,574.625059992645,65.61709351018177,146.83218775219916,225
1...34,16,30,15,all around,391.34815655162,195.67407827581,690,333.792289806829,1,565.260825454566,64.54778084681782,144.4393734815016,240
1...35,17,30,15,all around,391.34815655162,195.67407827581,735,330.430156974839,1,556.766229359861,63.57777319298417,142.26877526799385,255
1...36,18,30,15,all around,391.34815655162,195.67407827581,780,327.352332351524,1,549.002816295985,62.69126016659956,140.28501402269157,270
1...37,19,30,15,all around,391.34815655162,195.67407827581,825,324.516917762817,1,541.86146805622,61.87578143470537,138.4602071032745,285
1...38,20,30,15,all around,391.34815655162,195.67407827581,870,321.890305809097,1,535.254879664503,61.12136754212622,136.7720457356751,300
1...39,2,45,15,all around,391.34815655162,195.67407827581,75,519.302988520932,1,1356.00942339642,154.8442686033036,346.4969492497298,30
1...40,3,45,15,all around,391.34815655162,195.67407827581,135,442.509761673263,1,967.915084375788,110.52733168688202,247.32838731236419,45
1...41,4,45,15,all around,391.34815655162,195.67407827581,195,413.680628603618,1,862.075370555112,98.44137358587079,220.28348827584213,60
1...42,5,45,15,all around,391.34815655162,195.67407827581,255,398.650858266037,1,810.867883816727,92.59393204585685,207.19859548125177,75
1...43,6,45,15,all around,391.34815655162,195.67407827581,315,387.025216289782,1,773.937323035821,88.3767890271114,197.76184200160822,90
1...44,7,45,15,all around,391.34815655162,195.67407827581,375,372.786525388158,1,732.078659938732,83.59690036251324,187.06582557829648,105
1...45,8,45,15,all around,391.34815655162,195.67407827581,435,361.949027382071,1,700.657037768696,80.00882935113194,179.0367543679172,120
1...46,9,45,15,all around,391.34815655162,195.67407827581,495,353.313608995143,1,675.876453287981,77.17910603706545,172.70464724901058,135
1...47,10,45,15,all around,391.34815655162,195.67407827581,555,346.196733478434,1,655.616892474176,74.86564359181173,167.52778350897844,150
1...48,11,45,15,all around,391.34815655162,195.67407827581,615,340.178342761611,1,638.595018500228,72.92189631374944,163.17823600530886,165
1...49,12,45,15,all around,391.34815655162,195.67407827581,675,334.984953164426,1,623.985004961151,71.2535621401739,159.44498383726145,180
1...50,13,45,15,all around,391.34815655162,195.67407827581,735,330.430156974839,1,611.229236984594,69.79696639037725,156.1855413784148,195
1...51,14,45,15,all around,391.34815655162,195.67407827581,795,326.382067881761,1,599.936260652654,68.50740849328403,153.2998816038937,210
1...52,15,45,15,all around,391.34815655162,195.67407827581,855,322.744440637665,1,589.822294473291,67.3524831154062,150.7154906951738,225
1...53,16,45,15,all around,391.34815655162,195.67407827581,915,319.445182776838,1,580.675984974363,66.3080555617734,148.37836214459597,240
1...54,17,45,15,all around,391.34815655162,195.67407827581,975,316.429076758045,1,572.336261188142,65.35573295416461,146.2473379793854,255
