X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...1,2,15,15,all around,391.34815655162,195.67407827581,45,0,1255.25870262127,143.33942844473853,320.7524250738863,30
1...2,3,15,15,all around,391.34815655162,195.67407827581,75,0,944.47664646642,107.85086962647124,241.33923481043428,45
1...3,4,15,15,all around,391.34815655162,195.67407827581,105,0,791.87051523122,90.42460077628333,202.3442558689477,60
1...4,5,15,15,all around,391.34815655162,195.67407827581,135,0,701.284125595208,80.08043722801754,179.19699220627518,75
1...5,6,15,15,all around,391.34815655162,195.67407827581,165,0,641.367545919485,73.23849439412426,163.88669147465035,90
1...6,7,15,15,all around,391.34815655162,195.67407827581,195,0,598.852961335569,68.3837053039564,153.0230694357643,105
1...7,8,15,15,all around,391.34815655162,195.67407827581,225,0,567.160756930021,64.7647361973023,144.92485717259558,120
1...8,9,15,15,all around,391.34815655162,195.67407827581,255,0,542.656815665775,61.96660308886352,138.66343985044347,135
1...9,10,15,15,all around,391.34815655162,195.67407827581,285,0,523.170132709123,59.74139645101473,133.68406723032956,150
1...10,11,15,15,all around,391.34815655162,195.67407827581,315,0,507.323811171642,57.931886851606365,129.63490505281695,165
1...11,12,15,15,all around,391.34815655162,195.67407827581,345,0,494.202382184064,56.43353585230234,126.28202635186739,180
1...12,13,15,15,all around,391.34815655162,195.67407827581,375,0,483.173441356056,55.17412847170719,123.46383476379657,195
1...13,14,15,15,all around,391.34815655162,195.67407827581,405,0,473.786083446671,54.10217532409901,121.0651118486046,210
1...14,15,15,15,all around,391.34815655162,195.67407827581,435,0,465.71014006665,53.17997410308622,119.0014906854995,225
1...15,16,15,15,all around,391.34815655162,195.67407827581,465,0,458.698296251566,52.37928362972076,117.20977563645742,240
1...16,17,15,15,all around,391.34815655162,195.67407827581,495,0,452.561629025478,51.67853057307503,115.64169179005287,255
1...17,18,15,15,all around,391.34815655162,195.67407827581,525,0,447.153329368439,51.06095064307416,114.25972548549828,270
1...18,19,15,15,all around,391.34815655162,195.67407827581,555,0,442.357582295168,50.513318793947995,113.03428287308664,285
1...19,20,15,15,all around,391.34815655162,195.67407827581,585,0,438.081793815682,50.02506161196608,111.94170369316603,300
1...20,2,30,15,all around,391.34815655162,195.67407827581,60,0,1281.41370795249,146.32609844934976,327.43573375781773,30
1...21,3,30,15,all around,391.34815655162,195.67407827581,105,0,979.455192677521,111.8451098665565,250.27719596484874,45
1...22,4,30,15,all around,391.34815655162,195.67407827581,150,0,831.75123617467,94.97862596173785,212.5348547706675,60
1...23,5,30,15,all around,391.34815655162,195.67407827581,195,0,744.554909158065,85.02157754539104,190.2538434622359,75
1...24,6,30,15,all around,391.34815655162,195.67407827581,240,0,687.283565788028,78.48169727387355,175.61947189021018,90
1...25,7,30,15,all around,391.34815655162,195.67407827581,285,0,646.989097659588,73.88042582365047,165.32314943311818,105
