X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...1,2,30,15,elevee,312.947910877278,156.473955438639,60,395.87382097076,1,902.47021433292,158.79656269321174,288.37713337118976,30
1...2,3,30,15,elevee,312.947910877278,156.473955438639,105,349.82529698049,1,689.157116710506,121.26248551048822,220.21464044243385,45
1...3,4,30,15,elevee,312.947910877278,156.473955438639,150,332.215263907082,1,629.777091443359,110.81411418996889,201.24022866231087,60
1...4,5,30,15,elevee,312.947910877278,156.473955438639,195,323.208648589931,1,601.382137473345,105.81780404404,192.16684840218537,75
1...5,6,30,15,elevee,312.947910877278,156.473955438639,240,317.694598701003,1,584.546840016595,102.85550420788887,186.78726385421504,90
1...6,7,30,15,elevee,312.947910877278,156.473955438639,285,313.946011935033,1,573.323426958286,100.88065851543246,183.200912046706,105
1...7,8,30,15,elevee,312.947910877278,156.473955438639,330,308.754102534943,1,559.126055043838,98.38252193043955,178.66425549109942,120
1...8,9,30,15,elevee,312.947910877278,156.473955438639,375,303.595011110187,1,545.397468964597,95.96687181213312,174.2773956968429,135
1...9,10,30,15,elevee,312.947910877278,156.473955438639,420,299.408666481497,1,534.334362951904,94.02023337506867,170.74226872261895,150
1...10,11,30,15,elevee,312.947910877278,156.473955438639,465,295.917222639147,1,525.160011553147,92.40593581275063,167.81067816716873,165
1...11,12,30,15,elevee,312.947910877278,156.473955438639,510,292.941481274883,1,517.378180989706,91.0366629821245,165.3240564985254,180
1...12,13,30,15,elevee,312.947910877278,156.473955438639,555,290.360414982835,1,510.656246578749,89.85388701660612,163.1761161617091,195
1...13,14,30,15,elevee,312.947910877278,156.473955438639,600,288.089162737171,1,504.762426341742,88.81682409762635,161.29279308072574,210
1...14,15,30,15,elevee,312.947910877278,156.473955438639,645,286.066340264099,1,499.529937087793,87.89612744231296,159.62079302190415,225
1...15,16,30,15,elevee,312.947910877278,156.473955438639,690,284.246361259325,1,494.835476767184,87.07010110839855,158.12071580220035,240
1...16,17,30,15,elevee,312.947910877278,156.473955438639,735,282.59459996338,1,490.585758641247,86.32233057802968,156.7627523909656,255
1...17,18,30,15,elevee,312.947910877278,156.473955438639,780,281.084237498266,1,486.708781783736,85.64014673546492,155.5238954685331,270
1...18,19,30,15,elevee,312.947910877278,156.473955438639,825,279.694144195051,1,483.147997627148,85.01359942611512,154.38607539278757,285
1...19,20,30,15,elevee,312.947910877278,156.473955438639,870,278.407420413188,1,479.85830743327,84.43475318075784,153.3348812229156,300
1...20,2,60,15,elevee,312.947910877278,156.473955438639,90,360.027814544575,1,981.785127581564,172.75263059901488,313.72157904149407,30
1...21,3,60,15,elevee,312.947910877278,156.473955438639,165,328.632290736243,1,756.327836771195,133.08168939097277,241.6785063849772,45
