X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...1,2,30,15,faible,350.281232790258,175.140616395129,60,573.246901542092,1,1398.00619829292,145.27988118181185,399.1096488831934,30
1...2,3,30,15,faible,350.281232790258,175.140616395129,105,455.932228351244,1,939.818581999153,97.66532658583229,268.3040066157067,45
1...3,4,30,15,faible,350.281232790258,175.140616395129,150,406.840633607444,1,794.17269456528,82.52990211714967,226.7243061351266,60
1...4,5,30,15,faible,350.281232790258,175.140616395129,195,380.641197819501,1,720.751016824701,74.89996983834754,205.76352637661105,75
1...5,6,30,15,faible,350.281232790258,175.140616395129,240,364.36097863776,1,676.267686894918,70.27729155933743,193.06420772472694,90
1...6,7,30,15,faible,350.281232790258,175.140616395129,285,353.244232099712,1,646.329866160562,67.16617299316758,184.51741219820718,105
1...7,8,30,15,faible,350.281232790258,175.140616395129,330,340.92083869052,1,614.20069057075,63.8273302771216,175.34501796689807,120
1...8,9,30,15,faible,350.281232790258,175.140616395129,375,329.494600983073,1,584.802825208431,60.7723235167426,166.95237154158363,135
1...9,10,30,15,faible,350.281232790258,175.140616395129,420,320.310441907065,1,561.28883869902,58.328765562300546,160.2394836365982,150
1...10,11,30,15,faible,350.281232790258,175.140616395129,465,312.722368828565,1,541.936673462025,56.31770132690984,154.71473282912842,165
1...11,12,30,15,faible,350.281232790258,175.140616395129,510,306.313995307431,1,525.645084245781,54.62469013104467,150.06373023716282,180
1...12,13,30,15,faible,350.281232790258,175.140616395129,555,300.804478799905,1,511.675896943186,53.17302140882756,146.0757383052743,195
1...13,14,30,15,faible,350.281232790258,175.140616395129,600,295.997260964465,1,499.515053576834,51.90927459462061,142.60400124717341,210
1...14,15,30,15,faible,350.281232790258,175.140616395129,645,291.750472818421,1,488.793060707922,50.795052174197984,139.54303426829674,225
1...15,16,30,15,faible,350.281232790258,175.140616395129,690,287.959017642202,1,479.237154530695,49.80200871294061,136.81496742294883,240
1...16,17,30,15,faible,350.281232790258,175.140616395129,735,284.543283088708,1,470.641333196559,48.908736634742205,134.3609902955807,255
1...17,18,30,15,faible,350.281232790258,175.140616395129,780,281.441784149436,1,462.846916849302,48.098746033703534,132.13580218453959,270
1...18,19,30,15,faible,350.281232790258,175.140616395129,825,278.606225428286,1,455.729552754967,47.359114255807775,130.10390226297096,285
1...19,20,30,15,faible,350.281232790258,175.140616395129,870,275.998101236681,1,449.19029869667,46.67955929119666,128.2370440227487,300
1...20,2,60,15,faible,350.281232790258,175.140616395129,90,483.089806086483,1,1391.23801215831,144.57653574696815,397.1774339938326,30
1...21,3,60,15,faible,350.281232790258,175.140616395129,165,396.493344700838,1,935.199843323557,97.18535031189317,266.9854265025776,45
1...22,4,60,15,faible,350.281232790258,175.140616395129,240,364.36097863776,1,811.713716462446,84.3527535323577,231.73200288137767,60
1...23,5,60,15,faible,350.281232790258,175.140616395129,315,345.393444744987,1,745.459577833984,77.46766718617437,212.81744725397593,75
1...24,6,60,15,faible,350.281232790258,175.140616395129,390,326.222196930961,1,684.128885626323,71.09422214164793,195.30846119751067,90
1...25,7,60,15,faible,350.281232790258,175.140616395129,465,312.722368828565,1,641.799887572302,66.69542060890622,183.22417174904717,105
1...26,8,60,15,faible,350.281232790258,175.140616395129,540,302.554590154693,1,610.356528002323,63.42784744087481,174.24756763026278,120
