X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...1,2,30,15,faible,350.281232790258,175.140616395129,60,0,1576.78389863112,163.85834177433725,450.14798140078193,30
1...2,3,30,15,faible,350.281232790258,175.140616395129,105,0,1135.56935602813,118.00761779090949,324.18789524704226,45
1...3,4,30,15,faible,350.281232790258,175.140616395129,150,0,918.811377555581,95.4822717687286,262.3067671186793,60
1...4,5,30,15,faible,350.281232790258,175.140616395129,195,0,790.051258988349,82.10160525291104,225.54769854353495,75
1...5,6,30,15,faible,350.281232790258,175.140616395129,240,0,704.805089864543,73.24287963593329,201.21120513657877,90
1...6,7,30,15,faible,350.281232790258,175.140616395129,285,0,644.247992551065,66.94982606209345,183.9230687351237,105
1...7,8,30,15,faible,350.281232790258,175.140616395129,330,0,599.045065977493,62.25236777492874,171.01831611292465,120
1...8,9,30,15,faible,350.281232790258,175.140616395129,375,0,564.040591030905,58.61472584796036,161.02506735456257,135
1...9,10,30,15,faible,350.281232790258,175.140616395129,420,0,536.154686121396,55.71684101966154,153.06406279620344,150
1...10,11,30,15,faible,350.281232790258,175.140616395129,465,0,513.434102346004,53.35573295354498,146.57767938524955,165
1...11,12,30,15,faible,350.281232790258,175.140616395129,510,0,494.580221434206,51.39645009626817,141.195181224668,180
1...12,13,30,15,faible,350.281232790258,175.140616395129,555,0,478.696002119702,49.745772511651715,136.66047658520614,195
1...13,14,30,15,faible,350.281232790258,175.140616395129,600,0,465.141887006003,48.337237817279636,132.79098149244024,210
1...14,15,30,15,faible,350.281232790258,175.140616395129,645,0,453.449599061397,47.12218297316658,129.45300992842922,225
1...15,16,30,15,faible,350.281232790258,175.140616395129,690,0,443.268397098751,46.06415918670027,126.54643058315716,240
1...16,17,30,15,faible,350.281232790258,175.140616395129,735,0,434.330373167232,45.13532564049936,123.9947597841478,255
1...17,18,30,15,faible,350.281232790258,175.140616395129,780,0,426.427359668173,44.31404969513979,121.73856882692596,270
1...18,19,30,15,faible,350.281232790258,175.140616395129,825,0,419.395154156468,43.58326754093041,119.73098039414351,285
1...19,20,30,15,faible,350.281232790258,175.140616395129,870,0,413.102492235833,42.92933826846833,117.93452048377115,300
1...20,2,60,15,faible,350.281232790258,175.140616395129,90,0,1605.186233738,166.80989368780664,458.2564189783916,30
1...21,3,60,15,faible,350.281232790258,175.140616395129,165,0,1173.34114960301,121.93283764278367,334.97117166582126,45
1...22,4,60,15,faible,350.281232790258,175.140616395129,240,0,961.653019078577,99.93434687232592,274.5374085326454,60
1...23,5,60,15,faible,350.281232790258,175.140616395129,315,0,836.308375134642,86.90861422451121,238.75340636231238,75
1...24,6,60,15,faible,350.281232790258,175.140616395129,390,0,753.666086235157,78.32048212139838,215.16028142062592,90
1...25,7,60,15,faible,350.281232790258,175.140616395129,465,0,695.252904556013,72.25022284489444,198.48420054302989,105
1...26,8,60,15,faible,350.281232790258,175.140616395129,540,0,651.90641165009,67.74568391887941,186.10943168640713,120
1...27,9,60,15,faible,350.281232790258,175.140616395129,615,0,618.565218206829,64.28088910766078,176.5910246688022,135
1...28,10,60,15,faible,350.281232790258,175.140616395129,690,0,592.205225180307,61.54157603485558,169.0656448999392,150
1...29,11,60,15,faible,350.281232790258,175.140616395129,765,0,570.908164432604,59.328399541985824,162.98565580715922,165
1...30,12,60,15,faible,350.281232790258,175.140616395129,840,0,553.398372919572,57.50879356767913,157.98687486375752,180
1...31,13,60,15,faible,350.281232790258,175.140616395129,915,0,538.79442438599,55.99116087739864,153.81766819023682,195
1...32,14,60,15,faible,350.281232790258,175.140616395129,990,0,526.467695247234,54.71017532323901,150.29857325027552,210
1...33,15,60,15,faible,350.281232790258,175.140616395129,1065,0,515.957747627481,53.61798850511958,147.2981419865069,225
1...34,16,60,15,faible,350.281232790258,175.140616395129,1140,0,506.919571899813,52.67874725038172,144.7178793627654,240
1...35,17,60,15,faible,350.281232790258,175.140616395129,1215,0,499.089520333856,51.86505346094164,142.48251793515345,255
1...36,18,60,15,faible,350.281232790258,175.140616395129,1290,0,492.262637007241,51.15560825265586,140.53354588425776,270
1...37,19,60,15,faible,350.281232790258,175.140616395129,1365,0,486.277171056107,50.533602582537704,138.82478578213778,285
1...38,20,60,15,faible,350.281232790258,175.140616395129,1440,0,481.003750933975,49.985592244886405,137.31930400678684,300
1...39,2,90,15,faible,350.281232790258,175.140616395129,120,0,1633.58025507295,169.7605816395857,466.36248309971774,30
1...40,3,90,15,faible,350.281232790258,175.140616395129,225,0,1211.56759479312,125.90530459035764,345.88424425198497,45
1...41,4,90,15,faible,350.281232790258,175.140616395129,330,0,1005.50268033873,104.49117472152759,287.05582435265853,60
1...42,5,90,15,faible,350.281232790258,175.140616395129,435,0,884.152208830298,91.88051383631174,252.41209806969937,75
1...43,6,90,15,faible,350.281232790258,175.140616395129,540,0,804.696022759145,83.62347943569715,229.72855735065377,90
1...44,7,90,15,faible,350.281232790258,175.140616395129,645,0,749.002141990733,77.83580811459076,213.82879580055086,105
1...45,8,90,15,faible,350.281232790258,175.140616395129,750,0,708.074454159548,73.58262981508011,202.14455925006126,120
1...46,9,90,15,faible,350.281232790258,175.140616395129,855,0,676.941629444707,70.34732722418374,193.2566081409355,135
1...47,10,90,15,faible,350.281232790258,175.140616395129,960,0,652.632117590147,67.82109880106889,186.31660976850884,150
1...48,11,90,15,faible,350.281232790258,175.140616395129,1065,0,633.260055391324,65.80796688654071,180.7861786790355,165
1...49,12,90,15,faible,350.281232790258,175.140616395129,1170,0,617.570635341288,64.17753271288393,176.30708628660048,180
1...50,13,90,15,faible,350.281232790258,175.140616395129,1275,0,604.696327941023,62.83964318729206,172.63166602565434,195
1...51,14,90,15,faible,350.281232790258,175.140616395129,1380,0,594.018053058195,61.72996391112125,169.58317987132418,210
1...52,15,90,15,faible,350.281232790258,175.140616395129,1485,0,585.082116209911,60.80134725323225,167.03210490304727,225
1...53,16,90,15,faible,350.281232790258,175.140616395129,1590,0,577.548414917889,60.01844998861306,164.88134700145767,240
1...54,17,90,15,faible,350.281232790258,175.140616395129,1695,0,571.156990228506,59.35425735442452,163.05669181269107,255
1...55,18,90,15,faible,350.281232790258,175.140616395129,1800,0,565.705763184734,58.78776943886213,161.5004488474746,270
1...56,19,90,15,faible,350.281232790258,175.140616395129,1905,0,561.035321023541,58.30242017283371,160.16710817033086,285
1...57,20,90,15,faible,350.281232790258,175.140616395129,2010,0,557.018277323322,57.884971643504876,159.020302882414,300
1...58,2,120,15,faible,350.281232790258,175.140616395129,150,0,1661.94149147355,172.70786260263128,474.4591876175936,30
1...59,3,120,15,faible,350.281232790258,175.140616395129,285,0,1250.18179261182,129.91806653510568,356.90801435554096,45
1...60,4,120,15,faible,350.281232790258,175.140616395129,420,0,1050.2395755152,109.14020333357306,299.82753205167126,60
1...61,5,120,15,faible,350.281232790258,175.140616395129,555,0,933.395125803999,96.99780525871081,266.47020691596657,75
1...62,6,120,15,faible,350.281232790258,175.140616395129,690,0,857.625368000147,89.12386204990406,244.83908577359537,90
