X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...1,2,30,15,moyenne,331.614571833768,165.807285916884,60,484.560361256426,1,1150.23820631292,150.29867348536374,346.85997058341343,30
1...2,3,30,15,moyenne,331.614571833768,165.807285916884,105,402.878762665867,1,814.487849354829,106.42703629223251,245.61280430195208,45
1...3,4,30,15,moyenne,331.614571833768,165.807285916884,150,369.527948757263,1,711.974893004319,93.03193146091809,214.6995197066365,60
1...4,5,30,15,moyenne,331.614571833768,165.807285916884,195,351.924923204716,1,661.066577149023,86.37987252179488,199.34786746355735,75
1...5,6,30,15,moyenne,331.614571833768,165.807285916884,240,341.027788669381,1,630.407263455757,82.37369871120602,190.10240110068744,90
1...6,7,30,15,moyenne,331.614571833768,165.807285916884,285,333.595122017372,1,609.826646559424,79.68448233667377,183.89621517148478,105
1...7,8,30,15,moyenne,331.614571833768,165.807285916884,330,324.837470612731,1,586.663372807293,76.65779682108541,176.91121640498233,120
1...8,9,30,15,moyenne,331.614571833768,165.807285916884,375,316.54480604663,1,565.100147086514,73.84018547405208,170.40871996716348,135
1...9,10,30,15,moyenne,331.614571833768,165.807285916884,420,309.859554194281,1,547.811600825462,71.581135517908,165.19527407862807,150
1...10,11,30,15,moyenne,331.614571833768,165.807285916884,465,304.319795733856,1,533.548342507586,69.71739217066897,160.8941186019544,165
1...11,12,30,15,moyenne,331.614571833768,165.807285916884,510,299.627738291157,1,521.511632617744,68.14458619044468,157.2643897202345,180
1...12,13,30,15,moyenne,331.614571833768,165.807285916884,555,295.58244689137,1,511.166071760967,66.79275831279142,154.14463512092124,195
1...13,14,30,15,moyenne,331.614571833768,165.807285916884,600,292.043211850818,1,502.138739959288,65.61318004156203,151.42239895628003,210
1...14,15,30,15,moyenne,331.614571833768,165.807285916884,645,288.90840654126,1,494.161498897858,64.57081443152967,149.01682280282049,225
1...15,16,30,15,moyenne,331.614571833768,165.807285916884,690,286.102689450764,1,487.036315648939,63.639785028424164,146.86818886025335,240
1...16,17,30,15,moyenne,331.614571833768,165.807285916884,735,283.568941526044,1,480.613545918902,62.80053819656932,144.9313711581481,255
1...17,18,30,15,moyenne,331.614571833768,165.807285916884,780,281.263010823851,1,474.777849316519,62.03800270314945,143.17158823603083,270
1...18,19,30,15,moyenne,331.614571833768,165.807285916884,825,279.150184811669,1,469.438775191058,61.34035959384162,141.5615642567054,285
1...19,20,30,15,moyenne,331.614571833768,165.807285916884,870,277.202760824934,1,464.52430306497,60.69819813773809,140.0795810920598,300
1...20,2,60,15,moyenne,331.614571833768,165.807285916884,90,421.558810315529,1,1186.51156986994,155.03842077905543,357.7983812076616,30
1...21,3,60,15,moyenne,331.614571833768,165.807285916884,165,362.56281771854,1,845.763840047376,110.5137897031617,255.04423263744306,45
1...22,4,60,15,moyenne,331.614571833768,165.807285916884,240,341.027788669381,1,756.748774176871,98.88241956859196,228.20130309479117,60
1...23,5,60,15,moyenne,331.614571833768,165.807285916884,315,328.07733363485403,1,708.94463528764,92.63597546446796,213.78573063520872,75
1...24,6,60,15,moyenne,331.614571833768,165.807285916884,390,314.165032032959,1,663.233739431416,86.66305005361698,200.00138587513044,90
1...25,7,60,15,moyenne,331.614571833768,165.807285916884,465,304.319795733856,1,631.60653265766,82.53040413901097,190.46404660838368,105
1...26,8,60,15,moyenne,331.614571833768,165.807285916884,540,296.868661807769,1,608.046039574464,79.45181499318834,183.35926440508342,120
1...27,9,60,15,moyenne,331.614571833768,165.807285916884,615,290.957508878845,1,589.57688811173,77.03849838623327,177.78980122962557,135
1...28,10,60,15,moyenne,331.614571833768,165.807285916884,690,286.102689450764,1,574.550842543579,75.07508358725612,173.25862351778386,150
1...29,11,60,15,moyenne,331.614571833768,165.807285916884,765,282.008648011446,1,561.976908817884,73.43207994758158,169.46689215442322,165
1...30,12,60,15,moyenne,331.614571833768,165.807285916884,840,278.483867386929,1,551.221027075591,72.02663649320871,166.22340328033215,180
1...31,13,60,15,moyenne,331.614571833768,165.807285916884,915,275.398334586777,1,541.857168160097,70.80308508796182,163.39968571457092,195
1...32,14,60,15,moyenne,331.614571833768,165.807285916884,990,272.660384516007,1,533.587533978432,69.72251321955063,160.90593698213874,210
1...33,15,60,15,moyenne,331.614571833768,165.807285916884,1065,270.203328434912,1,526.19705543488794,68.75681836137225,158.67730194276876,225
1...34,16,60,15,moyenne,331.614571833768,165.807285916884,1140,267.977348490397,1,519.526096215245,67.88514124607174,156.66564148323175,240
1...35,17,60,15,moyenne,331.614571833768,165.807285916884,1215,265.944380090765,1,513.45336952917,67.09163364012812,154.83438097724917,255
1...36,18,60,15,moyenne,331.614571833768,165.807285916884,1290,264.07476666173,1,507.884855526497,66.36401021109143,153.1551682780363,270
1...37,19,60,15,moyenne,331.614571833768,165.807285916884,1365,262.345006548907,1,502.746386166142,65.69257961144011,151.6056376491679,285
1...38,20,60,15,moyenne,331.614571833768,165.807285916884,1440,260.736195428549,1,497.978549010446,65.06957857047104,150.16787297877642,300
1...39,2,90,15,moyenne,331.614571833768,165.807285916884,120,388.8977442528,1,1209.72332395255,158.07144109496699,364.7979994555127,30
1...40,3,90,15,moyenne,331.614571833768,165.807285916884,225,344.170420029281,1,880.603833594318,115.06624221743635,265.5504035075237,45
1...41,4,90,15,moyenne,331.614571833768,165.807285916884,330,324.837470612731,1,787.884711048718,102.95087250632156,237.5904975139842,60
1...42,5,90,15,moyenne,331.614571833768,165.807285916884,435,307.902946650221,1,721.303597296676,94.2508893018099,217.51263622343217,75
1...43,6,90,15,moyenne,331.614571833768,165.807285916884,540,296.868661807769,1,679.820792111062,88.83043764437872,205.00329293486024,90
1...44,7,90,15,moyenne,331.614571833768,165.807285916884,645,288.90840654126,1,650.739622671216,85.03047589191466,196.23372370904715,105
1...45,8,90,15,moyenne,331.614571833768,165.807285916884,750,282.776866287912,1,628.792248529158,82.16266885687264,189.61538543136137,120
1...46,9,90,15,moyenne,331.614571833768,165.807285916884,855,277.835000996378,1,611.375825682906,79.8869095956299,184.36337773159644,135
1...47,10,90,15,moyenne,331.614571833768,165.807285916884,960,273.718570133765,1,597.045886736356,78.01445326182701,180.04211438441962,150
1...48,11,90,15,moyenne,331.614571833768,165.807285916884,1065,270.203328434912,1,584.930997363439,76.43143176925454,176.38881009627454,165
1...49,12,90,15,moyenne,331.614571833768,165.807285916884,1170,267.142820643783,1,574.471157294515,75.06467132033181,173.2345940402421,180
1...50,13,90,15,moyenne,331.614571833768,165.807285916884,1275,264.436823500229,1,565.28823638481,73.8647626197907,170.46543921724228,195
1...51,14,90,15,moyenne,331.614571833768,165.807285916884,1380,262.014106032336,1,557.11652344019,72.79698586803721,168.00121911393623,210
1...52,15,90,15,moyenne,331.614571833768,165.807285916884,1485,259.822434292634,1,549.763077988876,71.83613002894784,165.7837515850967,225
1...53,16,90,15,moyenne,331.614571833768,165.807285916884,1590,257.822485532965,1,543.083901330368,70.96337916200692,163.76961311658084,240
1...54,17,90,15,moyenne,331.614571833768,165.807285916884,1695,255.983987600905,1,536.968988068664,70.16435914452877,161.925631041882,255
1...55,18,90,15,moyenne,331.614571833768,165.807285916884,1800,254.283183026765,1,531.332602097236,69.42786705957826,160.22595121772355,270
1...56,19,90,15,moyenne,331.614571833768,165.807285916884,1905,252.701112499388,1,526.106751088279,68.74501852423349,158.65007022429828,285
1...57,20,90,15,moyenne,331.614571833768,165.807285916884,2010,251.222422232416,1,521.23668751041,68.10865981911847,157.1814786750975,300
1...58,2,120,15,moyenne,331.614571833768,165.807285916884,150,369.527948757263,1,1236.38076078694,161.554699930171,372.83668023090183,30
1...59,3,120,15,moyenne,331.614571833768,165.807285916884,285,333.595122017372,1,914.749709895176,119.52799621312838,275.8472599188803,45
1...60,4,120,15,moyenne,331.614571833768,165.807285916884,420,309.859554194281,1,797.930711663402,104.26355761618254,240.61991825358908,60
1...61,5,120,15,moyenne,331.614571833768,165.807285916884,555,295.58244689137,1,735.398570039621,96.09264320500155,221.7630443599029,75
1...62,6,120,15,moyenne,331.614571833768,165.807285916884,690,286.102689450764,1,695.984993395114,90.9425723288377,209.87768708306277,90
1...63,7,120,15,moyenne,331.614571833768,165.807285916884,825,279.150184811669,1,668.036164390778,87.29057059409601,201.449580667297,105
1...64,8,120,15,moyenne,331.614571833768,165.807285916884,960,273.718570133765,1,646.720962511874,84.5053678857446,195.02187703502446,120
1...65,9,120,15,moyenne,331.614571833768,165.807285916884,1095,269.287559904467,1,629.647352653996,82.27440311761069,189.87324627267165,135
1...66,10,120,15,moyenne,331.614571833768,165.807285916884,1230,265.558218164603,1,615.483105312234,80.42359728043589,185.60194804128324,150
1...67,11,120,15,moyenne,331.614571833768,165.807285916884,1365,262.345006548907,1,603.421000534113,78.84747301535486,181.96456120649495,165
1...68,12,120,15,moyenne,331.614571833768,165.807285916884,1500,259.52577918789,1,592.939849531783,77.47792792147418,178.80391873400916,180
1...69,13,120,15,moyenne,331.614571833768,165.807285916884,1635,257.016300707681,1,583.686011007631,76.26875259831557,176.01337835667292,195
1...70,14,120,15,moyenne,331.614571833768,165.807285916884,1770,254.756258549868,1,575.409765452034,75.18731683864566,173.51763593201682,210
1...71,15,120,15,moyenne,331.614571833768,165.807285916884,1905,252.701112499388,1,567.928909324641,74.20981257360637,171.26174708912757,225
1...72,16,120,15,moyenne,331.614571833768,165.807285916884,2040,250.817106832969,1,561.106817471906,73.31838734513292,169.20451184309778,240
1...73,17,120,15,moyenne,331.614571833768,165.807285916884,2175,249.078090108999,1,554.838642119104,72.49934096367105,167.31431283340405,255
1...74,18,120,15,moyenne,331.614571833768,165.807285916884,2310,247.4634156428,1,549.042308588297,71.7419489417597,165.56640003851257,270
1...75,19,120,15,moyenne,331.614571833768,165.807285916884,2445,245.95651331187,1,543.652454335442,71.0376705235699,163.94106306280307,285
1...76,20,120,15,moyenne,331.614571833768,165.807285916884,2580,244.54389242925,1,538.616237334594,70.37960097722934,162.42236713427414,300
1...77,2,150,15,moyenne,331.614571833768,165.807285916884,180,356.789969283006,1,1265.42271534434,165.34953757461972,381.59442401664785,30
1...78,3,150,15,moyenne,331.614571833768,165.807285916884,345,321.856085548983,1,927.767753874872,121.22903059955715,279.77291490675026,45
1...79,4,150,15,moyenne,331.614571833768,165.807285916884,510,299.627738291157,1,809.383504187926,105.76006461333469,244.0735639909257,60
1...80,5,150,15,moyenne,331.614571833768,165.807285916884,675,287.005197241193,1,749.116979785052,97.88519258803434,225.89989807823338,75
1...81,6,150,15,moyenne,331.614571833768,165.807285916884,840,278.483867386929,1,710.737825058712,92.87028696831165,214.32647580245396,90
1...82,7,150,15,moyenne,331.614571833768,165.807285916884,1005,272.148299743182,1,683.263069173827,89.28023115103078,206.04132846017805,105
1...83,8,150,15,moyenne,331.614571833768,165.807285916884,1170,267.142820643783,1,662.13476820405,86.51945030465616,199.66998571340386,120
1...84,9,150,15,moyenne,331.614571833768,165.807285916884,1335,263.021426522187,1,645.089344424478,84.29216853901413,194.5298546011569,135
1...85,10,150,15,moyenne,331.614571833768,165.807285916884,1500,259.52577918789,1,630.861218515133,82.43301585340467,190.23929347452545,150
1...86,11,150,15,moyenne,331.614571833768,165.807285916884,1665,256.494285616805,1,618.680296726684,80.84136607461546,186.56607678772826,165
1...87,12,150,15,moyenne,331.614571833768,165.807285916884,1830,253.819777826849,1,608.047195130787,79.45196598676648,183.35961286875818,180
1...88,13,150,15,moyenne,331.614571833768,165.807285916884,1995,251.427837343005,1,598.621603430131,78.22034811696513,180.51727947896345,195
1...89,14,150,15,moyenne,331.614571833768,165.807285916884,2160,249.264835722742,1,590.16220470455,77.11498020277092,177.9663063179223,210
1...90,15,150,15,moyenne,331.614571833768,165.807285916884,2325,247.290930299618,1,582.49221325115,76.11276211023741,175.65338279016947,225
1...91,16,150,15,moyenne,331.614571833768,165.807285916884,2490,245.475756318448,1,575.478553500588,75.19630519635501,173.53837930531722,240
1...92,17,150,15,moyenne,331.614571833768,165.807285916884,2655,243.795666903301,1,569.01872575431,74.35221608865467,171.5903865767238,255
1...93,18,150,15,moyenne,331.614571833768,165.807285916884,2820,242.231902345027,1,563.032213292443,73.569973874056,169.78512439274837,270
1...94,19,150,15,moyenne,331.614571833768,165.807285916884,2985,240.769339112524,1,557.454682389485,72.84117222980758,168.1031926030459,285
1...95,20,150,15,moyenne,331.614571833768,165.807285916884,3150,239.39561263629,1,552.233960237757,72.15899386906992,166.5288582416641,300
1...96,2,180,15,moyenne,331.614571833768,165.807285916884,210,347.766873790563,1,1295.43395177329,169.271028792848,390.6444595030238,30
1...97,3,180,15,moyenne,331.614571833768,165.807285916884,405,311.94215042744,1,935.852351493785,122.28542421534614,282.21086495647415,45
1...98,4,180,15,moyenne,331.614571833768,165.807285916884,600,292.043211850818,1,820.951817054582,107.27166635702521,247.56204545381354,60
1...99,5,180,15,moyenne,331.614571833768,165.807285916884,795,280.538772761663,1,761.95056611581,99.56212436702282,229.76992895769405,75
1...100,6,180,15,moyenne,331.614571833768,165.807285916884,990,272.660384516007,1,724.041788062784,94.60868165963386,218.33835107394864,90
1...101,7,180,15,moyenne,331.614571833768,165.807285916884,1185,266.736462247848,1,696.691062366443,91.03483254867521,210.09060564313225,105
1...102,8,180,15,moyenne,331.614571833768,165.807285916884,1380,262.014106032336,1,675.518415477639,88.2682571349078,203.70589016705313,120
1...103,9,180,15,moyenne,331.614571833768,165.807285916884,1575,258.097681829154,1,658.341698227474,86.02381958852479,198.5261668650339,135
1...104,10,180,15,moyenne,331.614571833768,165.807285916884,1770,254.756258549868,1,643.936324664353,84.14150640703306,194.18215583938388,150
1...105,11,180,15,moyenne,331.614571833768,165.807285916884,1965,251.844350760188,1,631.554262313207,82.52357410729164,190.44828422973913,165
1...106,12,180,15,moyenne,331.614571833768,165.807285916884,2160,249.264835722742,1,620.708570370618,81.10639538461012,187.17771264942095,180
1...107,13,180,15,moyenne,331.614571833768,165.807285916884,2355,246.94986192372,1,611.066183569536,79.84644945560039,184.27000363417432,195
1...108,14,180,15,moyenne,331.614571833768,165.807285916884,2550,244.850262081434,1,602.39008316151,78.71276568888558,181.65368301833144,210
1...109,15,180,15,moyenne,331.614571833768,165.807285916884,2745,242.92932242812,1,594.506047586063,77.68257900042607,179.2762134361446,225
1...110,16,180,15,moyenne,331.614571833768,165.807285916884,2940,241.158932660462,1,587.282515150839,76.73869856163174,177.09792181425382,240
1...111,17,180,15,moyenne,331.614571833768,165.807285916884,3135,239.517108211305,1,580.617849871191,75.86784385931232,175.0881593231806,255
1...112,18,180,15,moyenne,331.614571833768,165.807285916884,3330,237.986339805435,1,574.431989992264,75.0595534294984,173.22278294821604,270
1...113,19,180,15,moyenne,331.614571833768,165.807285916884,3525,236.552461105414,1,568.660797407582,74.30544651047444,171.48245152889137,285
1...114,20,180,15,moyenne,331.614571833768,165.807285916884,3720,235.203851646973,1,563.252129986007,73.59870982382584,169.85144134991586,300
1...115,2,210,15,moyenne,331.614571833768,165.807285916884,240,341.027788669381,1,1325.64986586616,173.2192647159648,399.7562165424632,30
1...116,3,210,15,moyenne,331.614571833768,165.807285916884,465,304.319795733856,1,944.899926145342,123.46764756780088,284.93920545174416,45
1...117,4,210,15,moyenne,331.614571833768,165.807285916884,690,286.102689450764,1,832.169590239014,108.7374639803578,250.94481995687588,60
1...118,5,210,15,moyenne,331.614571833768,165.807285916884,915,275.398334586777,1,773.824845812486,101.11370601090282,233.35067621829037,75
1...119,6,210,15,moyenne,331.614571833768,165.807285916884,1140,267.977348490397,1,736.051771902579,96.1779954155106,221.96002058424247,90
1...120,7,210,15,moyenne,331.614571833768,165.807285916884,1365,262.345006548907,1,708.622273013339,92.59385321366526,213.68852071089256,105
1...121,8,210,15,moyenne,331.614571833768,165.807285916884,1590,257.822485532965,1,687.274597583289,89.8044072697529,207.25102452005834,120
1...122,9,210,15,moyenne,331.614571833768,165.807285916884,1815,254.050296108215,1,669.878918777494,87.53135857902181,202.00527228739858,135
1...123,10,210,15,moyenne,331.614571833768,165.807285916884,2040,250.817106832969,1,655.235940076552,85.61799814415959,197.58961026749122,150
1...124,11,210,15,moyenne,331.614571833768,165.807285916884,2265,247.988918993664,1,642.610556682098,83.968271708351807,193.78236400426525,165
