X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...1,2,30,15,moyenne,331.614571833768,165.807285916884,60,0,1260.20199990367,164.66736009079875,380.02009167901855,30
1...2,3,30,15,moyenne,331.614571833768,165.807285916884,105,0,939.729954401317,122.79210063254948,283.3801751246279,45
1...3,4,30,15,moyenne,331.614571833768,165.807285916884,150,0,782.602014335281,102.26059608870874,235.9974744196658,60
1...4,5,30,15,moyenne,331.614571833768,165.807285916884,195,0,689.534560427546,90.09971081275278,207.93252739605072,75
1...5,6,30,15,moyenne,331.614571833768,165.807285916884,240,0,628.148899926264,82.07860414656052,189.4213805059034,90
1...6,7,30,15,moyenne,331.614571833768,165.807285916884,285,0,584.739459538002,76.4064040133276,176.33105092592874,105
1...7,8,30,15,moyenne,331.614571833768,165.807285916884,330,0,552.508629519682,72.19488419899805,166.61168611029672,120
1...8,9,30,15,moyenne,331.614571833768,165.807285916884,375,0,527.701426991275,68.95339073056773,159.1309525613372,135
1...9,10,30,15,moyenne,331.614571833768,165.807285916884,420,0,508.074355376108,66.38877166994915,153.21231288677984,150
1...10,11,30,15,moyenne,331.614571833768,165.807285916884,465,0,492.204337670593,64.31507719845875,148.42663123902938,165
1...11,12,30,15,moyenne,331.614571833768,165.807285916884,510,0,479.145043227726,62.60865271990712,144.48853697174445,180
1...12,13,30,15,moyenne,331.614571833768,165.807285916884,555,0,468.24262110759,61.18406121056532,141.20085812824627,195
1...13,14,30,15,moyenne,331.614571833768,165.807285916884,600,0,459.030769283823,59.98037218175624,138.42297904626648,210
1...14,15,30,15,moyenne,331.614571833768,165.807285916884,645,0,451.16795702689,58.95295868984167,136.05190945983273,225
1...15,16,30,15,moyenne,331.614571833768,165.807285916884,690,0,444.398284060088,58.068382902621416,134.01048138585907,240
1...16,17,30,15,moyenne,331.614571833768,165.807285916884,735,0,438.526206733929,57.30109363342366,132.23972767811713,255
1...17,18,30,15,moyenne,331.614571833768,165.807285916884,780,0,433.39971912791,56.63122865885143,130.69381020601375,270
1...18,19,30,15,moyenne,331.614571833768,165.807285916884,825,0,428.898863494291,56.043113407967446,129.3365551225806,285
1...19,20,30,15,moyenne,331.614571833768,165.807285916884,870,0,424.927698721864,55.5242115020737,128.1390309153459,300
1...20,2,60,15,moyenne,331.614571833768,165.807285916884,90,0,1300.72173756288,169.96197018697688,392.23901723320733,30
1...21,3,60,15,moyenne,331.614571833768,165.807285916884,165,0,994.522143612836,129.9516553323088,299.9030284204069,45
1...22,4,60,15,moyenne,331.614571833768,165.807285916884,240,0,845.701367762229,110.50562661004268,255.02539381356343,60
1...23,5,60,15,moyenne,331.614571833768,165.807285916884,315,0,758.622366828382,99.12723711040941,228.76629414483776,75
1...24,6,60,15,moyenne,331.614571833768,165.807285916884,390,0,702.065241135794,91.73706269167823,211.71121559993625,90
1...25,7,60,15,moyenne,331.614571833768,165.807285916884,465,0,662.804816875422,86.60700384437091,199.87204217541841,105
1...26,8,60,15,moyenne,331.614571833768,165.807285916884,540,0,634.276632678469,82.87929925395177,191.2692283608151,120
1...27,9,60,15,moyenne,331.614571833768,165.807285916884,615,0,612.851308220592,80.07970711091667,184.8083167249365,135
1...28,10,60,15,moyenne,331.614571833768,165.807285916884,690,0,596.358239234692,77.92460012813835,179.8347509088457,150
1...29,11,60,15,moyenne,331.614571833768,165.807285916884,765,0,583.419118009036,76.23387837536661,175.9328954644046,165
1...30,12,60,15,moyenne,331.614571833768,165.807285916884,840,0,573.116422802746,74.88765164221624,172.82606721216044,180
1...31,13,60,15,moyenne,331.614571833768,165.807285916884,915,0,564.815637962791,73.80300939725741,170.32292484599324,195
1...32,14,60,15,moyenne,331.614571833768,165.807285916884,990,0,558.063992045527,72.92078915832059,168.2869329171921,210
1...33,15,60,15,moyenne,331.614571833768,165.807285916884,1065,0,552.529852922777,72.19765740659497,166.61808613155563,225
1...34,16,60,15,moyenne,331.614571833768,165.807285916884,1140,0,547.964919934649,71.60116933229902,165.24150820770723,240
