X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...1,2,30,15,pursuiter,416.548283671423,208.274141835712,60,576.587713295196,1,1349.2344009000701,153.0281442659702,323.908284775063,30
1...2,3,30,15,pursuiter,416.548283671423,208.274141835712,105,490.130232710691,1,981.400026625344,111.30892064185758,235.60294570784527,45
1...3,4,30,15,pursuiter,416.548283671423,208.274141835712,150,455.497488691939,1,872.198863459731,98.9234883257445,209.3872181568582,60
1...4,5,30,15,pursuiter,416.548283671423,208.274141835712,195,437.379412649372,1,818.568457427125,92.84080802503075,196.51226268713165,75
1...5,6,30,15,pursuiter,416.548283671423,208.274141835712,240,426.197906011164,1,786.414625568052,89.19396858990252,188.7931498928904,90
1...6,7,30,15,pursuiter,416.548283671423,208.274141835712,285,418.578233643143,1,764.872646345463,86.75070958164585,183.62160554448502,105
1...7,8,30,15,pursuiter,416.548283671423,208.274141835712,330,407.605313640174,1,735.848969964956,83.45888769115582,176.65394356669592,120
1...8,9,30,15,pursuiter,416.548283671423,208.274141835712,375,396.419707230363,1,706.852701370325,80.17017435067626,169.69286132694685,135
1...9,10,30,15,pursuiter,416.548283671423,208.274141835712,420,387.179914909432,1,683.049207754942,77.47041776829224,163.97839927093236,150
1...10,11,30,15,pursuiter,416.548283671423,208.274141835712,465,379.353098424874,1,662.985613414445,75.19483495837922,159.16176813188216,165
1...11,12,30,15,pursuiter,416.548283671423,208.274141835712,510,372.590750325244,1,645.720958920434,73.23670371235616,155.0170734660341,180
1...12,13,30,15,pursuiter,416.548283671423,208.274141835712,555,366.654400712635,1,630.616422536075,71.52356982594299,151.39095448380502,195
1...13,14,30,15,pursuiter,416.548283671423,208.274141835712,600,361.374778787995,1,617.221473846614,70.0043348145034,148.17525315588236,210
1...14,15,30,15,pursuiter,416.548283671423,208.274141835712,645,356.628020358678,1,605.208221180123,68.64180969586947,145.29125311617338,225
1...15,16,30,15,pursuiter,416.548283671423,208.274141835712,690,352.321131228682,1,594.331633365328,67.40820340171213,142.68013017048992,240
1...16,17,30,15,pursuiter,416.548283671423,208.274141835712,735,348.382745119405,1,584.404425483572,66.28227435715604,140.2969231640276,255
1...17,18,30,15,pursuiter,416.548283671423,208.274141835712,780,344.757045264523,1,575.280639338355,65.24746820223532,138.1065921741119,270
1...18,19,30,15,pursuiter,416.548283671423,208.274141835712,825,341.399648152192,1,566.844581163826,64.29066312336487,136.0813628057001,285
1...19,20,30,15,pursuiter,416.548283671423,208.274141835712,870,338.274744064725,1,559.003171372989,63.40130217324359,134.19888960914207,300
1...20,2,60,15,pursuiter,416.548283671423,208.274141835712,90,509.718346115306,1,1418.11305575024,160.84025810195476,340.4438600133232,30
1...21,3,60,15,pursuiter,416.548283671423,208.274141835712,165,448.317770082568,1,1040.40317649764,118.00096949918071,249.76772616312576,45
1...22,4,60,15,pursuiter,416.548283671423,208.274141835712,240,426.197906011164,1,944.067427866709,107.07471322404425,226.64057562445694,60
1...23,5,60,15,pursuiter,416.548283671423,208.274141835712,315,411.901295255904,1,889.920511186423,100.93345105953028,213.641622369137,75
1...24,6,60,15,pursuiter,416.548283671423,208.274141835712,390,393.15484244182,1,828.794439396608,94.00062357897997,198.9671958534268,90
1...25,7,60,15,pursuiter,416.548283671423,208.274141835712,465,379.353098424874,1,784.920237987784,89.02447738950772,188.43439494446125,105
1...26,8,60,15,pursuiter,416.548283671423,208.274141835712,540,368.552967407735,1,751.186155532763,85.19840829939012,180.33591422148442,120
1...27,9,60,15,pursuiter,416.548283671423,208.274141835712,615,359.738440567146,1,724.009575408068,82.11608129883098,173.81168133180287,135
1...28,10,60,15,pursuiter,416.548283671423,208.274141835712,690,352.321131228682,1,701.369249847754,79.54824949454179,168.37645894635355,150
1...29,11,60,15,pursuiter,416.548283671423,208.274141835712,765,345.933808343142,1,682.028202803167,77.3546169163778,163.73328844181648,165
1...30,12,60,15,pursuiter,416.548283671423,208.274141835712,840,340.333744713752,1,665.181419061773,75.44387994504365,159.68891125871835,180
