X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...1,2,30,15,pursuiter,416.548283671423,208.274141835712,60,0,1397.52004400233,158.5046295628901,335.5001325859996,30
1...2,3,30,15,pursuiter,416.548283671423,208.274141835712,105,0,1061.03198082321,120.34065757877748,254.72004625042737,45
1...3,4,30,15,pursuiter,416.548283671423,208.274141835712,150,0,896.294415489498,101.6563697359128,215.17179415304062,60
1...4,5,30,15,pursuiter,416.548283671423,208.274141835712,195,0,798.923412092446,90.61269641626853,191.79611185786183,75
1...5,6,30,15,pursuiter,416.548283671423,208.274141835712,240,0,734.869914766375,83.34784471739763,176.4189035396547,90
1...6,7,30,15,pursuiter,416.548283671423,208.274141835712,285,0,689.719308820136,78.22693063765888,165.57967848072872,105
1...7,8,30,15,pursuiter,416.548283671423,208.274141835712,330,0,656.321449183745,74.43899543588604,157.56191416730388,120
1...8,9,30,15,pursuiter,416.548283671423,208.274141835712,375,0,630.726110113791,71.53601042666864,151.41728698402545,135
1...9,10,30,15,pursuiter,416.548283671423,208.274141835712,420,0,610.572798590626,69.25025202831576,146.5791176017067,150
1...10,11,30,15,pursuiter,416.548283671423,208.274141835712,465,0,594.363968148784,67.41187076440627,142.6878927240098,165
1...11,12,30,15,pursuiter,416.548283671423,208.274141835712,510,0,581.103566498346,65.9078958765482,139.50449186263498,180
1...12,13,30,15,pursuiter,416.548283671423,208.274141835712,555,0,570.103230010965,64.66025419335202,136.8636607948834,195
1...13,14,30,15,pursuiter,416.548283671423,208.274141835712,600,0,560.871918307405,63.61325265070372,134.64751633686382,210
1...14,15,30,15,pursuiter,416.548283671423,208.274141835712,645,0,553.049883942178,62.72608923232599,132.76969456401088,225
1...15,16,30,15,pursuiter,416.548283671423,208.274141835712,690,0,546.367502821675,61.96818357748472,131.16546730334255,240
1...16,17,30,15,pursuiter,416.548283671423,208.274141835712,735,0,540.618689865361,61.31616182511166,129.78536007888243,255
1...17,18,30,15,pursuiter,416.548283671423,208.274141835712,780,0,535.64320752848,60.751850072955705,128.5909049504091,270
1...18,19,30,15,pursuiter,416.548283671423,208.274141835712,825,0,531.314579668832,60.26090358646082,127.55173901711181,285
1...19,20,30,15,pursuiter,416.548283671423,208.274141835712,870,0,527.531642460523,59.831848516062344,126.64357606059534,300
1...20,2,60,15,pursuiter,416.548283671423,208.274141835712,90,0,1450.39946813397,164.50213462155142,348.1948011765325,30
1...21,3,60,15,pursuiter,416.548283671423,208.274141835712,165,0,1133.06167830412,128.51015794890571,272.012086646332,45
1...22,4,60,15,pursuiter,416.548283671423,208.274141835712,240,0,979.774386642514,111.12454299061247,235.21268123033937,60
1...23,5,60,15,pursuiter,416.548283671423,208.274141835712,315,0,890.833224129062,101.03696959401651,213.86073572968053,75
1...24,6,60,15,pursuiter,416.548283671423,208.274141835712,390,0,833.672180721533,94.55384969199989,200.13818647231324,90
1...25,7,60,15,pursuiter,416.548283671423,208.274141835712,465,0,794.488340642111,90.10967725719654,190.73139220249686,105
1...26,8,60,15,pursuiter,416.548283671423,208.274141835712,540,0,766.426376215695,86.92693129565907,183.99460669012356,120
1...27,9,60,15,pursuiter,416.548283671423,208.274141835712,615,0,745.693756040462,84.57546857793513,179.01736371783298,135
1...28,10,60,15,pursuiter,416.548283671423,208.274141835712,690,0,730.021122095914,82.79790191739484,175.25486257236898,150
1...29,11,60,15,pursuiter,416.548283671423,208.274141835712,765,0,717.967112028581,81.430754155422,172.36107797647773,165
1...30,12,60,15,pursuiter,416.548283671423,208.274141835712,840,0,708.572491071184,80.36523032188083,170.10572815854218,180
1...31,13,60,15,pursuiter,416.548283671423,208.274141835712,915,0,701.174595980796,79.52617214459066,168.3297287413357,195
1...32,14,60,15,pursuiter,416.548283671423,208.274141835712,990,0,695.30156947465,78.86006227749802,166.91980179256004,210
1...33,15,60,15,pursuiter,416.548283671423,208.274141835712,1065,0,690.608988891594,78.32783681840466,165.79326238116312,225
1...34,16,60,15,pursuiter,416.548283671423,208.274141835712,1140,0,686.840267104248,77.90039403975364,164.88851209528298,240
1...35,17,60,15,pursuiter,416.548283671423,208.274141835712,1215,0,683.801002367045,77.5556851868242,164.15888125623232,255
1...36,18,60,15,pursuiter,416.548283671423,208.274141835712,1290,0,681.341837494269,77.2767703913862,163.56851395208665,270
1...37,19,60,15,pursuiter,416.548283671423,208.274141835712,1365,0,679.346688596011,77.05048359256826,163.08954213141965,285
1...38,20,60,15,pursuiter,416.548283671423,208.274141835712,1440,0,677.72446469199,76.86649338786354,162.7000977458318,300
1...39,2,90,15,pursuiter,416.548283671423,208.274141835712,120,0,1502.94641055229,170.46193010242717,360.8096514779611,30
1...40,3,90,15,pursuiter,416.548283671423,208.274141835712,225,0,1206.27318479643,136.81369732646715,289.58784181378337,45
1...41,4,90,15,pursuiter,416.548283671423,208.274141835712,330,0,1066.18181631966,120.92474420506794,255.9563580294748,60
1...42,5,90,15,pursuiter,416.548283671423,208.274141835712,435,0,987.34058287144,111.98268963087924,237.0290844002764,75
1...43,6,90,15,pursuiter,416.548283671423,208.274141835712,540,0,938.55074495318,106.44901931333612,225.31619544338758,90
1...44,7,90,15,pursuiter,416.548283671423,208.274141835712,645,0,906.564934756868,102.82123664346057,217.63741930862795,105
1...45,8,90,15,pursuiter,416.548283671423,208.274141835712,750,0,884.795612196259,100.35219269442177,212.41129705246692,120
1...46,9,90,15,pursuiter,416.548283671423,208.274141835712,855,0,869.599511308792,98.62867369925218,208.7631963440617,135
1...47,10,90,15,pursuiter,416.548283671423,208.274141835712,960,0,858.803376140027,97.40419222366977,206.17138752093834,150
1...48,11,90,15,pursuiter,416.548283671423,208.274141835712,1065,0,851.036886698904,96.52332862736398,204.30690031847774,165
1...49,12,90,15,pursuiter,416.548283671423,208.274141835712,1170,0,845.399554929748,95.8839509042122,202.95355618284256,180
1...50,13,90,15,pursuiter,416.548283671423,208.274141835712,1275,0,841.281005658692,95.41683121648617,201.96482343984448,195
