Nrep,intensity,rest,interval_duration
2,95,420,15
3,90,300,15
5,85,240,15
7,82.5,180,15
9,80,120,15
12,77.5,120,15
15,75,120,15
18,72.5,60,15
21,70,60,15
2,95,420,30
3,90,300,30
5,85,240,30
7,82.5,180,30
9,80,120,30
12,77.5,120,30
15,75,120,30
18,72.5,60,30
21,70,60,30
2,95,420,45
3,90,300,45
5,85,240,45
7,82.5,180,45
9,80,120,45
12,77.5,120,45
15,75,120,45
18,72.5,60,45
21,70,60,45
2,95,420,60
3,90,300,60
5,85,240,60
7,82.5,180,60
9,80,120,60
12,77.5,120,60
15,75,120,60
18,72.5,60,60
21,70,60,60
2,95,420,75
3,90,300,75
5,85,240,75
7,82.5,180,75
9,80,120,75
12,77.5,120,75
15,75,120,75
18,72.5,60,75
21,70,60,75
2,95,420,90
3,90,300,90
5,85,240,90
7,82.5,180,90
9,80,120,90
12,77.5,120,90
15,75,120,90
18,72.5,60,90
21,70,60,90
2,95,420,105
3,90,300,105
5,85,240,105
7,82.5,180,105
9,80,120,105
12,77.5,120,105
15,75,120,105
18,72.5,60,105
21,70,60,105
2,95,420,120
3,90,300,120
5,85,240,120
7,82.5,180,120
9,80,120,120
12,77.5,120,120
15,75,120,120
18,72.5,60,120
21,70,60,120
2,95,420,135
3,90,300,135
5,85,240,135
7,82.5,180,135
9,80,120,135
12,77.5,120,135
15,75,120,135
18,72.5,60,135
21,70,60,135
2,95,420,150
3,90,300,150
5,85,240,150
7,82.5,180,150
9,80,120,150
12,77.5,120,150
15,75,120,150
18,72.5,60,150
21,70,60,150
2,95,420,165
3,90,300,165
5,85,240,165
7,82.5,180,165
9,80,120,165
12,77.5,120,165
15,75,120,165
18,72.5,60,165
21,70,60,165
2,95,420,180
3,90,300,180
5,85,240,180
7,82.5,180,180
9,80,120,180
12,77.5,120,180
15,75,120,180
18,72.5,60,180
21,70,60,180
2,95,420,195
3,90,300,195
5,85,240,195
7,82.5,180,195
9,80,120,195
12,77.5,120,195
15,75,120,195
18,72.5,60,195
21,70,60,195
2,95,420,210
3,90,300,210
5,85,240,210
7,82.5,180,210
9,80,120,210
12,77.5,120,210
15,75,120,210
18,72.5,60,210
21,70,60,210
2,95,420,225
3,90,300,225
5,85,240,225
7,82.5,180,225
9,80,120,225
12,77.5,120,225
15,75,120,225
18,72.5,60,225
21,70,60,225
2,95,420,240
3,90,300,240
5,85,240,240
7,82.5,180,240
9,80,120,240
12,77.5,120,240
15,75,120,240
18,72.5,60,240
21,70,60,240
2,95,420,255
3,90,300,255
5,85,240,255
7,82.5,180,255
9,80,120,255
12,77.5,120,255
15,75,120,255
18,72.5,60,255
21,70,60,255
2,95,420,270
3,90,300,270
5,85,240,270
7,82.5,180,270
9,80,120,270
12,77.5,120,270
15,75,120,270
18,72.5,60,270
21,70,60,270
2,95,420,285
3,90,300,285
5,85,240,285
7,82.5,180,285
9,80,120,285
12,77.5,120,285
15,75,120,285
18,72.5,60,285
21,70,60,285
2,95,420,300
3,90,300,300
5,85,240,300
7,82.5,180,300
9,80,120,300
12,77.5,120,300
15,75,120,300
18,72.5,60,300
21,70,60,300
2,95,420,315
3,90,300,315
5,85,240,315
7,82.5,180,315
9,80,120,315
12,77.5,120,315
15,75,120,315
18,72.5,60,315
21,70,60,315
2,95,420,330
3,90,300,330
5,85,240,330
7,82.5,180,330
9,80,120,330
12,77.5,120,330
15,75,120,330
18,72.5,60,330
21,70,60,330
2,95,420,345
3,90,300,345
5,85,240,345
7,82.5,180,345
9,80,120,345
12,77.5,120,345
15,75,120,345
18,72.5,60,345
21,70,60,345
2,95,420,360
3,90,300,360
5,85,240,360
7,82.5,180,360
9,80,120,360
12,77.5,120,360
15,75,120,360
18,72.5,60,360
21,70,60,360
