Nrep,intensity,rest,interval_duration
1,95,420,15
2,90,300,15
4,85,240,15
6,82.5,180,15
8,80,120,15
10,77.5,120,15
13,75,120,15
16,72.5,60,15
19,70,60,15
1,95,420,30
2,90,300,30
4,85,240,30
6,82.5,180,30
8,80,120,30
10,77.5,120,30
13,75,120,30
16,72.5,60,30
19,70,60,30
1,95,420,45
2,90,300,45
4,85,240,45
6,82.5,180,45
8,80,120,45
10,77.5,120,45
13,75,120,45
16,72.5,60,45
19,70,60,45
1,95,420,60
2,90,300,60
4,85,240,60
6,82.5,180,60
8,80,120,60
10,77.5,120,60
13,75,120,60
16,72.5,60,60
19,70,60,60
1,95,420,75
2,90,300,75
4,85,240,75
6,82.5,180,75
8,80,120,75
10,77.5,120,75
13,75,120,75
16,72.5,60,75
19,70,60,75
1,95,420,90
2,90,300,90
4,85,240,90
6,82.5,180,90
8,80,120,90
10,77.5,120,90
13,75,120,90
16,72.5,60,90
19,70,60,90
1,95,420,105
2,90,300,105
4,85,240,105
6,82.5,180,105
8,80,120,105
10,77.5,120,105
13,75,120,105
16,72.5,60,105
19,70,60,105
1,95,420,120
2,90,300,120
4,85,240,120
6,82.5,180,120
8,80,120,120
10,77.5,120,120
13,75,120,120
16,72.5,60,120
19,70,60,120
1,95,420,135
2,90,300,135
4,85,240,135
6,82.5,180,135
8,80,120,135
10,77.5,120,135
13,75,120,135
16,72.5,60,135
19,70,60,135
1,95,420,150
2,90,300,150
4,85,240,150
6,82.5,180,150
8,80,120,150
10,77.5,120,150
13,75,120,150
16,72.5,60,150
19,70,60,150
1,95,420,165
2,90,300,165
4,85,240,165
6,82.5,180,165
8,80,120,165
10,77.5,120,165
13,75,120,165
16,72.5,60,165
19,70,60,165
1,95,420,180
2,90,300,180
4,85,240,180
6,82.5,180,180
8,80,120,180
10,77.5,120,180
13,75,120,180
16,72.5,60,180
19,70,60,180
1,95,420,195
2,90,300,195
4,85,240,195
6,82.5,180,195
8,80,120,195
10,77.5,120,195
13,75,120,195
16,72.5,60,195
19,70,60,195
1,95,420,210
2,90,300,210
4,85,240,210
6,82.5,180,210
8,80,120,210
10,77.5,120,210
13,75,120,210
16,72.5,60,210
19,70,60,210
1,95,420,225
2,90,300,225
4,85,240,225
6,82.5,180,225
8,80,120,225
10,77.5,120,225
13,75,120,225
16,72.5,60,225
19,70,60,225
1,95,420,240
2,90,300,240
4,85,240,240
6,82.5,180,240
8,80,120,240
10,77.5,120,240
13,75,120,240
16,72.5,60,240
19,70,60,240
1,95,420,255
2,90,300,255
4,85,240,255
6,82.5,180,255
8,80,120,255
10,77.5,120,255
13,75,120,255
16,72.5,60,255
19,70,60,255
1,95,420,270
2,90,300,270
4,85,240,270
6,82.5,180,270
8,80,120,270
10,77.5,120,270
13,75,120,270
16,72.5,60,270
19,70,60,270
1,95,420,285
2,90,300,285
4,85,240,285
6,82.5,180,285
8,80,120,285
10,77.5,120,285
13,75,120,285
16,72.5,60,285
19,70,60,285
1,95,420,300
2,90,300,300
4,85,240,300
6,82.5,180,300
8,80,120,300
10,77.5,120,300
13,75,120,300
16,72.5,60,300
19,70,60,300
1,95,420,315
2,90,300,315
4,85,240,315
6,82.5,180,315
8,80,120,315
10,77.5,120,315
13,75,120,315
16,72.5,60,315
19,70,60,315
1,95,420,330
2,90,300,330
4,85,240,330
6,82.5,180,330
8,80,120,330
10,77.5,120,330
13,75,120,330
16,72.5,60,330
19,70,60,330
1,95,420,345
2,90,300,345
4,85,240,345
6,82.5,180,345
8,80,120,345
10,77.5,120,345
13,75,120,345
16,72.5,60,345
19,70,60,345
1,95,420,360
2,90,300,360
4,85,240,360
6,82.5,180,360
8,80,120,360
10,77.5,120,360
13,75,120,360
16,72.5,60,360
19,70,60,360
