Nrep,intensity,rest,interval_duration
1,95,300,15
2,90,240,15
4,85,180,15
6,82.5,120,15
8,80,60,15
10,77.5,60,15
13,75,60,15
16,72.5,30,15
19,70,30,15
1,95,300,30
2,90,240,30
4,85,180,30
6,82.5,120,30
8,80,60,30
10,77.5,60,30
13,75,60,30
16,72.5,30,30
19,70,30,30
1,95,300,45
2,90,240,45
4,85,180,45
6,82.5,120,45
8,80,60,45
10,77.5,60,45
13,75,60,45
16,72.5,30,45
19,70,30,45
1,95,300,60
2,90,240,60
4,85,180,60
6,82.5,120,60
8,80,60,60
10,77.5,60,60
13,75,60,60
16,72.5,30,60
19,70,30,60
1,95,300,75
2,90,240,75
4,85,180,75
6,82.5,120,75
8,80,60,75
10,77.5,60,75
13,75,60,75
16,72.5,30,75
19,70,30,75
1,95,300,90
2,90,240,90
4,85,180,90
6,82.5,120,90
8,80,60,90
10,77.5,60,90
13,75,60,90
16,72.5,30,90
19,70,30,90
1,95,300,105
2,90,240,105
4,85,180,105
6,82.5,120,105
8,80,60,105
10,77.5,60,105
13,75,60,105
16,72.5,30,105
19,70,30,105
1,95,300,120
2,90,240,120
4,85,180,120
6,82.5,120,120
8,80,60,120
10,77.5,60,120
13,75,60,120
16,72.5,30,120
19,70,30,120
1,95,300,135
2,90,240,135
4,85,180,135
6,82.5,120,135
8,80,60,135
10,77.5,60,135
13,75,60,135
16,72.5,30,135
19,70,30,135
1,95,300,150
2,90,240,150
4,85,180,150
6,82.5,120,150
8,80,60,150
10,77.5,60,150
13,75,60,150
16,72.5,30,150
19,70,30,150
1,95,300,165
2,90,240,165
4,85,180,165
6,82.5,120,165
8,80,60,165
10,77.5,60,165
13,75,60,165
16,72.5,30,165
19,70,30,165
1,95,300,180
2,90,240,180
4,85,180,180
6,82.5,120,180
8,80,60,180
10,77.5,60,180
13,75,60,180
16,72.5,30,180
19,70,30,180
1,95,300,195
2,90,240,195
4,85,180,195
6,82.5,120,195
8,80,60,195
10,77.5,60,195
13,75,60,195
16,72.5,30,195
19,70,30,195
1,95,300,210
2,90,240,210
4,85,180,210
6,82.5,120,210
8,80,60,210
10,77.5,60,210
13,75,60,210
16,72.5,30,210
19,70,30,210
1,95,300,225
2,90,240,225
4,85,180,225
6,82.5,120,225
8,80,60,225
10,77.5,60,225
13,75,60,225
16,72.5,30,225
19,70,30,225
1,95,300,240
2,90,240,240
4,85,180,240
6,82.5,120,240
8,80,60,240
10,77.5,60,240
13,75,60,240
16,72.5,30,240
19,70,30,240
1,95,300,255
2,90,240,255
4,85,180,255
6,82.5,120,255
8,80,60,255
10,77.5,60,255
13,75,60,255
16,72.5,30,255
19,70,30,255
1,95,300,270
2,90,240,270
4,85,180,270
6,82.5,120,270
8,80,60,270
10,77.5,60,270
13,75,60,270
16,72.5,30,270
19,70,30,270
1,95,300,285
2,90,240,285
4,85,180,285
6,82.5,120,285
8,80,60,285
10,77.5,60,285
13,75,60,285
16,72.5,30,285
19,70,30,285
1,95,300,300
2,90,240,300
4,85,180,300
6,82.5,120,300
8,80,60,300
10,77.5,60,300
13,75,60,300
16,72.5,30,300
19,70,30,300
1,95,300,315
2,90,240,315
4,85,180,315
6,82.5,120,315
8,80,60,315
10,77.5,60,315
13,75,60,315
16,72.5,30,315
19,70,30,315
1,95,300,330
2,90,240,330
4,85,180,330
6,82.5,120,330
8,80,60,330
10,77.5,60,330
13,75,60,330
16,72.5,30,330
19,70,30,330
1,95,300,345
2,90,240,345
4,85,180,345
6,82.5,120,345
8,80,60,345
10,77.5,60,345
13,75,60,345
16,72.5,30,345
19,70,30,345
1,95,300,360
2,90,240,360
4,85,180,360
6,82.5,120,360
8,80,60,360
10,77.5,60,360
13,75,60,360
16,72.5,30,360
19,70,30,360
