Nrep,rest,interval_duration
2,15,15
3,15,15
4,15,15
5,15,15
6,15,15
7,15,15
8,15,15
9,15,15
10,15,15
11,15,15
12,15,15
13,15,15
14,15,15
15,15,15
16,15,15
17,15,15
18,15,15
19,15,15
20,15,15
2,30,15
3,30,15
4,30,15
5,30,15
6,30,15
7,30,15
8,30,15
9,30,15
10,30,15
11,30,15
12,30,15
13,30,15
14,30,15
15,30,15
16,30,15
17,30,15
18,30,15
19,30,15
20,30,15
2,45,15
3,45,15
4,45,15
5,45,15
6,45,15
7,45,15
8,45,15
9,45,15
10,45,15
11,45,15
12,45,15
13,45,15
14,45,15
15,45,15
16,45,15
17,45,15
18,45,15
19,45,15
20,45,15
2,60,15
3,60,15
4,60,15
5,60,15
6,60,15
7,60,15
8,60,15
9,60,15
10,60,15
11,60,15
12,60,15
13,60,15
14,60,15
15,60,15
16,60,15
17,60,15
18,60,15
19,60,15
20,60,15
2,75,15
3,75,15
4,75,15
5,75,15
6,75,15
7,75,15
8,75,15
9,75,15
10,75,15
11,75,15
12,75,15
13,75,15
14,75,15
15,75,15
16,75,15
17,75,15
18,75,15
19,75,15
20,75,15
2,90,15
3,90,15
4,90,15
5,90,15
6,90,15
7,90,15
8,90,15
9,90,15
10,90,15
11,90,15
12,90,15
13,90,15
14,90,15
15,90,15
16,90,15
17,90,15
18,90,15
19,90,15
20,90,15
2,105,15
3,105,15
4,105,15
5,105,15
6,105,15
7,105,15
8,105,15
9,105,15
10,105,15
11,105,15
12,105,15
13,105,15
14,105,15
15,105,15
16,105,15
17,105,15
18,105,15
19,105,15
20,105,15
2,120,15
3,120,15
4,120,15
5,120,15
6,120,15
7,120,15
8,120,15
9,120,15
10,120,15
11,120,15
12,120,15
13,120,15
14,120,15
15,120,15
16,120,15
17,120,15
18,120,15
19,120,15
20,120,15
2,135,15
3,135,15
4,135,15
5,135,15
6,135,15
7,135,15
8,135,15
9,135,15
10,135,15
11,135,15
12,135,15
13,135,15
14,135,15
15,135,15
16,135,15
17,135,15
18,135,15
19,135,15
20,135,15
2,150,15
3,150,15
4,150,15
5,150,15
6,150,15
7,150,15
8,150,15
9,150,15
10,150,15
11,150,15
12,150,15
13,150,15
14,150,15
15,150,15
16,150,15
17,150,15
18,150,15
19,150,15
20,150,15
2,165,15
3,165,15
4,165,15
5,165,15
6,165,15
7,165,15
8,165,15
9,165,15
10,165,15
11,165,15
12,165,15
13,165,15
14,165,15
15,165,15
16,165,15
17,165,15
18,165,15
19,165,15
20,165,15
2,180,15
3,180,15
4,180,15
5,180,15
6,180,15
7,180,15
8,180,15
9,180,15
10,180,15
11,180,15
12,180,15
13,180,15
14,180,15
15,180,15
16,180,15
17,180,15
18,180,15
19,180,15
20,180,15
2,195,15
3,195,15
4,195,15
5,195,15
6,195,15
7,195,15
8,195,15
9,195,15
10,195,15
11,195,15
12,195,15
13,195,15
14,195,15
15,195,15
16,195,15
17,195,15
18,195,15
19,195,15
20,195,15
2,210,15
3,210,15
4,210,15
5,210,15
6,210,15
7,210,15
8,210,15
9,210,15
10,210,15
11,210,15
12,210,15
13,210,15
14,210,15
15,210,15
16,210,15
17,210,15
18,210,15
19,210,15
20,210,15
2,225,15
3,225,15
4,225,15
5,225,15
6,225,15
7,225,15
8,225,15
9,225,15
10,225,15
11,225,15
12,225,15
13,225,15
14,225,15
15,225,15
16,225,15
17,225,15
18,225,15
19,225,15
20,225,15
2,240,15
3,240,15
4,240,15
5,240,15
6,240,15
7,240,15
8,240,15
9,240,15
10,240,15
11,240,15
12,240,15
13,240,15
14,240,15
15,240,15
16,240,15
17,240,15
18,240,15
19,240,15
20,240,15
2,255,15
3,255,15
4,255,15
5,255,15
6,255,15
7,255,15
8,255,15
9,255,15
10,255,15
11,255,15
12,255,15
13,255,15
14,255,15
15,255,15
16,255,15
17,255,15
18,255,15
19,255,15
20,255,15
2,270,15
3,270,15
4,270,15
5,270,15
6,270,15
7,270,15
8,270,15
9,270,15
10,270,15
11,270,15
12,270,15
13,270,15
14,270,15
15,270,15
16,270,15
17,270,15
18,270,15
19,270,15
20,270,15
2,285,15
3,285,15
4,285,15
5,285,15
6,285,15
7,285,15
8,285,15
9,285,15
10,285,15
11,285,15
12,285,15
13,285,15
14,285,15
15,285,15
16,285,15
17,285,15
18,285,15
19,285,15
20,285,15
2,300,15
3,300,15
4,300,15
5,300,15
6,300,15
7,300,15
8,300,15
9,300,15
10,300,15
11,300,15
12,300,15
13,300,15
14,300,15
15,300,15
16,300,15
17,300,15
18,300,15
19,300,15
20,300,15
2,15,30
3,15,30
4,15,30
5,15,30
6,15,30
7,15,30
8,15,30
9,15,30
10,15,30
11,15,30
12,15,30
13,15,30
14,15,30
15,15,30
16,15,30
17,15,30
18,15,30
19,15,30
20,15,30
2,30,30
3,30,30
4,30,30
5,30,30
6,30,30
7,30,30
8,30,30
9,30,30
10,30,30
11,30,30
12,30,30
13,30,30
14,30,30
15,30,30
16,30,30
17,30,30
18,30,30
19,30,30
20,30,30
2,45,30
3,45,30
4,45,30
5,45,30
6,45,30
7,45,30
8,45,30
9,45,30
10,45,30
11,45,30
12,45,30
13,45,30
14,45,30
15,45,30
16,45,30
17,45,30
18,45,30
19,45,30
20,45,30
2,60,30
3,60,30
4,60,30
5,60,30
6,60,30
7,60,30
8,60,30
9,60,30
10,60,30
11,60,30
12,60,30
13,60,30
14,60,30
15,60,30
16,60,30
17,60,30
18,60,30
19,60,30
20,60,30
2,75,30
3,75,30
4,75,30
5,75,30
6,75,30
7,75,30
8,75,30
9,75,30
10,75,30
11,75,30
12,75,30
13,75,30
14,75,30
15,75,30
16,75,30
17,75,30
18,75,30
19,75,30
20,75,30
2,90,30
3,90,30
4,90,30
5,90,30
6,90,30
7,90,30
8,90,30
9,90,30
10,90,30
11,90,30
12,90,30
13,90,30
14,90,30
15,90,30
16,90,30
17,90,30
18,90,30
19,90,30
20,90,30
2,105,30
3,105,30
4,105,30
5,105,30
6,105,30
7,105,30
8,105,30
9,105,30
10,105,30
11,105,30
12,105,30
13,105,30
14,105,30
15,105,30
16,105,30
17,105,30
18,105,30
19,105,30
20,105,30
2,120,30
3,120,30
4,120,30
5,120,30
6,120,30
7,120,30
8,120,30
9,120,30
10,120,30
11,120,30
12,120,30
13,120,30
14,120,30
15,120,30
16,120,30
17,120,30
18,120,30
19,120,30
20,120,30
2,135,30
3,135,30
4,135,30
5,135,30
6,135,30
7,135,30
