X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...1,2,15,15,time-trialist,382.014826073375,191.007413036687,45,567.079650654026,1,943.151888271364,121.34736997469405,246.88881789373517,30
1...2,3,15,15,time-trialist,382.014826073375,191.007413036687,75,482.84765103289,1,774.687889029092,99.67253318786805,202.79000608219718,45
1...3,4,15,15,time-trialist,382.014826073375,191.007413036687,105,443.361920800624,1,695.716428564561,89.51194383889765,182.1176512219796,60
1...4,5,15,15,time-trialist,382.014826073375,191.007413036687,135,421.793305843176,1,652.579198649664,83.96184160906427,170.82562092088037,75
1...5,6,15,15,time-trialist,382.014826073375,191.007413036687,165,408.422610300459,1,625.837807564232,80.52125317571084,163.82552844795217,90
1...6,7,15,15,time-trialist,382.014826073375,191.007413036687,195,399.322491296225,1,607.637569555762,78.17958261054959,159.06125314598413,105
1...7,8,15,15,time-trialist,382.014826073375,191.007413036687,225,392.707883059244,1,594.408353081802,76.47749130807313,155.5982418775631,120
1...8,9,15,15,time-trialist,382.014826073375,191.007413036687,255,387.670497977791,1,584.333582918895,75.18125591102695,152.96096984640587,135
1...9,10,15,15,time-trialist,382.014826073375,191.007413036687,285,383.700826407106,1,576.394239777525,74.15976783311231,150.8826884291697,150
1...10,11,15,15,time-trialist,382.014826073375,191.007413036687,315,378.546383790588,1,566.085354544488,72.83341083170421,148.18413210898728,165
1...11,12,15,15,time-trialist,382.014826073375,191.007413036687,345,372.41488199882,1,553.822350960952,71.25563396314517,144.9740463357245,180
1...12,13,15,15,time-trialist,382.014826073375,191.007413036687,375,367.145113982902,1,543.282814929117,69.89960107584344,142.21511256863278,195
1...13,14,15,15,time-trialist,382.014826073375,191.007413036687,405,362.549129520276,1,534.090846003865,68.71694824140674,139.80893136887838,210
1...14,15,15,15,time-trialist,382.014826073375,191.007413036687,435,358.491075168214,1,525.974737299741,67.6727172347984,137.68437804000703,225
1...15,16,15,15,time-trialist,382.014826073375,191.007413036687,465,354.870180876606,1,518.732948716524,66.7409775972976,135.78869544107408,240
1...16,17,15,15,time-trialist,382.014826073375,191.007413036687,495,351.610031959207,1,512.212650881726,65.90206606719971,134.08187743565307,255
1...17,18,15,15,time-trialist,382.014826073375,191.007413036687,525,348.651565786666,1,506.295718536645,65.14078446736139,132.5330023812738,270
1...18,19,15,15,time-trialist,382.014826073375,191.007413036687,555,345.948362912298,1,500.889312787909,64.44518800322493,131.11776784592683,285
1...19,20,15,15,time-trialist,382.014826073375,191.007413036687,585,343.463398980436,1,495.919384924185,63.80574945390261,129.81679010252128,300
1...20,2,30,15,time-trialist,382.014826073375,191.007413036687,60,516.349749187051,1,1200.31300537768,154.43411412340237,314.20586936778506,30
1...21,3,30,15,time-trialist,382.014826073375,191.007413036687,105,443.361920800624,1,883.985723320399,113.73496035374995,231.4008941502727,45
1...22,4,30,15,time-trialist,382.014826073375,191.007413036687,150,414.403413763653,1,791.39160612094,101.82165907427449,207.1625371861705,60
1...23,5,30,15,time-trialist,382.014826073375,191.007413036687,195,399.322491296225,1,746.173017442532,96.00376603039871,195.32566971607847,75
1...24,6,30,15,time-trialist,382.014826073375,191.007413036687,240,390.030136907777,1,719.125363717566,92.523773375635,188.24540688885224,90
1...25,7,30,15,time-trialist,382.014826073375,191.007413036687,285,383.700826407106,1,701.022906549738,90.19468344355457,183.50672767215843,105
1...26,8,30,15,time-trialist,382.014826073375,191.007413036687,330,375.358473531691,1,678.694354249931,87.32185762343133,177.66178376531693,120
1...27,9,30,15,time-trialist,382.014826073375,191.007413036687,375,367.145113982902,1,657.179628396266,84.55373996334386,172.02987516249934,135
1...28,10,30,15,time-trialist,382.014826073375,191.007413036687,420,360.45983292652,1,639.777005141969,82.31469173703971,167.4743914308406,150
1...29,11,30,15,time-trialist,382.014826073375,191.007413036687,465,354.870180876606,1,625.300010262372,80.45205934916842,163.6847492778378,165
1...30,12,30,15,time-trialist,382.014826073375,191.007413036687,510,350.096242360793,1,612.98769216302,78.86793759929147,160.46175444648352,180
1...31,13,30,15,time-trialist,382.014826073375,191.007413036687,555,345.948362912298,1,602.328231249667,77.49647499261188,157.67142794975598,195
1...32,14,30,15,time-trialist,382.014826073375,191.007413036687,600,342.293177455806,1,592.96386675096,76.29164147901396,155.22011877022473,210
1...33,15,30,15,time-trialist,382.014826073375,191.007413036687,645,339.033961583217,1,584.636431692546,75.22022089921137,153.04024655321956,225
1...34,16,30,15,time-trialist,382.014826073375,191.007413036687,690,336.098710183323,1,577.154564194763,74.25759233996718,151.08171851003155,240
1...35,17,30,15,time-trialist,382.014826073375,191.007413036687,735,333.432608986284,1,570.373134905936,73.38508323607643,149.30654413825874,255
1...36,18,30,15,time-trialist,382.014826073375,191.007413036687,780,330.993115368358,1,564.179878239038,72.58824932474985,147.68533568136277,270
1...37,19,30,15,time-trialist,382.014826073375,191.007413036687,825,328.746648075872,1,558.486438563597,71.85572263491771,146.19496429081693,285
1...38,20,30,15,time-trialist,382.014826073375,191.007413036687,870,326.666301692234,1,553.222213637556,71.17841937372073,144.81694842160303,300
1...39,2,45,15,time-trialist,382.014826073375,191.007413036687,75,482.84765103289,1,1243.0987637947,159.9389954907015,325.40589499422555,30
1...40,3,45,15,time-trialist,382.014826073375,191.007413036687,135,421.793305843176,1,915.600538493222,117.80257101239957,239.67670257838608,45
1...41,4,45,15,time-trialist,382.014826073375,191.007413036687,195,399.322491296225,1,828.986284107606,106.65864806349113,217.0036939740081,60
1...42,5,45,15,time-trialist,382.014826073375,191.007413036687,255,387.670497977791,1,787.475678810758,101.31782985438755,206.1374651096669,75
1...43,6,45,15,time-trialist,382.014826073375,191.007413036687,315,378.546383790588,1,757.53225240223,97.46526264025054,198.2991760264111,90
1...44,7,45,15,time-trialist,382.014826073375,191.007413036687,375,367.145113982902,1,723.453462817807,93.08063325084206,189.37837315215893,105
1...45,8,45,15,time-trialist,382.014826073375,191.007413036687,435,358.491075168214,1,697.968692466611,89.8017235704567,182.7072262196833,120
1...46,9,45,15,time-trialist,382.014826073375,191.007413036687,495,351.610031959207,1,677.931100478288,87.22365622134124,177.4619868675137,135
1...47,10,45,15,time-trialist,382.014826073375,191.007413036687,555,345.948362912298,1,661.589650012246,85.12114011520227,173.18428627824304,150
1...48,11,45,15,time-trialist,382.014826073375,191.007413036687,615,341.166753548912,1,647.88767389628,83.35822283135312,169.59752074434877,165
1...49,12,45,15,time-trialist,382.014826073375,191.007413036687,675,337.044806200433,1,636.147074991356,81.84765935079696,166.52418481505975,180
1...50,13,45,15,time-trialist,382.014826073375,191.007413036687,735,333.432608986284,1,625.911110098362,80.53068439229405,163.84471684827776,195
1...51,14,45,15,time-trialist,382.014826073375,191.007413036687,795,330.22429377022,1,616.859846023439,79.36613485992613,161.4753679494514,210
1...52,15,45,15,time-trialist,382.014826073375,191.007413036687,855,327.342730817594,1,608.76181329175,78.32422953568347,159.35554636688966,225
1...53,16,45,15,time-trialist,382.014826073375,191.007413036687,915,324.730232533785,1,601.444932952411,77.38282847755097,157.44020700308874,240
1...54,17,45,15,time-trialist,382.014826073375,191.007413036687,975,322.342674009751,1,594.778283127803,76.52508707574859,155.69507844534854,255
1...55,18,45,15,time-trialist,382.014826073375,191.007413036687,1035,320.1456441547,1,588.660248735673,75.73793137778311,154.0935609191793,270
1...56,19,45,15,time-trialist,382.014826073375,191.007413036687,1095,318.111850076132,1,583.010580017193,75.01103632647555,152.61464744962856,285
1...57,20,45,15,time-trialist,382.014826073375,191.007413036687,1155,316.219320670913,1,577.764926821652,74.33612253263803,151.2414931012857,300
1...58,2,60,15,time-trialist,382.014826073375,191.007413036687,90,459.821502258396,1,1272.67041302735,163.74372928259712,333.1468639866096,30
1...59,3,60,15,time-trialist,382.014826073375,191.007413036687,165,408.422610300459,1,945.711396588824,121.67668024445493,247.55882024515395,45
1...60,4,60,15,time-trialist,382.014826073375,191.007413036687,240,390.030136907777,1,863.306229208238,111.07430489186332,225.9876241144682,60
1...61,5,60,15,time-trialist,382.014826073375,191.007413036687,315,378.546383790588,1,818.479422872963,105.30681916576201,214.25331348677935,75
1...62,6,60,15,time-trialist,382.014826073375,191.007413036687,390,364.772372114798,1,772.387124571357,99.3765133003512,202.1877350967006,90
1...63,7,60,15,time-trialist,382.014826073375,191.007413036687,465,354.870180876606,1,740.091065911706,95.22125280876695,193.7335975985272,105
1...64,8,60,15,time-trialist,382.014826073375,191.007413036687,540,347.270560052982,1,715.752140769051,92.0897693321391,187.3623985032387,120
1...65,9,60,15,time-trialist,382.014826073375,191.007413036687,615,341.166753548912,1,696.471949436424,89.60915031422961,182.31542387903292,135
1...66,10,60,15,time-trialist,382.014826073375,191.007413036687,690,336.098710183323,1,680.637651068078,87.57188517561544,178.17048046646894,150
1...67,11,60,15,time-trialist,382.014826073375,191.007413036687,765,331.783330085873,1,667.274835861628,85.85260485510146,174.6724970651956,165
1...68,12,60,15,time-trialist,382.014826073375,191.007413036687,840,328.035911504708,1,655.756946043743,84.37069546761104,171.6574596813657,180
1...69,13,60,15,time-trialist,382.014826073375,191.007413036687,915,324.730232533785,1,645.660879765986,83.07172007973215,169.0146129673961,195
1...70,14,60,15,time-trialist,382.014826073375,191.007413036687,990,321.776726180244,1,636.689410814193,81.91743711041632,166.66615203356054,210
1...71,15,60,15,time-trialist,382.014826073375,191.007413036687,1065,319.10982360125,1,628.626830030679,80.88009308825555,164.55561070552176,225
1...72,16,60,15,time-trialist,382.014826073375,191.007413036687,1140,316.680249100356,1,621.312257796995,79.93898899454027,162.64087553441112,240
1...73,17,60,15,time-trialist,382.014826073375,191.007413036687,1215,314.450134676377,1,614.622891663543,79.07832487756546,160.88980052975487,255
1...74,18,60,15,time-trialist,382.014826073375,191.007413036687,1290,312.389813111238,1,608.463105235583,78.28579729856783,159.27735357546393,270
1...75,19,60,15,time-trialist,382.014826073375,191.007413036687,1365,310.475649072786,1,602.757131973994,77.55165801829897,157.7837012687618,285
1...76,20,60,15,time-trialist,382.014826073375,191.007413036687,1440,308.688533601967,1,597.444021439005,76.8680650596002,156.39288861638366,300
1...77,2,75,15,time-trialist,382.014826073375,191.007413036687,105,443.361920800624,1,1298.68174938293,167.09038775354813,339.9558500730774,30
1...78,3,75,15,time-trialist,382.014826073375,191.007413036687,195,399.322491296225,1,974.319715301839,125.35747045268421,255.04761826042267,45
1...79,4,75,15,time-trialist,382.014826073375,191.007413036687,285,383.700826407106,1,894.785983589527,115.1245384217141,234.2280776866137,60
1...80,5,75,15,time-trialist,382.014826073375,191.007413036687,375,367.145113982902,1,831.00094192163,106.91785703096596,217.53107083912408,75
1...81,6,75,15,time-trialist,382.014826073375,191.007413036687,465,354.870180876606,1,786.742907863809,101.22355041932319,205.9456476992064,90
1...82,7,75,15,time-trialist,382.014826073375,191.007413036687,555,345.948362912298,1,755.509137563436,97.20496557898463,197.76958536638642,105
1...83,8,75,15,time-trialist,382.014826073375,191.007413036687,645,339.033961583217,1,731.807004637843,94.15541276667686,191.56507933471727,120
1...84,9,75,15,time-trialist,382.014826073375,191.007413036687,735,333.432608986284,1,712.910538893557,91.72416447210074,186.61855253665618,135
1...85,10,75,15,time-trialist,382.014826073375,191.007413036687,825,328.746648075872,1,697.301054752038,89.71582427706947,182.5324587318778,150
1...86,11,75,15,time-trialist,382.014826073375,191.007413036687,915,324.730232533785,1,684.059154169493,88.01210101770843,179.06612714505044,165
1...87,12,75,15,time-trialist,382.014826073375,191.007413036687,1005,321.222191493813,1,672.592144906064,86.5367380004717,176.0644087611607,180
1...88,13,75,15,time-trialist,382.014826073375,191.007413036687,1095,318.111850076132,1,662.498657496728,85.2380944137632,173.4222371174357,195
1...89,14,75,15,time-trialist,382.014826073375,191.007413036687,1185,315.320298626306,1,653.495889821913,84.07978450269015,171.06558311859698,210
1...90,15,75,15,time-trialist,382.014826073375,191.007413036687,1275,312.789501681228,1,645.377975073186,83.03532112761035,168.9405570215293,225
1...91,16,75,15,time-trialist,382.014826073375,191.007413036687,1365,310.475649072786,1,637.990905838297,82.08488945841471,167.0068443144025,240
1...92,17,75,15,time-trialist,382.014826073375,191.007413036687,1455,308.344927644506,1,631.216771105476,81.2133188832991,165.233579438154,255
1...93,18,75,15,time-trialist,382.014826073375,191.007413036687,1545,306.37073732484,1,624.963482514196,80.40876117241397,163.59665642771597,270
1...94,19,75,15,time-trialist,382.014826073375,191.007413036687,1635,304.531802559291,1,619.157867242434,79.66180179813497,162.0769208374939,285
1...95,20,75,15,time-trialist,382.014826073375,191.007413036687,1725,302.810857387716,1,613.740897578275,78.96484616442133,160.658920986588,300
1...96,2,90,15,time-trialist,382.014826073375,191.007413036687,120,431.154163197243,1,1323.71220875502,170.31084508585388,346.5080720455519,30
1...97,3,90,15,time-trialist,382.014826073375,191.007413036687,225,392.707883059244,1,1001.41564590607,128.8436744848541,262.1405185236775,45
1...98,4,90,15,time-trialist,382.014826073375,191.007413036687,330,375.358473531691,1,911.456329129998,117.26937067308474,238.59187312141944,60
1...99,5,90,15,time-trialist,382.014826073375,191.007413036687,435,358.491075168214,1,843.324743957641,108.50345632176486,220.75707181994568,75
1...100,6,90,15,time-trialist,382.014826073375,191.007413036687,540,347.270560052982,1,800.247864435437,102.96111886611187,209.48083943782078,90
1...101,7,90,15,time-trialist,382.014826073375,191.007413036687,645,339.033961583217,1,769.647847593693,99.02407371876801,201.4706747129924,105
1...102,8,90,15,time-trialist,382.014826073375,191.007413036687,750,332.596083108296,1,746.285470996724,96.01823447733202,195.3551066767713,120
1...103,9,90,15,time-trialist,382.014826073375,191.007413036687,855,327.342730817594,1,727.558559247301,93.60880126005276,190.45296401861538,135
1...104,10,90,15,time-trialist,382.014826073375,191.007413036687,960,322.920495619208,1,712.014782801605,91.60891511804769,186.38407051375688,150
1...105,11,90,15,time-trialist,382.014826073375,191.007413036687,1065,319.10982360125,1,698.772830981787,89.90518526642045,182.91772551455142,165
1...106,12,90,15,time-trialist,382.014826073375,191.007413036687,1170,315.766086069275,1,687.263050582962,88.42431924923676,179.9048109329026,180
1...107,13,90,15,time-trialist,382.014826073375,191.007413036687,1275,312.789501681228,1,677.098594110829,87.11654467394935,177.2440617215145,195
1...108,14,90,15,time-trialist,382.014826073375,191.007413036687,1380,310.108607102236,1,668.00611813472506,85.94669275510249,174.86392478558378,210
1...109,15,90,15,time-trialist,382.014826073375,191.007413036687,1485,307.670617471635,1,659.7860811051,84.88909017057307,172.71216614466488,225
1...110,16,90,15,time-trialist,382.014826073375,191.007413036687,1590,305.435523628867,1,652.288795997256,83.9244779579476,170.7496022345396,240
1...111,17,90,15,time-trialist,382.014826073375,191.007413036687,1695,303.372326808902,1,645.399352989356,83.03807164312647,168.94615311746873,255
1...112,18,90,15,time-trialist,382.014826073375,191.007413036687,1800,301.456551978326,1,639.027776057951,82.21829477279171,167.27826577474522,270
1...113,19,90,15,time-trialist,382.014826073375,191.007413036687,1905,299.668555844061,1,633.10239360242,81.45592596876934,165.72717873541842,285
1...114,20,90,15,time-trialist,382.014826073375,191.007413036687,2010,297.992345315923,1,627.56525165069,80.74350878403519,164.2777213914078,300
1...115,2,105,15,time-trialist,382.014826073375,191.007413036687,135,421.793305843176,1,1348.38788897924,173.48565598829907,352.967423500011,30
1...116,3,105,15,time-trialist,382.014826073375,191.007413036687,255,387.670497977791,1,1027.10738794414,132.14921346023817,268.8658444232371,45
1...117,4,105,15,time-trialist,382.014826073375,191.007413036687,375,367.145113982902,1,921.689649803045,118.58600542218956,241.2706489108914,60
1...118,5,105,15,time-trialist,382.014826073375,191.007413036687,495,351.610031959207,1,855.165648360148,110.02692526164,223.85666471381745,75
1...119,6,105,15,time-trialist,382.014826073375,191.007413036687,615,341.166753548912,1,812.847106767137,104.58215672824014,212.77894240968814,90
1...120,7,105,15,time-trialist,382.014826073375,191.007413036687,735,333.432608986284,1,782.608714917017,100.69163880752474,204.86344023901796,105
1...121,8,105,15,time-trialist,382.014826073375,191.007413036687,855,327.342730817594,1,759.400797565991,97.70567252981446,198.78830499110788,120
1...122,9,105,15,time-trialist,382.014826073375,191.007413036687,975,322.342674009751,1,740.712060353525,95.30115090706981,193.89615527939057,135
1...123,10,105,15,time-trialist,382.014826073375,191.007413036687,1095,318.111850076132,1,725.138006774518,93.2973692626082,189.8193361310113,150
1...124,11,105,15,time-trialist,382.014826073375,191.007413036687,1215,314.450134676377,1,711.824279827613,91.58440471293294,186.33420256073788,165
1...125,12,105,15,time-trialist,382.014826073375,191.007413036687,1335,311.225086066835,1,700.217216928499,90.09102217990335,183.29582234434162,180
1...126,13,105,15,time-trialist,382.014826073375,191.007413036687,1455,308.344927644506,1,689.939839384329,88.76871900611891,180.60551379014012,195
1...127,14,105,15,time-trialist,382.014826073375,191.007413036687,1575,305.743655508507,1,680.725082567084,87.58313424651193,178.19336740515266,210
