X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...1,2,15,15,time trialist,382.014826073375,191.007413036687,45,0,1076.97891817028,138.56576110734875,281.9207121462403,30
1...2,3,15,15,time trialist,382.014826073375,191.007413036687,75,0,833.465734896216,107.23498107929534,218.17627956045067,45
1...3,4,15,15,time trialist,382.014826073375,191.007413036687,105,0,714.059474491055,91.87198829004613,186.91930934479043,60
1...4,5,15,15,time trialist,382.014826073375,191.007413036687,135,0,643.325081930783,82.7711927440832,168.40317129660752,75
1...5,6,15,15,time trialist,382.014826073375,191.007413036687,165,0,596.661802441325,76.76742356241071,156.1881271924043,90
1...6,7,15,15,time trialist,382.014826073375,191.007413036687,195,0,563.656484972166,72.52090874346364,147.5483270546946,105
1...7,8,15,15,time trialist,382.014826073375,191.007413036687,225,0,539.144516940631,69.36716130307815,141.131830531906,120
1...8,9,15,15,time trialist,382.014826073375,191.007413036687,255,0,520.273001511731,66.93912315438604,136.19183497653054,135
1...9,10,15,15,time trialist,382.014826073375,191.007413036687,285,0,505.33742798399,65.01748933358455,132.2821507160374,150
1...10,11,15,15,time trialist,382.014826073375,191.007413036687,315,0,493.256615587983,63.46315346293279,129.11975711990857,165
1...11,12,15,15,time trialist,382.014826073375,191.007413036687,345,0,483.311599538198,62.183612429293554,126.5164508158033,180
1...12,13,15,15,time trialist,382.014826073375,191.007413036687,375,0,475.005630384797,61.11495368578675,124.3421977275722,195
1...13,14,15,15,time trialist,382.014826073375,191.007413036687,405,0,467.984450680905,60.21159792540275,122.50426390284066,210
1...14,15,15,15,time trialist,382.014826073375,191.007413036687,435,0,461.988598463327,59.44016237360253,120.93472999778055,225
1...15,16,15,15,time trialist,382.014826073375,191.007413036687,465,0,456.823669265956,58.775634653305865,119.58270676599663,240
1...16,17,15,15,time trialist,382.014826073375,191.007413036687,495,0,452.341113877297,58.198902194892796,118.40930848857008,255
1...17,18,15,15,time trialist,382.014826073375,191.007413036687,525,0,448.425459892755,57.695108141502324,117.3843079605042,270
1...18,19,15,15,time trialist,382.014826073375,191.007413036687,555,0,444.985582336431,57.25252821383028,116.48385140187227,285
1...19,20,15,15,time trialist,382.014826073375,191.007413036687,585,0,441.948601580261,56.861785607037184,115.68886111644639,300
1...20,2,30,15,time trialist,382.014826073375,191.007413036687,60,0,1107.22277621231,142.45698231670758,289.837645201666,30
1...21,3,30,15,time trialist,382.014826073375,191.007413036687,105,0,874.339783678194,112.49389894988471,228.8758770609223,45
1...22,4,30,15,time trialist,382.014826073375,191.007413036687,150,0,761.107326371049,97.92523714592247,199.23502294250233,60
1...23,5,30,15,time trialist,382.014826073375,191.007413036687,195,0,694.815490989681,89.3960278272959,181.8818128425794,75
1...24,6,30,15,time trialist,382.014826073375,191.007413036687,240,0,651.729647208522,83.85253701632286,170.6032338868811,90
1...25,7,30,15,time trialist,382.014826073375,191.007413036687,285,0,621.795832668169,80.00120647990244,162.76746090182857,105
1...26,8,30,15,time trialist,382.014826073375,191.007413036687,330,0,600.023844895932,77.19998910639492,157.06820886074283,120
1...27,9,30,15,time trialist,382.014826073375,191.007413036687,375,0,583.654804509586,75.09392323875058,152.78328605955238,135
1...28,10,30,15,time trialist,382.014826073375,191.007413036687,420,0,571.038796785073,73.47072831544295,149.4807944117309,150
1...29,11,30,15,time trialist,382.014826073375,191.007413036687,465,0,561.128186188148,72.19561394019169,146.88649442112754,165
1...30,12,30,15,time trialist,382.014826073375,191.007413036687,510,0,553.225590667694,71.17885386760307,144.81783242659642,180
1...31,13,30,15,time trialist,382.014826073375,191.007413036687,555,0,546.848729269218,70.35839708962165,143.14856176921856,195
1...32,14,30,15,time trialist,382.014826073375,191.007413036687,600,0,541.653442416838,69.68996350682313,141.78859181575342,210
1...33,15,30,15,time trialist,382.014826073375,191.007413036687,645,0,537.387621723735,69.14111646709506,140.67192816765626,225
1...34,16,30,15,time trialist,382.014826073375,191.007413036687,690,0,533.862471382763,68.68756521203012,139.74914975687935,240
1...35,17,30,15,time trialist,382.014826073375,191.007413036687,735,0,530.933936783723,68.31077545431174,138.98254741603785,255
1...36,18,30,15,time trialist,382.014826073375,191.007413036687,780,0,528.490331709053,67.99637747371551,138.34288505010636,270
1...37,19,30,15,time trialist,382.014826073375,191.007413036687,825,0,526.443872422715,67.73307687998766,137.80718351533272,285
1...38,20,30,15,time trialist,382.014826073375,191.007413036687,870,0,524.724746903694,67.51189155132134,137.35716812281737,300
1...39,2,45,15,time trialist,382.014826073375,191.007413036687,75,0,1137.36176478657,146.334710859336,297.7271265822842,30
