"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...1",2,15,15,"all around",391.34815655162,195.67407827581,45,622.74369890351,1,1049.81331953121
"1...2",3,15,15,"all around",391.34815655162,195.67407827581,75,519.302988520932,1,842.931898766054
"1...3",4,15,15,"all around",391.34815655162,195.67407827581,105,469.888653643313,1,744.103229010816
"1...4",5,15,15,"all around",391.34815655162,195.67407827581,135,442.509761673263,1,689.345445070717
"1...5",6,15,15,"all around",391.34815655162,195.67407827581,165,425.387873791608,1,655.101669307407
"1...6",7,15,15,"all around",391.34815655162,195.67407827581,195,413.680628603618,1,631.687178931425
"1...7",8,15,15,"all around",391.34815655162,195.67407827581,225,405.152165635096,1,614.630252994382
"1...8",9,15,15,"all around",391.34815655162,195.67407827581,255,398.650858266037,1,601.627638256265
"1...9",10,15,15,"all around",391.34815655162,195.67407827581,285,393.525381448276,1,591.376684620742
"1...10",11,15,15,"all around",391.34815655162,195.67407827581,315,387.025216289782,1,578.376354303755
"1...11",12,15,15,"all around",391.34815655162,195.67407827581,345,379.373269944331,1,563.072461612853
"1...12",13,15,15,"all around",391.34815655162,195.67407827581,375,372.786525388158,1,549.898972500507
"1...13",14,15,15,"all around",391.34815655162,195.67407827581,405,367.034159441566,1,538.394240607321
"1...14",15,15,15,"all around",391.34815655162,195.67407827581,435,361.949027382071,1,528.223976488332
"1...15",16,15,15,"all around",391.34815655162,195.67407827581,465,357.406946900473,1,519.139815525137
"1...16",17,15,15,"all around",391.34815655162,195.67407827581,495,353.313608995143,1,510.953139714477
"1...17",18,15,15,"all around",391.34815655162,195.67407827581,525,349.596019028179,1,503.517959780547
"1...18",19,15,15,"all around",391.34815655162,195.67407827581,555,346.196733478434,1,496.719388681059
"1...19",20,15,15,"all around",391.34815655162,195.67407827581,585,343.069879329835,1,490.46568038386
"1...20",2,30,15,"all around",391.34815655162,195.67407827581,60,560.693019329884,1,1324.19700136769
"1...21",3,30,15,"all around",391.34815655162,195.67407827581,105,469.888653643313,1,946.65108964256
"1...22",4,30,15,"all around",391.34815655162,195.67407827581,150,433.059756188744,1,832.490506901421
"1...23",5,30,15,"all around",391.34815655162,195.67407827581,195,413.680628603618,1,776.015237280371
"1...24",6,30,15,"all around",391.34815655162,195.67407827581,240,401.696731891966,1,742.055575437147
"1...25",7,30,15,"all around",391.34815655162,195.67407827581,285,393.525381448276,1,719.274516350306
"1...26",8,30,15,"all around",391.34815655162,195.67407827581,330,383.048375773955,1,691.586501835652
"1...27",9,30,15,"all around",391.34815655162,195.67407827581,375,372.786525388158,1,664.958298543299
"1...28",10,30,15,"all around",391.34815655162,195.67407827581,420,364.416776369712,1,643.365917918062
"1...29",11,30,15,"all around",391.34815655162,195.67407827581,465,357.406946900473,1,625.366043672078
"1...30",12,30,15,"all around",391.34815655162,195.67407827581,510,351.411746676095,1,610.030588367292
"1...31",13,30,15,"all around",391.34815655162,195.67407827581,555,346.196733478434,1,596.733876824426
"1...32",14,30,15,"all around",391.34815655162,195.67407827581,600,341.59673333692,1,585.037652523415
"1...33",15,30,15,"all around",391.34815655162,195.67407827581,645,337.491744093765,1,574.625059992645
"1...34",16,30,15,"all around",391.34815655162,195.67407827581,690,333.792289806829,1,565.260825454566
"1...35",17,30,15,"all around",391.34815655162,195.67407827581,735,330.430156974839,1,556.766229359861
"1...36",18,30,15,"all around",391.34815655162,195.67407827581,780,327.352332351524,1,549.002816295985
"1...37",19,30,15,"all around",391.34815655162,195.67407827581,825,324.516917762817,1,541.86146805622
"1...38",20,30,15,"all around",391.34815655162,195.67407827581,870,321.890305809097,1,535.254879664503
"1...39",2,45,15,"all around",391.34815655162,195.67407827581,75,519.302988520932,1,1356.00942339642
"1...40",3,45,15,"all around",391.34815655162,195.67407827581,135,442.509761673263,1,967.915084375788
"1...41",4,45,15,"all around",391.34815655162,195.67407827581,195,413.680628603618,1,862.075370555112
"1...42",5,45,15,"all around",391.34815655162,195.67407827581,255,398.650858266037,1,810.867883816727
"1...43",6,45,15,"all around",391.34815655162,195.67407827581,315,387.025216289782,1,773.937323035821
"1...44",7,45,15,"all around",391.34815655162,195.67407827581,375,372.786525388158,1,732.078659938732
"1...45",8,45,15,"all around",391.34815655162,195.67407827581,435,361.949027382071,1,700.657037768696
"1...46",9,45,15,"all around",391.34815655162,195.67407827581,495,353.313608995143,1,675.876453287981
"1...47",10,45,15,"all around",391.34815655162,195.67407827581,555,346.196733478434,1,655.616892474176
"1...48",11,45,15,"all around",391.34815655162,195.67407827581,615,340.178342761611,1,638.595018500228
"1...49",12,45,15,"all around",391.34815655162,195.67407827581,675,334.984953164426,1,623.985004961151
"1...50",13,45,15,"all around",391.34815655162,195.67407827581,735,330.430156974839,1,611.229236984594
"1...51",14,45,15,"all around",391.34815655162,195.67407827581,795,326.382067881761,1,599.936260652654
"1...52",15,45,15,"all around",391.34815655162,195.67407827581,855,322.744440637665,1,589.822294473291
"1...53",16,45,15,"all around",391.34815655162,195.67407827581,915,319.445182776838,1,580.675984974363
"1...54",17,45,15,"all around",391.34815655162,195.67407827581,975,316.429076758045,1,572.336261188142
"1...55",18,45,15,"all around",391.34815655162,195.67407827581,1035,313.65300834434,1,564.67791665885
"1...56",19,45,15,"all around",391.34815655162,195.67407827581,1095,311.082744104849,1,557.601931474989
"1...57",20,45,15,"all around",391.34815655162,195.67407827581,1155,308.690698190557,1,551.028801272476
"1...58",2,60,15,"all around",391.34815655162,195.67407827581,90,490.587000143873,1,1375.03363417153
"1...59",3,60,15,"all around",391.34815655162,195.67407827581,165,425.387873791608,1,990.429398226914
"1...60",4,60,15,"all around",391.34815655162,195.67407827581,240,401.696731891966,1,890.788700351026
