"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...1",2,15,15,"all around",391.34815655162,195.67407827581,45,0,1255.25870262127
"1...2",3,15,15,"all around",391.34815655162,195.67407827581,75,0,944.47664646642
"1...3",4,15,15,"all around",391.34815655162,195.67407827581,105,0,791.87051523122
"1...4",5,15,15,"all around",391.34815655162,195.67407827581,135,0,701.284125595208
"1...5",6,15,15,"all around",391.34815655162,195.67407827581,165,0,641.367545919485
"1...6",7,15,15,"all around",391.34815655162,195.67407827581,195,0,598.852961335569
"1...7",8,15,15,"all around",391.34815655162,195.67407827581,225,0,567.160756930021
"1...8",9,15,15,"all around",391.34815655162,195.67407827581,255,0,542.656815665775
"1...9",10,15,15,"all around",391.34815655162,195.67407827581,285,0,523.170132709123
"1...10",11,15,15,"all around",391.34815655162,195.67407827581,315,0,507.323811171642
"1...11",12,15,15,"all around",391.34815655162,195.67407827581,345,0,494.202382184064
"1...12",13,15,15,"all around",391.34815655162,195.67407827581,375,0,483.173441356056
"1...13",14,15,15,"all around",391.34815655162,195.67407827581,405,0,473.786083446671
"1...14",15,15,15,"all around",391.34815655162,195.67407827581,435,0,465.71014006665
"1...15",16,15,15,"all around",391.34815655162,195.67407827581,465,0,458.698296251566
"1...16",17,15,15,"all around",391.34815655162,195.67407827581,495,0,452.561629025478
"1...17",18,15,15,"all around",391.34815655162,195.67407827581,525,0,447.153329368439
"1...18",19,15,15,"all around",391.34815655162,195.67407827581,555,0,442.357582295168
"1...19",20,15,15,"all around",391.34815655162,195.67407827581,585,0,438.081793815682
"1...20",2,30,15,"all around",391.34815655162,195.67407827581,60,0,1281.41370795249
"1...21",3,30,15,"all around",391.34815655162,195.67407827581,105,0,979.455192677521
"1...22",4,30,15,"all around",391.34815655162,195.67407827581,150,0,831.75123617467
"1...23",5,30,15,"all around",391.34815655162,195.67407827581,195,0,744.554909158065
"1...24",6,30,15,"all around",391.34815655162,195.67407827581,240,0,687.283565788028
"1...25",7,30,15,"all around",391.34815655162,195.67407827581,285,0,646.989097659588
"1...26",8,30,15,"all around",391.34815655162,195.67407827581,330,0,617.248329970966
"1...27",9,30,15,"all around",391.34815655162,195.67407827581,375,0,594.512378722721
"1...28",10,30,15,"all around",391.34815655162,195.67407827581,420,0,576.66037586709
"1...29",11,30,15,"all around",391.34815655162,195.67407827581,465,0,562.346648868703
"1...30",12,30,15,"all around",391.34815655162,195.67407827581,510,0,550.676046937237
"1...31",13,30,15,"all around",391.34815655162,195.67407827581,555,0,541.029852959925
"1...32",14,30,15,"all around",391.34815655162,195.67407827581,600,0,532.966645224364
