"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...1",2,95,420,15,"elevee",320,160,450,309.478929446644,1,1122.38362388966
"1...2",3,90,300,15,"elevee",320,160,645,300.130621357243,1,769.398384682854
"1...3",5,85,240,15,"elevee",320,160,1035,287.854225245014,1,631.92882477029
"1...4",7,82.5,180,15,"elevee",320,160,1185,284.342664173628,1,557.80190348665
"1...5",9,80,120,15,"elevee",320,160,1095,286.393466416298,1,498.612438596474
"1...6",12,77.5,120,15,"elevee",320,160,1500,278.222297800092,1,478.96812642191
"1...7",15,75,120,15,"elevee",320,160,1905,272.014382715317,1,464.534072125792
"1...8",18,72.5,60,15,"elevee",320,160,1290,282.136604537714,1,413.551996072274
"1...9",21,70,60,15,"elevee",320,160,1515,277.961404417308,1,406.230453285884
"1...10",2,95,420,30,"elevee",320,160,480,307.80179043491,1,628.765736724192
"1...11",3,90,300,30,"elevee",320,160,690,298.382213065475,1,547.702065549465
"1...12",5,85,240,30,"elevee",320,160,1110,286.036346641352,1,489.956660039216
"1...13",7,82.5,180,30,"elevee",320,160,1290,282.136604537714,1,449.289623832663
"1...14",9,80,120,30,"elevee",320,160,1230,283.375278972852,1,413.513238490244
"1...15",12,77.5,120,30,"elevee",320,160,1680,275.28084719247,1,400.024806941615
"1...16",15,75,120,30,"elevee",320,160,2130,269.117923258309,1,389.732251342876
"1...17",18,72.5,60,30,"elevee",320,160,1560,277.203925043939,1,356.206290410208
"1...18",21,70,60,30,"elevee",320,160,1830,273.057861620493,1,350.419368285542
"1...19",2,95,420,45,"elevee",320,160,510,306.228259762716,1,513.460005649043
"1...20",3,90,300,45,"elevee",320,160,735,296.74127161276,1,471.308011085881
"1...21",5,85,240,45,"elevee",320,160,1185,284.342664173628,1,433.697908265159
"1...22",7,82.5,180,45,"elevee",320,160,1395,280.10471439656,1,403.67117280066
"1...23",9,80,120,45,"elevee",320,160,1365,280.671563764105,1,376.124591389713
"1...24",12,77.5,120,45,"elevee",320,160,1860,272.639158162689,1,364.93656349135
"1...25",15,75,120,45,"elevee",320,160,2355,266.513881521535,1,356.228937467144
"1...26",18,72.5,60,45,"elevee",320,160,1830,273.057861620493,1,329.74982335244
"1...27",21,70,60,45,"elevee",320,160,2145,268.934947821747,1,324.583118583214
"1...28",2,95,420,60,"elevee",320,160,540,304.744742548818,1,463.974995832709
"1...29",3,90,300,60,"elevee",320,160,780,295.197957163228,1,433.122628631606
"1...30",5,85,240,60,"elevee",320,160,1260,282.748851176078,1,402.905722525316
