"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_velocity","max_velocity","interval_velocity","interval_power","rest_power","duration","PN","PC","DR","power_cogganMOD","err","abs_error","percent_error"
"1...1",2,95,420,15,"elevee",287.074060302472,2.34893214381958,5.48054354529846,5.20651636803354,369.08516183275,145.970392751389,450,154.339612827959,285.623402169123,1,2881.99692298376,-2512.91176115101,2512.91176115101,-154.589253398863
"1...2",3,90,300,15,"elevee",287.074060302472,2.34893214381958,5.48054354529846,4.93248919076862,346.047372092124,146.117525610489,645,160.154328798881,278.212730236069,1,1504.69373587648,-1158.64636378436,1158.64636378436,-125.208907804085
"1...3",5,85,240,15,"elevee",287.074060302472,2.34893214381958,5.48054354529846,4.65846201350369,323.609934347991,146.246266862202,1035,162.419707608913,268.772382227698,1,1108.16744455175,-784.557510203759,784.557510203759,-109.592108628879
"1...4",7,82.5,180,15,"elevee",287.074060302472,2.34893214381958,5.48054354529846,4.52144842487123,312.610791699274,146.460835615057,1185,165.734920007802,266.11751653756,1,907.003356799003,-594.392565099729,594.392565099729,-97.4722318253868
"1...5",9,80,120,15,"elevee",287.074060302472,2.34893214381958,5.48054354529846,4.38443483623877,301.755070119278,146.889973120767,1095,171.097639276657,267.664758590118,1,748.74375165904,-446.988681539762,446.988681539762,-85.1002727986093
"1...6",12,77.5,120,15,"elevee",287.074060302472,2.34893214381958,5.48054354529846,4.24742124760631,291.040547297867,146.889973120767,1500,169.233369124202,261.533706137475,1,714.493509069351,-423.452961771484,423.452961771484,-84.2244892831039
"1...7",15,75,120,15,"elevee",287.074060302472,2.34893214381958,5.48054354529846,4.11040765897385,280.465000924909,146.889973120767,1905,167.301126174164,256.931079992072,1,690.229493018812,-409.764492093903,409.764492093903,-84.4270766241022
"1...8",18,72.5,60,15,"elevee",287.074060302472,2.34893214381958,5.48054354529846,3.97339407034139,270.026208690268,148.177385637896,1290,177.670360981022,264.461017941279,1,557.733288517954,-287.707079827687,287.707079827687,-69.5146551137219
"1...9",21,70,60,15,"elevee",287.074060302472,2.34893214381958,5.48054354529846,3.83638048170892,259.72194828381,148.177385637896,1515,174.879904047968,261.341234797749,1,546.653037593759,-286.931089309949,286.931089309949,-71.1656721339602
"1...10",2,95,420,30,"elevee",287.074060302472,2.34893214381958,5.31772886394295,5.05184242074581,332.186992308003,145.970392751389,480,177.309865353646,284.277181049445,1,731.312569718505,-399.125577410502,399.125577410502,-75.0589077159495
"1...11",3,90,300,30,"elevee",287.074060302472,2.34893214381958,5.31772886394295,4.78595597754866,312.597283170099,146.117525610489,690,178.868373721533,276.848472807722,1,625.144898546972,-312.547615376873,312.547615376873,-66.6596046270579
"1...12",5,85,240,30,"elevee",287.074060302472,2.34893214381958,5.31772886394295,4.52006953435151,293.431870125658,146.246266862202,1110,177.769288445595,267.397805652918,1,553.854918292286,-260.423048166628,260.423048166628,-61.4722315339981
"1...13",7,82.5,180,30,"elevee",287.074060302472,2.34893214381958,5.31772886394295,4.38712631275294,284.003199447998,146.460835615057,1290,180.983054591366,264.461017941279,1,499.758582979614,-215.755383531616,215.755383531616,-55.0563674751629
"1...14",9,80,120,30,"elevee",287.074060302472,2.34893214381958,5.31772886394295,4.25418309115436,274.674512565116,146.889973120767,1230,186.868685889264,265.389504354557,1,450.145709383182,-175.471196818067,175.471196818067,-48.4178535599916
"1...15",12,77.5,120,30,"elevee",287.074060302472,2.34893214381958,5.31772886394295,4.12123986955579,265.443779400816,146.889973120767,1680,183.144621865859,259.346154470173,1,436.789812676626,-171.34603327581,171.34603327581,-48.8002952888969
"1...16",15,75,120,30,"elevee",287.074060302472,2.34893214381958,5.31772886394295,3.98829664795722,256.308969878904,146.889973120767,2130,179.574456033466,254.795035851021,1,426.67722912345,-170.368259244546,170.368259244546,-49.8892245534111
"1...17",18,72.5,60,30,"elevee",287.074060302472,2.34893214381958,5.31772886394295,3.85535342635864,247.268053923182,148.177385637896,1560,190.255730844245,260.775518132383,1,377.969678086425,-130.701624163242,130.701624163242,-41.8086169377999
"1...18",21,70,60,30,"elevee",287.074060302472,2.34893214381958,5.31772886394295,3.72241020476007,238.319001457456,148.177385637896,1830,185.868908460524,257.701656218349,1,372.368738525541,-134.049737068085,134.049737068085,-43.9012373399922
"1...19",2,95,420,45,"elevee",287.074060302472,2.34893214381958,5.22248855444657,4.96136412672424,317.814149346715,145.970392751389,510,196.370091713786,283.020172900298,1,513.525214254991,-195.711064908276,195.711064908276,-47.0833148235337
"1...20",3,90,300,45,"elevee",287.074060302472,2.34893214381958,5.22248855444657,4.70023969900191,299.500043767003,146.117525610489,735,193.172942445792,275.576359167135,1,476.586885100538,-177.086841333536,177.086841333536,-45.6358262835167
"1...21",5,85,240,45,"elevee",287.074060302472,2.34893214381958,5.22248855444657,4.43911527127959,281.547695529907,146.246266862202,1185,188.707269133565,266.11751653756,1,442.771698587176,-161.224003057269,161.224003057269,-44.5173784843341
"1...22",7,82.5,180,45,"elevee",287.074060302472,2.34893214381958,5.22248855444657,4.30855305741842,272.702373059023,146.460835615057,1395,191.115144997422,262.93985834932,1,411.19928795526,-138.496914896236,138.496914896236,-40.50199693647
"1...23",9,80,120,45,"elevee",287.074060302472,2.34893214381958,5.22248855444657,4.17799084355726,263.941721096812,146.889973120767,1365,196.455843821787,263.361928395502,1,379.943119402817,-116.001398306005,116.001398306005,-36.0317221371426
"1...24",12,77.5,120,45,"elevee",287.074060302472,2.34893214381958,5.22248855444657,4.04742862969609,255.263816700947,146.889973120767,1860,191.579360566764,257.38957309151,1,370.788372158945,-115.524555457998,115.524555457998,-36.9057268750648
"1...25",15,75,120,45,"elevee",287.074060302472,2.34893214381958,5.22248855444657,3.91686641583493,246.6667369291,146.889973120767,2355,187.028609074639,252.88055697679,1,363.603269355419,-116.93653242632,116.93653242632,-38.3228837144592
"1...26",18,72.5,60,45,"elevee",287.074060302472,2.34893214381958,5.22248855444657,3.78630420197377,238.148558838944,148.177385637896,1830,196.640305640898,257.701656218349,1,330.940991544162,-92.7924327052179,92.7924327052179,-32.6108369562403
"1...27",21,70,60,45,"elevee",287.074060302472,2.34893214381958,5.22248855444657,3.6557419881126,229.707359488154,148.177385637896,2145,191.433213196148,254.661043355123,1,326.617681950895,-96.9103224627418,96.9103224627418,-34.8394608346456
"1...28",2,95,420,60,"elevee",287.074060302472,2.34893214381958,5.1549140363528,4.89716833453516,309.54679908637,145.970392751389,540,207.145211033507,281.841316950351,1,448.919024017181,-139.37222493081,139.37222493081,-36.7510890235017
"1...29",3,90,300,60,"elevee",287.074060302472,2.34893214381958,5.1549140363528,4.63942263271752,291.938893742983,146.117525610489,780,201.796633405416,274.384862441619,1,423.836046853628,-131.897153110646,131.897153110646,-36.8543645858032
"1...30",5,85,240,60,"elevee",287.074060302472,2.34893214381958,5.1549140363528,4.38167693089988,274.65928587576,146.246266862202,1260,195.630159701816,264.919485955738,1,398.670300265594,-124.011014389833,124.011014389833,-36.8351597619532
"1...31",7,82.5,180,60,"elevee",287.074060302472,2.34893214381958,5.1549140363528,4.25280407999106,266.137970344916,146.460835615057,1500,197.445388379782,261.533706137475,1,374.014359932885,-107.876389587969,107.876389587969,-33.7033498077417
"1...32",9,80,120,60,"elevee",287.074060302472,2.34893214381958,5.1549140363528,4.12393122908224,257.693181402159,146.889973120767,1500,202.136657857331,261.533706137475,1,349.236883748487,-91.543702346328,91.543702346328,-30.166145196187
"1...33",12,77.5,120,60,"elevee",287.074060302472,2.34893214381958,5.1549140363528,3.99505837817342,249.32306978717,146.889973120767,2040,196.685093579458,255.620098647349,1,341.388176680431,-92.0651068932613,92.0651068932613,-31.1709341725935
"1...34",15,75,120,60,"elevee",287.074060302472,2.34893214381958,5.1549140363528,3.8661855272646,241.025786239632,146.889973120767,2580,191.609961681404,251.146196286213,1,335.177083476123,-94.1512972364911,94.1512972364911,-32.6799126435926
"1...35",18,72.5,60,60,"elevee",287.074060302472,2.34893214381958,5.1549140363528,3.73731267635578,232.799481499226,148.177385637896,2100,199.965853519596,255.066000612375,1,309.142254952196,-76.3427734529698,76.3427734529698,-28.1737937191752
"1...36",21,70,60,60,"elevee",287.074060302472,2.34893214381958,5.1549140363528,3.60843982544696,224.642306305635,148.177385637896,2460,194.342683852156,252.050827615679,1,305.273428210744,-80.6311219051094,80.6311219051094,-30.4316768320519
"1...37",2,95,420,75,"elevee",287.074060302472,2.34893214381958,5.10249981539839,4.84737482462847,303.925816933506,145.970392751389,570,214.514201695729,280.731616338513,1,414.729258765743,-110.803441832237,110.803441832237,-30.8363345863594
"1...38",3,90,300,75,"elevee",287.074060302472,2.34893214381958,5.10249981539839,4.59224983385855,286.783975637601,146.117525610489,825,207.856637012618,273.26441763895,1,394.437782107679,-107.653806470078,107.653806470078,-31.6060974994082
"1...39",5,85,240,75,"elevee",287.074060302472,2.34893214381958,5.10249981539839,4.33712484308863,269.948986877543,146.246266862202,1335,200.602101811958,263.793822139594,1,373.143578769844,-103.194591892302,103.194591892302,-32.0932311784441
"1...40",7,82.5,180,75,"elevee",287.074060302472,2.34893214381958,5.10249981539839,4.20956234770367,261.642078640683,146.460835615057,1605,201.914601818008,260.226534858715,1,352.022101644195,-90.3800230035117,90.3800230035117,-29.4558574240247
"1...41",9,80,120,75,"elevee",287.074060302472,2.34893214381958,5.10249981539839,4.08199985231871,253.406503268458,146.889973120767,1635,205.957812130321,259.86934471607,1,330.794815455835,-77.3883121873777,77.3883121873777,-26.4937136247377
"1...42",12,77.5,120,75,"elevee",287.074060302472,2.34893214381958,5.10249981539839,3.95443735693375,245.240467337758,146.889973120767,2220,200.1603929135,254.005279060711,1,323.589924748764,-78.3494574110063,78.3494574110063,-27.5475637381516
"1...43",15,75,120,75,"elevee",287.074060302472,2.34893214381958,5.10249981539839,3.82687486154879,237.142177425475,146.889973120767,2805,194.752629333288,249.561144698227,1,317.876261966634,-80.7340845411594,80.7340845411594,-29.0923972290306
"1...44",18,72.5,60,75,"elevee",287.074060302472,2.34893214381958,5.10249981539839,3.69931236616383,229.109840108499,148.177385637896,2370,201.924451028554,252.759717967649,1,295.745454000744,-66.6356138922447,66.6356138922447,-25.3919945707456
"1...45",21,70,60,75,"elevee",287.074060302472,2.34893214381958,5.10249981539839,3.57174987077887,221.141661963722,148.177385637896,2775,196.048972544279,249.764778626486,1,292.114267113585,-70.972605149863,70.972605149863,-27.6558344985717
"1...46",2,95,420,90,"elevee",287.074060302472,2.34893214381958,5.05967391648426,4.80669022066004,299.733465403528,145.970392751389,600,219.991448908571,279.683403859817,1,392.617762499312,-92.8842970957835,92.8842970957835,-26.8315540876944
"1...47",3,90,300,90,"elevee",287.074060302472,2.34893214381958,5.05967391648426,4.55370652483583,282.931030479824,146.117525610489,870,212.425748454319,272.207087891756,1,374.939474867031,-92.0084443872067,92.0084443872067,-27.9715973400255
"1...48",5,85,240,90,"elevee",287.074060302472,2.34893214381958,5.05967391648426,4.30072282901162,266.420222953416,146.246266862202,1410,204.394621550542,262.732333200338,1,355.875841298106,-89.4556183446901,89.4556183446901,-28.7501796921324
"1...49",7,82.5,180,90,"elevee",287.074060302472,2.34893214381958,5.05967391648426,4.17423098109951,258.269807854681,146.460835615057,1710,205.263169264764,259.005360962325,1,336.975812324979,-78.7060044702981,78.7060044702981,-26.444883188403
"1...50",9,80,120,90,"elevee",287.074060302472,2.34893214381958,5.05967391648426,4.04773913318741,250.187053673849,146.889973120767,1770,208.693919520175,258.34205455658,1,318.080690991835,-67.8936373179864,67.8936373179864,-23.8949466885293
"1...51",12,77.5,120,90,"elevee",287.074060302472,2.34893214381958,5.05967391648426,3.9212472852753,242.170211767114,146.889973120767,2400,202.668340785149,252.52038635678,1,311.26038088477,-69.0901691176566,69.0901691176566,-24.9679616685431
"1...52",15,75,120,90,"elevee",287.074060302472,2.34893214381958,5.05967391648426,3.79475543736319,234.217533490668,146.889973120767,3030,197.030712512027,248.101942429364,1,305.851393710739,-71.6338602200709,71.6338602200709,-26.5276732698812
"1...53",18,72.5,60,90,"elevee",287.074060302472,2.34893214381958,5.05967391648426,3.66826358945109,226.327270200706,148.177385637896,2640,203.140874056496,250.710001896398,1,286.383944865503,-60.0566746647974,60.0566746647974,-23.4270961508193
"1...54",21,70,60,90,"elevee",287.074060302472,2.34893214381958,5.05967391648426,3.54177174153898,218.497673253419,148.177385637896,3090,197.097758307647,247.731618842695,1,282.900151825659,-64.4024785722403,64.4024785722403,-25.6891734869744
"1...55",2,95,420,105,"elevee",287.074060302472,2.34893214381958,5.02346525065144,4.77229198811887,296.418982565916,145.970392751389,630,224.259337661938,278.69032353538,1,376.75986809882,-80.3408855329037,80.3408855329037,-23.8691056480965
"1...56",3,90,300,105,"elevee",287.074060302472,2.34893214381958,5.02346525065144,4.5211187255863,279.879674798445,146.117525610489,915,216.015417710927,271.206169582855,1,360.742848388983,-80.8631735905387,80.8631735905387,-25.2451859445099
"1...57",5,85,240,105,"elevee",287.074060302472,2.34893214381958,5.02346525065144,4.26994546305373,263.620451283155,146.246266862202,1485,207.393935379213,261.728193632031,1,343.147484722916,-79.5270334397607,79.5270334397607,-26.213327607003
"1...58",7,82.5,180,105,"elevee",287.074060302472,2.34893214381958,5.02346525065144,4.14435883178744,255.591592694476,146.460835615057,1815,207.864302177746,257.859674968679,1,325.807961230467,-70.2163685359907,70.2163685359907,-24.1542560746634
"1...59",9,80,120,105,"elevee",287.074060302472,2.34893214381958,5.02346525065144,4.01877220052115,247.62762105812,146.889973120767,1905,210.728618722044,256.931079992072,1,308.60086068936,-60.9732396312393,60.9732396312393,-21.9238106756713
"1...60",12,77.5,120,105,"elevee",287.074060302472,2.34893214381958,5.02346525065144,3.89318556925487,239.726825003847,146.889973120767,2580,204.543838896583,251.146196286213,1,302.036392827048,-62.309567823201,62.309567823201,-23.0025094995099
"1...61",15,75,120,105,"elevee",287.074060302472,2.34893214381958,5.02346525065144,3.76759893798858,231.887493161414,146.889973120767,3255,198.738769587883,246.750130092212,1,296.834020642698,-64.946527481284,64.946527481284,-24.5673859624128
"1...62",18,72.5,60,105,"elevee",287.074060302472,2.34893214381958,5.02346525065144,3.64201230672229,224.107914160582,148.177385637896,2910,203.910710725864,248.865754557743,1,279.333363525587,-55.2254493650044,55.2254493650044,-21.9391821103038
"1...63",21,70,60,105,"elevee",287.074060302472,2.34893214381958,5.02346525065144,3.51642567545601,216.38637663111,148.177385637896,3405,197.749767929149,245.901236041375,1,275.950479754669,-59.5641031235595,59.5641031235595,-24.1964835055481
"1...64",2,95,420,120,"elevee",287.074060302472,2.34893214381958,4.99209948527978,4.74249451101579,293.692072217597,145.970392751389,660,227.688619701167,277.746920474189,1,364.644132697439,-70.9520604798419,70.9520604798419,-21.5549623277969
"1...65",3,90,300,120,"elevee",287.074060302472,2.34893214381958,4.99209948527978,4.4928895367518,277.365726292099,146.117525610489,960,218.913808953925,270.256052274438,1,349.785714147092,-72.419987854993,72.419987854993,-23.0948964429636
"1...66",5,85,240,120,"elevee",287.074060302472,2.34893214381958,4.99209948527978,4.24328456248781,261.310304857526,146.246266862202,1560,209.824756140948,260.775518132383,1,333.239106448102,-71.9288015905767,71.9288015905767,-24.196071923651
"1...67",7,82.5,180,120,"elevee",287.074060302472,2.34893214381958,4.99209948527978,4.11848207535582,253.379992040931,146.460835615057,1920,209.935132656516,256.780750270843,1,317.073643008285,-63.6936509673542,63.6936509673542,-22.3308774119247
"1...68",9,80,120,120,"elevee",287.074060302472,2.34893214381958,4.99209948527978,3.99367958822382,245.512371806981,146.889973120767,2040,212.280333154933,255.620098647349,1,301.163283503548,-55.6509116965675,55.6509116965675,-20.3597548769411
"1...69",12,77.5,120,120,"elevee",287.074060302472,2.34893214381958,4.99209948527978,3.86887710109183,237.705764642315,146.889973120767,2760,205.980200283527,249.867423719256,1,294.781217067984,-57.0754524256687,57.0754524256687,-21.4373137320081
"1...70",15,75,120,120,"elevee",287.074060302472,2.34893214381958,4.99209948527978,3.74407461395983,229.958491033571,146.889973120767,3480,200.048675587438,245.491082041479,1,289.728581349583,-59.7700903160123,59.7700903160123,-23.0023387119952
"1...71",18,72.5,60,120,"elevee",287.074060302472,2.34893214381958,4.99209948527978,3.61927212682784,222.268871467386,148.177385637896,3180,204.393747959756,247.189765346235,1,273.75409001968,-51.4852185522943,51.4852185522943,-20.7592077584242
"1...72",21,70,60,120,"elevee",287.074060302472,2.34893214381958,4.99209948527978,3.49446963969584,214.6352264304,148.177385637896,3720,198.146777035307,244.237078239655,1,270.44493191777,-55.8097054873701,55.8097054873701,-23.0105084806674
"1...73",2,95,420,135,"elevee",287.074060302472,2.34893214381958,4.96443355071833,4.71621187318241,291.383135129994,145.970392751389,690,230.504784481828,276.848472807722,1,354.982783235493,-63.5996481054997,63.5996481054997,-19.6791465324561
"1...74",3,90,300,135,"elevee",287.074060302472,2.34893214381958,4.96443355071833,4.4679901956465,275.234616437883,146.117525610489,1005,221.300652739875,269.351809949015,1,340.98371268354,-65.749096245657,65.749096245657,-21.3395457870912
"1...75",5,85,240,135,"elevee",287.074060302472,2.34893214381958,4.96443355071833,4.21976851811058,259.349507357095,146.246266862202,1635,211.830425089907,259.86934471607,1,325.228764765565,-65.8792574084705,65.8792574084705,-22.539071515353
"1...76",7,82.5,180,135,"elevee",287.074060302472,2.34893214381958,4.96443355071833,4.09565767934262,251.501602059648,146.460835615057,2025,211.613633262713,255.761266729727,1,309.988158310718,-58.4865562510706,58.4865562510706,-20.8326350288177
"1...77",9,80,120,135,"elevee",287.074060302472,2.34893214381958,4.96443355071833,3.97154684057466,243.714593931473,146.889973120767,2175,213.484715548895,254.395945033198,1,295.114541595563,-51.3999476640901,51.3999476640901,-19.0783846956662
"1...78",12,77.5,120,135,"elevee",287.074060302472,2.34893214381958,4.96443355071833,3.8474360018067,235.98683122805,146.889973120767,2940,207.098725850777,248.67180892862,1,288.869146041542,-52.8823148134917,52.8823148134917,-20.1511717894865
"1...79",15,75,120,135,"elevee",287.074060302472,2.34893214381958,4.96443355071833,3.72332516303875,228.31666220486,146.889973120767,3705,201.069139160964,244.312972062629,1,283.930172859456,-55.6135106545964,55.6135106545964,-21.7135594981719
"1...80",18,72.5,60,135,"elevee",287.074060302472,2.34893214381958,4.96443355071833,3.59921432427079,220.702435117383,148.177385637896,3450,204.684149056707,245.654047348574,1,269.180960418034,-48.4785253006511,48.4785253006511,-19.7918630198383
"1...81",21,70,60,135,"elevee",287.074060302472,2.34893214381958,4.96443355071833,3.47510348550283,213.142498221099,148.177385637896,4035,198.372641121098,242.711608880933,1,265.928210634321,-52.7857124132218,52.7857124132218,-22.0367104218648
"1...82",2,95,420,150,"elevee",287.074060302472,2.34893214381958,4.93968516855007,4.69270091012257,289.385192103203,145.970392751389,720,232.855507801467,275.990929210684,1,347.036674648306,-57.6514825451035,57.6514825451035,-18.1173795424014
"1...83",3,90,300,150,"elevee",287.074060302472,2.34893214381958,4.93968516855007,4.44571665169506,273.388716464756,146.117525610489,1050,223.295804270264,268.489241292228,1,333.703496753149,-60.3147802883928,60.3147802883928,-19.8700556439995
"1...84",5,85,240,150,"elevee",287.074060302472,2.34893214381958,4.93968516855007,4.19873239326756,257.649326368144,146.246266862202,1710,213.508089962106,259.005360962325,1,318.570260391725,-60.9209340235802,60.9209340235802,-21.145041030675
"1...85",7,82.5,180,150,"elevee",287.074060302472,2.34893214381958,4.93968516855007,4.07524026405381,249.871970485673,146.460835615057,2130,212.992751738158,254.795035851021,1,304.082484868534,-54.2105143828614,54.2105143828614,-19.5721918503926
"1...86",9,80,120,150,"elevee",287.074060302472,2.34893214381958,4.93968516855007,3.95174813484006,242.154004493835,146.889973120767,2310,214.431074601525,253.247896397176,1,290.061791989042,-47.9077874952073,47.9077874952073,-18.0031437667967
"1...87",12,77.5,120,150,"elevee",287.074060302472,2.34893214381958,4.93968516855007,3.82825600562631,234.49380122769,146.889973120767,3120,207.979916600788,247.549220019319,1,283.922603751674,-49.4288025239842,49.4288025239842,-19.0691506091331
"1...88",15,75,120,150,"elevee",287.074060302472,2.34893214381958,4.93968516855007,3.70476387641255,226.889733522296,146.889973120767,3930,201.872739008439,243.206095844181,1,279.073036523406,-52.1833030011101,52.1833030011101,-20.6273291595729
"1...89",18,72.5,60,150,"elevee",287.074060302472,2.34893214381958,4.93968516855007,3.5812717471988,219.340174212712,148.177385637896,3720,204.84077123821,244.237078239655,1,265.332498727192,-45.9923245144792,45.9923245144792,-18.9787157734729
"1...90",21,70,60,150,"elevee",287.074060302472,2.34893214381958,4.93968516855007,3.45777961798505,211.843496133997,148.177385637896,4350,198.479883772826,241.303639227967,1,262.124435938148,-50.2809398041511,50.2809398041511,-21.2170218285982
"1...91",2,95,420,165,"elevee",287.074060302472,2.34893214381958,4.91729757615954,4.67143269735157,287.626949629991,145.970392751389,750,234.842899472968,275.170757171006,1,340.346360740915,-52.7194111109242,52.7194111109242,-16.7903349522246
"1...92",3,90,300,165,"elevee",287.074060302472,2.34893214381958,4.91729757615954,4.42556781854359,271.762888403186,146.117525610489,1095,224.983271131612,267.664758590118,1,327.546348156496,-55.7834597533105,55.7834597533105,-18.6159185777058
"1...93",5,85,240,165,"elevee",287.074060302472,2.34893214381958,4.91729757615954,4.17970293973561,256.150483715781,146.246266862202,1785,214.926679581868,258.179842609854,1,312.916029891576,-56.7655461757953,56.7655461757953,-19.9504081925166
"1...94",7,82.5,180,165,"elevee",287.074060302472,2.34893214381958,4.91729757615954,4.05677050033162,248.434639721361,146.460835615057,2235,214.137968446688,253.876870338643,1,299.056317456158,-50.6216777347969,50.6216777347969,-18.4922425005033
"1...95",9,80,120,165,"elevee",287.074060302472,2.34893214381958,4.91729757615954,3.93383806092764,240.776894438201,146.889973120767,2445,215.180936530083,252.16709677577,1,285.752463829919,-44.9755693917176,44.9755693917176,-17.0837840988213
"1...96",12,77.5,120,165,"elevee",287.074060302472,2.34893214381958,4.91729757615954,3.81090562152365,233.175642725104,146.889973120767,3300,208.679593973448,246.491313399504,1,279.698228630154,-46.5225859050503,46.5225859050503,-18.1419208516571
"1...97",15,75,120,165,"elevee",287.074060302472,2.34893214381958,4.91729757615954,3.68797318211966,225.629279440872,146.889973120767,4155,202.510045136946,242.162375032551,1,274.920908631885,-49.2916291910126,49.2916291910126,-19.6949797904572
"1...98",18,72.5,60,165,"elevee",287.074060302472,2.34893214381958,4.91729757615954,3.56504074271567,218.13619944431,148.177385637896,3990,204.902195420774,242.921918887339,1,262.02694378125,-43.89074433694,43.89074433694,-18.2815965599101
"1...99",21,70,60,165,"elevee",287.074060302472,2.34893214381958,4.91729757615954,3.44210830331168,210.694797594219,148.177385637896,4665,198.502975105018,239.996485579696,1,258.855268433776,-48.160470839557,48.160470839557,-20.5134550387586
"1...100",2,95,420,180,"elevee",287.074060302472,2.34893214381958,4.89685913225306,4.6520161756404,286.058638600271,145.970392751389,780,236.540379385658,274.384862441619,1,334.608810481275,-48.5501718810039,48.5501718810039,-15.6445039780474
"1...101",3,90,300,180,"elevee",287.074060302472,2.34893214381958,4.89685913225306,4.40717321902775,270.311610875514,146.117525610489,1140,226.424081482803,266.875105645376,1,322.246513684836,-51.9349028093218,51.9349028093218,-17.5290492718685
"1...102",5,85,240,180,"elevee",287.074060302472,2.34893214381958,4.89685913225306,4.1623302624151,254.811503796182,146.246266862202,1860,216.136733014163,257.38957309151,1,308.032664534671,-53.2211607384894,53.2211607384894,-18.9115082763742
"1...103",7,82.5,180,180,"elevee",287.074060302472,2.34893214381958,4.89685913225306,4.03990878410877,247.150082475395,146.460835615057,2340,215.096920311392,253.002192443427,1,294.706829226714,-47.5567467513181,47.5567467513181,-17.5532491047979
"1...104",9,80,120,180,"elevee",287.074060302472,2.34893214381958,4.89685913225306,3.91748730580244,239.54563568818,146.889973120767,2580,215.778101857432,251.146196286213,1,282.015733407809,-42.4700977196293,42.4700977196293,-16.2857528322091
"1...105",12,77.5,120,180,"elevee",287.074060302472,2.34893214381958,4.89685913225306,3.79506582749612,231.996578225273,146.889973120767,3480,209.237710766936,245.491082041479,1,276.030979389791,-44.0344011645187,44.0344011645187,-17.3354380109765
"1...106",15,75,120,180,"elevee",287.074060302472,2.34893214381958,4.89685913225306,3.67264434918979,224.501324877413,146.889973120767,4380,203.017390395533,241.175044466708,1,271.313344225073,-46.8120193476604,46.8120193476604,-18.8828698563512
"1...107",18,72.5,60,180,"elevee",287.074060302472,2.34893214381958,4.89685913225306,3.55022287088347,217.058290435338,148.177385637896,4260,204.894578564389,241.694994922826,1,259.140934545748,-42.0826441104093,42.0826441104093,-17.6743858044207
"1...108",21,70,60,180,"elevee",287.074060302472,2.34893214381958,4.89685913225306,3.42780139257714,209.665889689787,148.177385637896,4980,198.465291958213,238.776715449343,1,255.999498199827,-46.3336085100398,46.3336085100398,-19.8999580879407
"1...109",2,95,420,195,"elevee",287.074060302472,2.34893214381958,4.87805761583294,4.6341547350413,284.644288069819,145.970392751389,810,238.002441491722,273.630523252254,1,329.614774542008,-44.970486472189,44.970486472189,-14.642189007672
"1...110",3,90,300,195,"elevee",287.074060302472,2.34893214381958,4.87805761583294,4.39025185424965,269.001951308108,146.117525610489,1185,227.663898519767,266.11751653756,1,317.619135972949,-48.6171846648407,48.6171846648407,-16.5753279992636
"1...111",5,85,240,195,"elevee",287.074060302472,2.34893214381958,4.87805761583294,4.146348973458,253.602349339397,146.246266862202,1935,217.176341093368,256.631628551382,1,303.756502609424,-50.1541532700271,50.1541532700271,-17.9970778591429
"1...112",7,82.5,180,195,"elevee",287.074060302472,2.34893214381958,4.87805761583294,4.02439753306218,245.989656352364,146.460835615057,2445,215.905222322007,252.16709677577,1,290.891445976095,-44.9017896237306,44.9017896237306,-16.7269026341181
"1...113",9,80,120,195,"elevee",287.074060302472,2.34893214381958,4.87805761583294,3.90244609266635,238.43294600352,146.889973120767,2715,216.254645447783,250.178879396854,1,278.731163981953,-40.2982179784339,40.2982179784339,-15.5843057166383
"1...114",12,77.5,120,195,"elevee",287.074060302472,2.34893214381958,4.87805761583294,3.78049465227053,230.930651272842,146.889973120767,3660,209.683657995919,244.542627872845,1,272.804429442198,-41.8737781693557,41.8737781693557,-16.6253174624713
