"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...1",2,30,15,"elevee",312.947910877278,156.473955438639,60,395.87382097076,1,902.47021433292
"1...2",3,30,15,"elevee",312.947910877278,156.473955438639,105,349.82529698049,1,689.157116710506
"1...3",4,30,15,"elevee",312.947910877278,156.473955438639,150,332.215263907082,1,629.777091443359
"1...4",5,30,15,"elevee",312.947910877278,156.473955438639,195,323.208648589931,1,601.382137473345
"1...5",6,30,15,"elevee",312.947910877278,156.473955438639,240,317.694598701003,1,584.546840016595
"1...6",7,30,15,"elevee",312.947910877278,156.473955438639,285,313.946011935033,1,573.323426958286
"1...7",8,30,15,"elevee",312.947910877278,156.473955438639,330,308.754102534943,1,559.126055043838
"1...8",9,30,15,"elevee",312.947910877278,156.473955438639,375,303.595011110187,1,545.397468964597
"1...9",10,30,15,"elevee",312.947910877278,156.473955438639,420,299.408666481497,1,534.334362951904
"1...10",11,30,15,"elevee",312.947910877278,156.473955438639,465,295.917222639147,1,525.160011553147
"1...11",12,30,15,"elevee",312.947910877278,156.473955438639,510,292.941481274883,1,517.378180989706
"1...12",13,30,15,"elevee",312.947910877278,156.473955438639,555,290.360414982835,1,510.656246578749
"1...13",14,30,15,"elevee",312.947910877278,156.473955438639,600,288.089162737171,1,504.762426341742
"1...14",15,30,15,"elevee",312.947910877278,156.473955438639,645,286.066340264099,1,499.529937087793
"1...15",16,30,15,"elevee",312.947910877278,156.473955438639,690,284.246361259325,1,494.835476767184
"1...16",17,30,15,"elevee",312.947910877278,156.473955438639,735,282.59459996338,1,490.585758641247
"1...17",18,30,15,"elevee",312.947910877278,156.473955438639,780,281.084237498266,1,486.708781783736
"1...18",19,30,15,"elevee",312.947910877278,156.473955438639,825,279.694144195051,1,483.147997627148
"1...19",20,30,15,"elevee",312.947910877278,156.473955438639,870,278.407420413188,1,479.85830743327
"1...20",2,60,15,"elevee",312.947910877278,156.473955438639,90,360.027814544575,1,981.785127581564
"1...21",3,60,15,"elevee",312.947910877278,156.473955438639,165,328.632290736243,1,756.327836771195
"1...22",4,60,15,"elevee",312.947910877278,156.473955438639,240,317.694598701003,1,701.783831891296
"1...23",5,60,15,"elevee",312.947910877278,156.473955438639,315,310.761222524722,1,672.429692741296
"1...24",6,60,15,"elevee",312.947910877278,156.473955438639,390,302.107867134957,1,642.338593236509
"1...25",7,60,15,"elevee",312.947910877278,156.473955438639,465,295.917222639147,1,621.413177743019
"1...26",8,60,15,"elevee",312.947910877278,156.473955438639,540,291.182733460845,1,605.735551146605
"1...27",9,60,15,"elevee",312.947910877278,156.473955438639,615,287.38980592395,1,593.37411008145
"1...28",10,60,15,"elevee",312.947910877278,156.473955438639,690,284.246361259325,1,583.260056780552
"1...29",11,60,15,"elevee",312.947910877278,156.473955438639,765,281.573383821523,1,574.750814086913
"1...30",12,60,15,"elevee",312.947910877278,156.473955438639,840,279.254484977035,1,567.434967697941
"1...31",13,60,15,"elevee",312.947910877278,156.473955438639,915,277.210367982083,1,561.035758057869
"1...32",14,60,15,"elevee",312.947910877278,156.473955438639,990,275.38491339166,1,555.359429575558
"1...33",15,60,15,"elevee",312.947910877278,156.473955438639,1065,273.737134029591,1,550.265801164568
"1...34",16,60,15,"elevee",312.947910877278,156.473955438639,1140,272.23629090638,1,545.650617080059
"1...35",17,60,15,"elevee",312.947910877278,156.473955438639,1215,270.85880418191,1,541.43450067975
"1...36",18,60,15,"elevee",312.947910877278,156.473955438639,1290,269.586230120485,1,537.5557859523
"1...37",19,60,15,"elevee",312.947910877278,156.473955438639,1365,268.403895755414,1,533.965718614511
"1...38",20,60,15,"elevee",312.947910877278,156.473955438639,1440,267.299952999337,1,530.625155571919
"1...39",2,90,15,"elevee",312.947910877278,156.473955438639,120,342.346752687712,1,1039.37307386627
"1...40",3,90,15,"elevee",312.947910877278,156.473955438639,225,319.281854877578,1,811.983798108454
"1...41",4,90,15,"elevee",312.947910877278,156.473955438639,330,308.754102534943,1,750.853822708186
"1...42",5,90,15,"elevee",312.947910877278,156.473955438639,435,298.178021630935,1,705.567035812216
"1...43",6,90,15,"elevee",312.947910877278,156.473955438639,540,291.182733460845,1,677.252526071111
"1...44",7,90,15,"elevee",312.947910877278,156.473955438639,645,286.066340264099,1,657.303325617362
"1...45",8,90,15,"elevee",312.947910877278,156.473955438639,750,282.076579073797,1,642.167617289403
"1...46",9,90,15,"elevee",312.947910877278,156.473955438639,855,278.825745165959,1,630.094412726808
"1...47",10,90,15,"elevee",312.947910877278,156.473955438639,960,276.091750409781,1,620.1125321326
"1...48",11,90,15,"elevee",312.947910877278,156.473955438639,1065,273.737134029591,1,611.635797429647
"1...49",12,90,15,"elevee",312.947910877278,156.473955438639,1170,271.671624265586,1,604.287097696061
"1...50",13,90,15,"elevee",312.947910877278,156.473955438639,1275,269.833101928008,1,597.811402744651
"1...51",14,90,15,"elevee",312.947910877278,156.473955438639,1380,268.177173569977,1,592.029177758941
"1...52",15,90,15,"elevee",312.947910877278,156.473955438639,1485,266.671108624351,1,586.809797665029
"1...53",16,90,15,"elevee",312.947910877278,156.473955438639,1590,265.29013646572,1,582.055567526945
"1...54",17,90,15,"elevee",312.947910877278,156.473955438639,1695,264.015089827177,1,577.69169407902
"1...55",18,90,15,"elevee",312.947910877278,156.473955438639,1800,262.830851697536,1,573.659757936516
