"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...1",2,30,15,"elevee",331.614571833768,165.807285916884,60,0,1260.20199990367
"1...2",3,30,15,"elevee",331.614571833768,165.807285916884,105,0,939.729954401317
"1...3",4,30,15,"elevee",331.614571833768,165.807285916884,150,0,782.602014335281
"1...4",5,30,15,"elevee",331.614571833768,165.807285916884,195,0,689.534560427546
"1...5",6,30,15,"elevee",331.614571833768,165.807285916884,240,0,628.148899926264
"1...6",7,30,15,"elevee",331.614571833768,165.807285916884,285,0,584.739459538002
"1...7",8,30,15,"elevee",331.614571833768,165.807285916884,330,0,552.508629519682
"1...8",9,30,15,"elevee",331.614571833768,165.807285916884,375,0,527.701426991275
"1...9",10,30,15,"elevee",331.614571833768,165.807285916884,420,0,508.074355376108
"1...10",11,30,15,"elevee",331.614571833768,165.807285916884,465,0,492.204337670593
"1...11",12,30,15,"elevee",331.614571833768,165.807285916884,510,0,479.145043227726
"1...12",13,30,15,"elevee",331.614571833768,165.807285916884,555,0,468.24262110759
"1...13",14,30,15,"elevee",331.614571833768,165.807285916884,600,0,459.030769283823
"1...14",15,30,15,"elevee",331.614571833768,165.807285916884,645,0,451.16795702689
"1...15",16,30,15,"elevee",331.614571833768,165.807285916884,690,0,444.398284060088
"1...16",17,30,15,"elevee",331.614571833768,165.807285916884,735,0,438.526206733929
"1...17",18,30,15,"elevee",331.614571833768,165.807285916884,780,0,433.39971912791
"1...18",19,30,15,"elevee",331.614571833768,165.807285916884,825,0,428.898863494291
"1...19",20,30,15,"elevee",331.614571833768,165.807285916884,870,0,424.927698721864
"1...20",2,60,15,"elevee",331.614571833768,165.807285916884,90,0,1300.72173756288
"1...21",3,60,15,"elevee",331.614571833768,165.807285916884,165,0,994.522143612836
"1...22",4,60,15,"elevee",331.614571833768,165.807285916884,240,0,845.701367762229
"1...23",5,60,15,"elevee",331.614571833768,165.807285916884,315,0,758.622366828382
"1...24",6,60,15,"elevee",331.614571833768,165.807285916884,390,0,702.065241135794
"1...25",7,60,15,"elevee",331.614571833768,165.807285916884,465,0,662.804816875422
"1...26",8,60,15,"elevee",331.614571833768,165.807285916884,540,0,634.276632678469
"1...27",9,60,15,"elevee",331.614571833768,165.807285916884,615,0,612.851308220592
"1...28",10,60,15,"elevee",331.614571833768,165.807285916884,690,0,596.358239234692
"1...29",11,60,15,"elevee",331.614571833768,165.807285916884,765,0,583.419118009036
"1...30",12,60,15,"elevee",331.614571833768,165.807285916884,840,0,573.116422802746
"1...31",13,60,15,"elevee",331.614571833768,165.807285916884,915,0,564.815637962791
"1...32",14,60,15,"elevee",331.614571833768,165.807285916884,990,0,558.063992045527
"1...33",15,60,15,"elevee",331.614571833768,165.807285916884,1065,0,552.529852922777
"1...34",16,60,15,"elevee",331.614571833768,165.807285916884,1140,0,547.964919934649
"1...35",17,60,15,"elevee",331.614571833768,165.807285916884,1215,0,544.179789434854
"1...36",18,60,15,"elevee",331.614571833768,165.807285916884,1290,0,541.027673632721
"1...37",19,60,15,"elevee",331.614571833768,165.807285916884,1365,0,538.393258469077
"1...38",20,60,15,"elevee",331.614571833768,165.807285916884,1440,0,536.184896311995
"1...39",2,90,15,"elevee",331.614571833768,165.807285916884,120,0,1341.09414209186
"1...40",3,90,15,"elevee",331.614571833768,165.807285916884,225,0,1050.21955644433
"1...41",4,90,15,"elevee",331.614571833768,165.807285916884,330,0,910.941434759407
"1...42",5,90,15,"elevee",331.614571833768,165.807285916884,435,0,831.08198610902
"1...43",6,90,15,"elevee",331.614571833768,165.807285916884,540,0,780.510231098214
"1...44",7,90,15,"elevee",331.614571833768,165.807285916884,645,0,746.445442740883
"1...45",8,90,15,"elevee",331.614571833768,165.807285916884,750,0,722.535248709663
"1...46",9,90,15,"elevee",331.614571833768,165.807285916884,855,0,705.263634775911
"1...47",10,90,15,"elevee",331.614571833768,165.807285916884,960,0,692.526956888708
"1...48",11,90,15,"elevee",331.614571833768,165.807285916884,1065,0,682.990683153184
"1...49",12,90,15,"elevee",331.614571833768,165.807285916884,1170,0,675.769092651396
"1...50",13,90,15,"elevee",331.614571833768,165.807285916884,1275,0,670.253191973039
"1...51",14,90,15,"elevee",331.614571833768,165.807285916884,1380,0,666.012412512489
"1...52",15,90,15,"elevee",331.614571833768,165.807285916884,1485,0,662.735528186398
"1...53",16,90,15,"elevee",331.614571833768,165.807285916884,1590,0,660.193590848237
"1...54",17,90,15,"elevee",331.614571833768,165.807285916884,1695,0,658.215812366107
"1...55",18,90,15,"elevee",331.614571833768,165.807285916884,1800,0,656.673371034948
"1...56",19,90,15,"elevee",331.614571833768,165.807285916884,1905,0,655.468242041962
"1...57",20,90,15,"elevee",331.614571833768,165.807285916884,2010,0,654.525313991009
"1...58",2,120,15,"elevee",331.614571833768,165.807285916884,150,0,1381.19169209759
"1...59",3,120,15,"elevee",331.614571833768,165.807285916884,285,0,1106.45257016375
"1...60",4,120,15,"elevee",331.614571833768,165.807285916884,420,0,977.623584245477
"1...61",5,120,15,"elevee",331.614571833768,165.807285916884,555,0,905.792774669651
"1...62",6,120,15,"elevee",331.614571833768,165.807285916884,690,0,861.846274515739
"1...63",7,120,15,"elevee",331.614571833768,165.807285916884,825,0,833.417624852325
"1...64",8,120,15,"elevee",331.614571833768,165.807285916884,960,0,814.358638773039
"1...65",9,120,15,"elevee",331.614571833768,165.807285916884,1095,0,801.273415998803
"1...66",10,120,15,"elevee",331.614571833768,165.807285916884,1230,0,792.142098634285
"1...67",11,120,15,"elevee",331.614571833768,165.807285916884,1365,0,785.697320546273
"1...68",12,120,15,"elevee",331.614571833768,165.807285916884,1500,0,781.112200196567
"1...69",13,120,15,"elevee",331.614571833768,165.807285916884,1635,0,777.831563522461
"1...70",14,120,15,"elevee",331.614571833768,165.807285916884,1770,0,775.474737435136
"1...71",15,120,15,"elevee",331.614571833768,165.807285916884,1905,0,773.776642183221
"1...72",16,120,15,"elevee",331.614571833768,165.807285916884,2040,0,772.550593542581
"1...73",17,120,15,"elevee",331.614571833768,165.807285916884,2175,0,771.664027653287
"1...74",18,120,15,"elevee",331.614571833768,165.807285916884,2310,0,771.022242304094
"1...75",19,120,15,"elevee",331.614571833768,165.807285916884,2445,0,770.557285384141
"1...76",20,120,15,"elevee",331.614571833768,165.807285916884,2580,0,770.220242685736
"1...77",2,150,15,"elevee",331.614571833768,165.807285916884,180,0,1420.89033876619
"1...78",3,150,15,"elevee",331.614571833768,165.807285916884,345,0,1162.8496152057
"1...79",4,150,15,"elevee",331.614571833768,165.807285916884,510,0,1045.03528424415
"1...80",5,150,15,"elevee",331.614571833768,165.807285916884,675,0,981.614008385829
"1...81",6,150,15,"elevee",331.614571833768,165.807285916884,840,0,944.434169662214
"1...82",7,150,15,"elevee",331.614571833768,165.807285916884,1005,0,921.540950883041
