"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","P_coggan"
"1",2,15,15,"faible",350.281232790258,175.140616395129,45,651.410887840786,720.59052296772
"2",3,15,15,"faible",350.281232790258,175.140616395129,75,520.319622039799,590.436840193618
"3",4,15,15,"faible",350.281232790258,175.140616395129,105,455.932228351244,523.168816863992
"4",5,15,15,"faible",350.281232790258,175.140616395129,135,419.532416657541,484.292817482182
"5",6,15,15,"faible",350.281232790258,175.140616395129,165,396.493344700838,459.357598736043
"6",7,15,15,"faible",350.281232790258,175.140616395129,195,380.641197819501,442.035884927583
"7",8,15,15,"faible",350.281232790258,175.140616395129,225,369.058985180983,429.284713750349
"8",9,15,15,"faible",350.281232790258,175.140616395129,255,360.218113350911,419.491959592244
"9",10,15,15,"faible",350.281232790258,175.140616395129,285,353.244232099712,411.727883053996
"10",11,15,15,"faible",350.281232790258,175.140616395129,315,345.393444744987,402.761166424749
"11",12,15,15,"faible",350.281232790258,175.140616395129,345,336.809045327242,392.785785765292
"12",13,15,15,"faible",350.281232790258,175.140616395129,375,329.494600983073,384.242510801687
"13",14,15,15,"faible",350.281232790258,175.140616395129,405,323.168552453318,376.818422947567
"14",15,15,15,"faible",350.281232790258,175.140616395129,435,317.627871669507,370.287001387244
"15",16,15,15,"faible",350.281232790258,175.140616395129,465,312.722368828565,364.480075874335
"16",17,15,15,"faible",350.281232790258,175.140616395129,495,308.338483627301,359.270067781064
"17",18,15,15,"faible",350.281232790258,175.140616395129,525,304.388707760129,354.558361592263
"18",19,15,15,"faible",350.281232790258,175.140616395129,555,300.804478799905,350.267468039525
"19",20,15,15,"faible",350.281232790258,175.140616395129,585,297.531284119525,346.335608642752
"20",21,15,15,"faible",350.281232790258,175.140616395129,615,294.52521183374,342.712890256209
"21",22,15,15,"faible",350.281232790258,175.140616395129,645,291.750472818421,339.358549544635
"22",23,15,15,"faible",350.281232790258,175.140616395129,675,289.177588820207,336.238933229497
"23",24,15,15,"faible",350.281232790258,175.140616395129,705,286.782046485691,333.325994234159
"24",25,15,15,"faible",350.281232790258,175.140616395129,735,284.543283088708,330.596155945586
"25",2,30,15,"faible",350.281232790258,175.140616395129,60,573.246901542092,680.965589125991
"26",3,30,15,"faible",350.281232790258,175.140616395129,105,455.932228351244,561.739656530807
"27",4,30,15,"faible",350.281232790258,175.140616395129,150,406.840633607444,508.918974192548
"28",5,30,15,"faible",350.281232790258,175.140616395129,195,380.641197819501,479.979112885689
"29",6,30,15,"faible",350.281232790258,175.140616395129,240,364.36097863776,461.678441006125
"30",7,30,15,"faible",350.281232790258,175.140616395129,285,353.244232099712,449.018276762133
"31",8,30,15,"faible",350.281232790258,175.140616395129,330,340.92083869052,434.074621161203
"32",9,30,15,"faible",350.281232790258,175.140616395129,375,329.494600983073,419.835303893038
"33",10,30,15,"faible",350.281232790258,175.140616395129,420,320.310441907065,408.258626049511
"34",11,30,15,"faible",350.281232790258,175.140616395129,465,312.722368828565,398.594615591426
"35",12,30,15,"faible",350.281232790258,175.140616395129,510,306.313995307431,390.35576208279
"36",13,30,15,"faible",350.281232790258,175.140616395129,555,300.804478799905,383.210757095837
"37",14,30,15,"faible",350.281232790258,175.140616395129,600,295.997260964465,376.926130064761
"38",15,30,15,"faible",350.281232790258,175.140616395129,645,291.750472818421,371.332312824765
"39",16,30,15,"faible",350.281232790258,175.140616395129,690,287.959017642202,366.302962863195
"40",17,30,15,"faible",350.281232790258,175.140616395129,735,284.543283088708,361.741860543605
"41",18,30,15,"faible",350.281232790258,175.140616395129,780,281.441784149436,357.574323167532
"42",19,30,15,"faible",350.281232790258,175.140616395129,825,278.606225428286,353.741413672053
"43",20,30,15,"faible",350.281232790258,175.140616395129,870,275.998101236681,350.195934412549
"44",21,30,15,"faible",350.281232790258,175.140616395129,915,273.586301191471,346.899593442168
"45",22,30,15,"faible",350.281232790258,175.140616395129,960,271.345389857748,343.820960138694
"46",23,30,15,"faible",350.281232790258,175.140616395129,1005,269.254348378076,340.933964020326
"47",24,30,15,"faible",350.281232790258,175.140616395129,1050,267.295639099946,338.216774774957
"48",25,30,15,"faible",350.281232790258,175.140616395129,1095,265.454500107949,335.650954607948
"49",2,45,15,"faible",350.281232790258,175.140616395129,75,520.319622039799,653.003798125315
"50",3,45,15,"faible",350.281232790258,175.140616395129,135,419.532416657541,549.319245744025
"51",4,45,15,"faible",350.281232790258,175.140616395129,195,380.641197819501,507.065661014737
"52",5,45,15,"faible",350.281232790258,175.140616395129,255,360.218113350911,484.245476176869
"53",6,45,15,"faible",350.281232790258,175.140616395129,315,345.393444744987,466.744060478683
"54",7,45,15,"faible",350.281232790258,175.140616395129,375,329.494600983073,446.305147253996
"55",8,45,15,"faible",350.281232790258,175.140616395129,435,317.627871669507,430.747578571054
"56",9,45,15,"faible",350.281232790258,175.140616395129,495,308.338483627301,418.3579731585
"57",10,45,15,"faible",350.281232790258,175.140616395129,555,300.804478799905,408.154689434951
"58",11,45,15,"faible",350.281232790258,175.140616395129,615,294.52521183374,399.532543596566
"59",12,45,15,"faible",350.281232790258,175.140616395129,675,289.177588820207,392.096767285159
"60",13,45,15,"faible",350.281232790258,175.140616395129,735,284.543283088708,385.57801489988
"61",14,45,15,"faible",350.281232790258,175.140616395129,795,280.469125477499,379.785658007161
"62",15,45,15,"faible",350.281232790258,175.140616395129,855,276.844256826796,374.580608424248
"63",16,45,15,"faible",350.281232790258,175.140616395129,915,273.586301191471,369.858740159467
"64",17,45,15,"faible",350.281232790258,175.140616395129,975,270.632653907816,365.540367454237
"65",18,45,15,"faible",350.281232790258,175.140616395129,1035,267.934800444803,361.563336782104
"66",19,45,15,"faible",350.281232790258,175.140616395129,1095,265.454500107949,357.878357113554
"67",20,45,15,"faible",350.281232790258,175.140616395129,1155,263.161155257516,354.445761771713
"68",21,45,15,"faible",350.281232790258,175.140616395129,1215,261.029955999621,351.23321208324
