"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_velocity","max_velocity","interval_velocity","interval_power","rest_power","duration","PN","PC","DR","power_cogganMOD","err","abs_error","percent_error"
"1...1",2,95,420,15,"faible",287.076677829212,2.3489525614129,7.04595793412405,6.69366003741785,505.34858722874,145.97155117959,450,164.550651620479,285.623402169123,1,2881.97219799945,-2376.62361077071,2376.62361077071,-140.324684992042
"1...2",3,90,300,15,"faible",287.076677829212,2.3489525614129,7.04595793412405,6.34136214071165,471.271874126194,146.118686596544,645,176.205166229114,278.212730236069,1,1504.68222765088,-1033.41035352469,1033.41035352469,-104.598619228583
"1...3",5,85,240,15,"faible",287.076677829212,2.3489525614129,7.04595793412405,5.98906424400544,438.338530961555,146.247430086379,1035,180.176357736093,268.772382227698,1,1108.1594190151,-669.820888053542,669.820888053542,-86.624219329053
"1...4",7,82.5,180,15,"faible",287.076677829212,2.3489525614129,7.04595793412405,5.81291529565234,422.288817346901,146.462002569436,1185,185.871096558243,266.11751653756,1,906.997334869297,-484.708517522396,484.708517522396,-72.9276411575169
"1...5",9,80,120,15,"faible",287.076677829212,2.3489525614129,7.04595793412405,5.63676634729924,406.510779305864,146.891147535552,1095,194.700826049696,267.664758590118,1,748.739436515091,-342.228657209227,342.228657209227,-59.2475383293531
"1...6",12,77.5,120,15,"faible",287.076677829212,2.3489525614129,7.04595793412405,5.46061739894614,390.999694534823,146.891147535552,1500,191.439638998285,261.533706137475,1,714.489276880891,-323.489582346068,323.489582346068,-58.5242531966284
"1...7",15,75,120,15,"faible",287.076677829212,2.3489525614129,7.04595793412405,5.28446845059304,375.750840730159,146.891147535552,1905,188.050940453671,256.931079992072,1,690.225310544729,-314.47446981457,314.47446981457,-59.00215862024
"1...8",18,72.5,60,15,"faible",287.076677829212,2.3489525614129,7.04595793412405,5.10831950223994,360.759495588252,148.178582433898,1290,204.67315308233,264.461017941279,1,557.730617315352,-196.9711217271,196.9711217271,-42.8901996787791
"1...9",21,70,60,15,"faible",287.076677829212,2.3489525614129,7.04595793412405,4.93217055388684,346.020936805482,148.178582433898,1515,200.205771192078,261.341234797749,1,546.650377569388,-200.629440763906,200.629440763906,-44.9503501531032
"1...10",2,95,420,30,"faible",287.076677829212,2.3489525614129,6.55751436044824,6.22963864242583,424.484613598757,145.97155117959,480,205.284371935121,284.277181049445,1,731.309305438167,-306.82469183941,306.82469183941,-53.0933217048026
"1...11",3,90,300,30,"faible",287.076677829212,2.3489525614129,6.55751436044824,5.90176292440342,397.841114981255,146.118686596544,690,207.092020601803,276.848472807722,1,625.142417343556,-227.301302362301,227.301302362301,-44.4388976322504
"1...12",5,85,240,30,"faible",287.076677829212,2.3489525614129,6.55751436044824,5.57388720638101,371.946456091056,146.247430086379,1110,204.864283531737,267.397805652918,1,553.852852636312,-181.906396545256,181.906396545256,-39.2971554051624
"1...13",7,82.5,180,30,"faible",287.076677829212,2.3489525614129,6.55751436044824,5.4099493473698,359.270424730862,146.462002569436,1290,209.612231971085,264.461017941279,1,499.756933182282,-140.48650845142,140.48650845142,-32.7082734111536
"1...14",9,80,120,30,"faible",287.076677829212,2.3489525614129,6.55751436044824,5.24601148835859,346.770183127093,146.891147535552,1230,218.280911926945,265.389504354557,1,450.14447232273,-103.374289195637,103.374289195637,-25.9436285902628
"1...15",12,77.5,120,30,"faible",287.076677829212,2.3489525614129,6.55751436044824,5.08207362934739,334.441924554616,146.891147535552,1680,212.581171740053,259.346154470173,1,436.788580631762,-102.346656077147,102.346656077147,-26.5411327453686
"1...16",15,75,120,30,"faible",287.076677829212,2.3489525614129,6.55751436044824,4.91813577033618,322.281842288297,146.891147535552,2130,207.084815663191,254.795035851021,1,426.676001290906,-104.394159002609,104.394159002609,-27.877178908687
"1...17",18,72.5,60,30,"faible",287.076677829212,2.3489525614129,6.55751436044824,4.75419791132498,310.286129603003,148.178582433898,1560,223.002503120192,260.775518132383,1,377.968851641949,-67.6827220389462,67.6827220389462,-19.6679207222062
"1...18",21,70,60,30,"faible",287.076677829212,2.3489525614129,6.55751436044824,4.59026005231377,298.4509797736,148.178582433898,1830,216.631719456985,257.701656218349,1,372.367913273182,-73.9169334995822,73.9169334995822,-22.0378210171929
"1...19",2,95,420,45,"faible",287.076677829212,2.3489525614129,6.27179303842826,5.95820338650685,391.328813286292,145.97155117959,510,230.167742139293,283.020172900298,1,513.523953147196,-122.195139860904,122.195139860904,-27.0088448405902
"1...20",3,90,300,45,"faible",287.076677829212,2.3489525614129,6.27179303842826,5.64461373458543,367.557899115812,146.118686596544,735,224.896123222621,275.576359167135,1,476.585771747029,-109.027872631217,109.027872631217,-25.8315915630273
"1...21",5,85,240,45,"faible",287.076677829212,2.3489525614129,6.27179303842826,5.33102408266402,344.388953140864,146.247430086379,1185,218.010858151078,266.11751653756,1,442.770686479911,-98.3817333390476,98.3817333390476,-24.996640677981
"1...22",7,82.5,180,45,"faible",287.076677829212,2.3489525614129,6.27179303842826,5.17422925670331,333.021891986556,146.462002569436,1395,221.254114929299,262.93985834932,1,411.19845462937,-78.1765626428147,78.1765626428147,-21.00898289016
"1...23",9,80,120,45,"faible",287.076677829212,2.3489525614129,6.27179303842826,5.01743443074261,321.795331392941,146.891147535552,1365,228.638011422547,263.361928395502,1,379.942484952599,-58.1471535596585,58.1471535596585,-16.5723300655145
