"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...1",2,30,15,"faible",350.281232790258,175.140616395129,60,573.246901542092,1,1398.00619829292
"1...2",3,30,15,"faible",350.281232790258,175.140616395129,105,455.932228351244,1,939.818581999153
"1...3",4,30,15,"faible",350.281232790258,175.140616395129,150,406.840633607444,1,794.17269456528
"1...4",5,30,15,"faible",350.281232790258,175.140616395129,195,380.641197819501,1,720.751016824701
"1...5",6,30,15,"faible",350.281232790258,175.140616395129,240,364.36097863776,1,676.267686894918
"1...6",7,30,15,"faible",350.281232790258,175.140616395129,285,353.244232099712,1,646.329866160562
"1...7",8,30,15,"faible",350.281232790258,175.140616395129,330,340.92083869052,1,614.20069057075
"1...8",9,30,15,"faible",350.281232790258,175.140616395129,375,329.494600983073,1,584.802825208431
"1...9",10,30,15,"faible",350.281232790258,175.140616395129,420,320.310441907065,1,561.28883869902
"1...10",11,30,15,"faible",350.281232790258,175.140616395129,465,312.722368828565,1,541.936673462025
"1...11",12,30,15,"faible",350.281232790258,175.140616395129,510,306.313995307431,1,525.645084245781
"1...12",13,30,15,"faible",350.281232790258,175.140616395129,555,300.804478799905,1,511.675896943186
"1...13",14,30,15,"faible",350.281232790258,175.140616395129,600,295.997260964465,1,499.515053576834
"1...14",15,30,15,"faible",350.281232790258,175.140616395129,645,291.750472818421,1,488.793060707922
"1...15",16,30,15,"faible",350.281232790258,175.140616395129,690,287.959017642202,1,479.237154530695
"1...16",17,30,15,"faible",350.281232790258,175.140616395129,735,284.543283088708,1,470.641333196559
"1...17",18,30,15,"faible",350.281232790258,175.140616395129,780,281.441784149436,1,462.846916849302
"1...18",19,30,15,"faible",350.281232790258,175.140616395129,825,278.606225428286,1,455.729552754967
"1...19",20,30,15,"faible",350.281232790258,175.140616395129,870,275.998101236681,1,449.19029869667
"1...20",2,60,15,"faible",350.281232790258,175.140616395129,90,483.089806086483,1,1391.23801215831
"1...21",3,60,15,"faible",350.281232790258,175.140616395129,165,396.493344700838,1,935.199843323557
"1...22",4,60,15,"faible",350.281232790258,175.140616395129,240,364.36097863776,1,811.713716462446
"1...23",5,60,15,"faible",350.281232790258,175.140616395129,315,345.393444744987,1,745.459577833984
"1...24",6,60,15,"faible",350.281232790258,175.140616395129,390,326.222196930961,1,684.128885626323
"1...25",7,60,15,"faible",350.281232790258,175.140616395129,465,312.722368828565,1,641.799887572302
"1...26",8,60,15,"faible",350.281232790258,175.140616395129,540,302.554590154693,1,610.356528002323
"1...27",9,60,15,"faible",350.281232790258,175.140616395129,615,294.52521183374,1,585.77966614201
"1...28",10,60,15,"faible",350.281232790258,175.140616395129,690,287.959017642202,1,565.841628306606
"1...29",11,60,15,"faible",350.281232790258,175.140616395129,765,282.443912201368,1,549.203003548853
"1...30",12,60,15,"faible",350.281232790258,175.140616395129,840,277.713249796824,1,535.00708645324
"1...31",13,60,15,"faible",350.281232790258,175.140616395129,915,273.586301191471,1,522.678578262323
"1...32",14,60,15,"faible",350.281232790258,175.140616395129,990,269.935855640355,1,511.815638381306
"1...33",15,60,15,"faible",350.281232790258,175.140616395129,1065,266.669522840233,1,502.128309705208
"1...34",16,60,15,"faible",350.281232790258,175.140616395129,1140,263.718406074413,1,493.401575350431
"1...35",17,60,15,"faible",350.281232790258,175.140616395129,1215,261.029955999621,1,485.472238378591
"1...36",18,60,15,"faible",350.281232790258,175.140616395129,1290,258.563303202974,1,478.213925100693
"1...37",19,60,15,"faible",350.281232790258,175.140616395129,1365,256.2861173424,1,471.527053717773
"1...38",20,60,15,"faible",350.281232790258,175.140616395129,1440,254.172437857761,1,465.331942448972
"1...39",2,90,15,"faible",350.281232790258,175.140616395129,120,435.448735817889,1,1380.07357403882
"1...40",3,90,15,"faible",350.281232790258,175.140616395129,225,369.058985180983,1,949.223869080181
"1...41",4,90,15,"faible",350.281232790258,175.140616395129,330,340.92083869052,1,824.915599389249
"1...42",5,90,15,"faible",350.281232790258,175.140616395129,435,317.627871669507,1,737.040158781136
"1...43",6,90,15,"faible",350.281232790258,175.140616395129,540,302.554590154693,1,682.389058151013
