"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...1",2,30,15,"faible",350.281232790258,175.140616395129,60,0,1576.78389863112
"1...2",3,30,15,"faible",350.281232790258,175.140616395129,105,0,1135.56935602813
"1...3",4,30,15,"faible",350.281232790258,175.140616395129,150,0,918.811377555581
"1...4",5,30,15,"faible",350.281232790258,175.140616395129,195,0,790.051258988349
"1...5",6,30,15,"faible",350.281232790258,175.140616395129,240,0,704.805089864543
"1...6",7,30,15,"faible",350.281232790258,175.140616395129,285,0,644.247992551065
"1...7",8,30,15,"faible",350.281232790258,175.140616395129,330,0,599.045065977493
"1...8",9,30,15,"faible",350.281232790258,175.140616395129,375,0,564.040591030905
"1...9",10,30,15,"faible",350.281232790258,175.140616395129,420,0,536.154686121396
"1...10",11,30,15,"faible",350.281232790258,175.140616395129,465,0,513.434102346004
"1...11",12,30,15,"faible",350.281232790258,175.140616395129,510,0,494.580221434206
"1...12",13,30,15,"faible",350.281232790258,175.140616395129,555,0,478.696002119702
"1...13",14,30,15,"faible",350.281232790258,175.140616395129,600,0,465.141887006003
"1...14",15,30,15,"faible",350.281232790258,175.140616395129,645,0,453.449599061397
"1...15",16,30,15,"faible",350.281232790258,175.140616395129,690,0,443.268397098751
"1...16",17,30,15,"faible",350.281232790258,175.140616395129,735,0,434.330373167232
"1...17",18,30,15,"faible",350.281232790258,175.140616395129,780,0,426.427359668173
"1...18",19,30,15,"faible",350.281232790258,175.140616395129,825,0,419.395154156468
"1...19",20,30,15,"faible",350.281232790258,175.140616395129,870,0,413.102492235833
"1...20",2,60,15,"faible",350.281232790258,175.140616395129,90,0,1605.186233738
"1...21",3,60,15,"faible",350.281232790258,175.140616395129,165,0,1173.34114960301
"1...22",4,60,15,"faible",350.281232790258,175.140616395129,240,0,961.653019078577
"1...23",5,60,15,"faible",350.281232790258,175.140616395129,315,0,836.308375134642
"1...24",6,60,15,"faible",350.281232790258,175.140616395129,390,0,753.666086235157
"1...25",7,60,15,"faible",350.281232790258,175.140616395129,465,0,695.252904556013
"1...26",8,60,15,"faible",350.281232790258,175.140616395129,540,0,651.90641165009
"1...27",9,60,15,"faible",350.281232790258,175.140616395129,615,0,618.565218206829
"1...28",10,60,15,"faible",350.281232790258,175.140616395129,690,0,592.205225180307
"1...29",11,60,15,"faible",350.281232790258,175.140616395129,765,0,570.908164432604
"1...30",12,60,15,"faible",350.281232790258,175.140616395129,840,0,553.398372919572
"1...31",13,60,15,"faible",350.281232790258,175.140616395129,915,0,538.79442438599
"1...32",14,60,15,"faible",350.281232790258,175.140616395129,990,0,526.467695247234
"1...33",15,60,15,"faible",350.281232790258,175.140616395129,1065,0,515.957747627481
"1...34",16,60,15,"faible",350.281232790258,175.140616395129,1140,0,506.919571899813
"1...35",17,60,15,"faible",350.281232790258,175.140616395129,1215,0,499.089520333856
"1...36",18,60,15,"faible",350.281232790258,175.140616395129,1290,0,492.262637007241
"1...37",19,60,15,"faible",350.281232790258,175.140616395129,1365,0,486.277171056107
"1...38",20,60,15,"faible",350.281232790258,175.140616395129,1440,0,481.003750933975
"1...39",2,90,15,"faible",350.281232790258,175.140616395129,120,0,1633.58025507295
"1...40",3,90,15,"faible",350.281232790258,175.140616395129,225,0,1211.56759479312
"1...41",4,90,15,"faible",350.281232790258,175.140616395129,330,0,1005.50268033873
"1...42",5,90,15,"faible",350.281232790258,175.140616395129,435,0,884.152208830298
"1...43",6,90,15,"faible",350.281232790258,175.140616395129,540,0,804.696022759145
"1...44",7,90,15,"faible",350.281232790258,175.140616395129,645,0,749.002141990733
"1...45",8,90,15,"faible",350.281232790258,175.140616395129,750,0,708.074454159548
"1...46",9,90,15,"faible",350.281232790258,175.140616395129,855,0,676.941629444707
"1...47",10,90,15,"faible",350.281232790258,175.140616395129,960,0,652.632117590147
"1...48",11,90,15,"faible",350.281232790258,175.140616395129,1065,0,633.260055391324
"1...49",12,90,15,"faible",350.281232790258,175.140616395129,1170,0,617.570635341288
"1...50",13,90,15,"faible",350.281232790258,175.140616395129,1275,0,604.696327941023
"1...51",14,90,15,"faible",350.281232790258,175.140616395129,1380,0,594.018053058195
"1...52",15,90,15,"faible",350.281232790258,175.140616395129,1485,0,585.082116209911
"1...53",16,90,15,"faible",350.281232790258,175.140616395129,1590,0,577.548414917889
"1...54",17,90,15,"faible",350.281232790258,175.140616395129,1695,0,571.156990228506
"1...55",18,90,15,"faible",350.281232790258,175.140616395129,1800,0,565.705763184734
"1...56",19,90,15,"faible",350.281232790258,175.140616395129,1905,0,561.035321023541
"1...57",20,90,15,"faible",350.281232790258,175.140616395129,2010,0,557.018277323322
"1...58",2,120,15,"faible",350.281232790258,175.140616395129,150,0,1661.94149147355
"1...59",3,120,15,"faible",350.281232790258,175.140616395129,285,0,1250.18179261182
"1...60",4,120,15,"faible",350.281232790258,175.140616395129,420,0,1050.2395755152
"1...61",5,120,15,"faible",350.281232790258,175.140616395129,555,0,933.395125803999
"1...62",6,120,15,"faible",350.281232790258,175.140616395129,690,0,857.625368000147
"1...63",7,120,15,"faible",350.281232790258,175.140616395129,825,0,805.127334188986
"1...64",8,120,15,"faible",350.281232790258,175.140616395129,960,0,767.063538135353
"1...65",9,120,15,"faible",350.281232790258,175.140616395129,1095,0,738.547400838038
