"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","P_coggan"
"1",2,15,15,"moyenne",331.614571833768,165.807285916884,45,540.082791341818,597.256907160987
"2",3,15,15,"moyenne",331.614571833768,165.807285916884,75,447.408947063714,507.393108970775
"3",4,15,15,"moyenne",331.614571833768,165.807285916884,105,402.878762665867,461.945417936286
"4",5,15,15,"moyenne",331.614571833768,165.807285916884,135,378.099504997367,436.138919937933
"5",6,15,15,"moyenne",331.614571833768,165.807285916884,165,362.56281771854,419.771761990517
"6",7,15,15,"moyenne",331.614571833768,165.807285916884,195,351.924923204716,408.473323038325
"7",8,15,15,"moyenne",331.614571833768,165.807285916884,225,344.170420029281,400.1839522127
"8",9,15,15,"moyenne",331.614571833768,165.807285916884,255,338.257392774418,393.829552166396
"9",10,15,15,"moyenne",331.614571833768,165.807285916884,285,333.595122017372,388.797207716087
"10",11,15,15,"moyenne",331.614571833768,165.807285916884,315,328.077333634854,382.610063429996
"11",12,15,15,"moyenne",331.614571833768,165.807285916884,345,321.856085548983,375.472460876165
"12",13,15,15,"moyenne",331.614571833768,165.807285916884,375,316.54480604663,369.350364378979
"13",14,15,15,"moyenne",331.614571833768,165.807285916884,405,311.94215042744,364.022264013119
"14",15,15,15,"moyenne",331.614571833768,165.807285916884,435,307.902946650221,359.327825398373
"15",16,15,15,"moyenne",331.614571833768,165.807285916884,465,304.319795733856,355.148008979105
"16",17,15,15,"moyenne",331.614571833768,165.807285916884,495,301.111476342445,351.392494456654
"17",18,15,15,"moyenne",331.614571833768,165.807285916884,525,298.21538279815,347.991451077655
"18",19,15,15,"moyenne",331.614571833768,165.807285916884,555,295.58244689137,344.889993171648
"19",20,15,15,"moyenne",331.614571833768,165.807285916884,585,293.173639914741,342.044349523662
"20",21,15,15,"moyenne",331.614571833768,165.807285916884,615,290.957508878845,339.419157723044
"21",22,15,15,"moyenne",331.614571833768,165.807285916884,645,288.90840654126,336.985515350299
"22",23,15,15,"moyenne",331.614571833768,165.807285916884,675,287.005197241193,334.719551551729
"23",24,15,15,"moyenne",331.614571833768,165.807285916884,705,285.230295503619,332.601363459177
"24",25,15,15,"moyenne",331.614571833768,165.807285916884,735,283.568941526044,330.61421292673
"25",2,30,15,"moyenne",331.614571833768,165.807285916884,60,484.560361256426,575.25257792247
"26",3,30,15,"moyenne",331.614571833768,165.807285916884,105,402.878762665867,495.87691241973
"27",4,30,15,"moyenne",331.614571833768,165.807285916884,150,369.527948757263,461.805460016655
"28",5,30,15,"moyenne",331.614571833768,165.807285916884,195,351.924923204716,443.455680702988
"29",6,30,15,"moyenne",331.614571833768,165.807285916884,240,341.027788669381,431.938810257368
"30",7,30,15,"moyenne",331.614571833768,165.807285916884,285,333.595122017372,424.000012862796
"31",8,30,15,"moyenne",331.614571833768,165.807285916884,330,324.837470612731,413.718466423623
"32",9,30,15,"moyenne",331.614571833768,165.807285916884,375,316.54480604663,403.643942697132
"33",10,30,15,"moyenne",331.614571833768,165.807285916884,420,309.859554194281,395.435328527685
"34",11,30,15,"moyenne",331.614571833768,165.807285916884,465,304.319795733856,388.568127145326
