"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...1",2,30,15,"moyenne",331.614571833768,165.807285916884,60,484.560361256426,1,792.037728305432
"1...2",3,30,15,"moyenne",331.614571833768,165.807285916884,105,402.878762665867,1,586.556454623366
"1...3",4,30,15,"moyenne",331.614571833768,165.807285916884,150,369.527948757263,1,515.239031512757
"1...4",5,30,15,"moyenne",331.614571833768,165.807285916884,195,351.924923204716,1,479.007868203454
"1...5",6,30,15,"moyenne",331.614571833768,165.807285916884,240,341.027788669381,1,456.974107074251
"1...6",7,30,15,"moyenne",331.614571833768,165.807285916884,285,333.595122017372,1,442.101748894027
"1...7",8,30,15,"moyenne",331.614571833768,165.807285916884,330,324.837470612731,1,425.072507204301
"1...8",9,30,15,"moyenne",331.614571833768,165.807285916884,375,316.54480604663,1,409.119482384619
"1...9",10,30,15,"moyenne",331.614571833768,165.807285916884,420,309.859554194281,1,396.305612874687
"1...10",11,30,15,"moyenne",331.614571833768,165.807285916884,465,304.319795733856,1,385.718394515987
"1...11",12,30,15,"moyenne",331.614571833768,165.807285916884,510,299.627738291157,1,376.772864757796
"1...12",13,30,15,"moyenne",331.614571833768,165.807285916884,555,295.58244689137,1,369.076081096026
"1...13",14,30,15,"moyenne",331.614571833768,165.807285916884,600,292.043211850818,1,362.353875343498
"1...14",15,30,15,"moyenne",331.614571833768,165.807285916884,645,288.90840654126,1,356.408831179715
"1...15",16,30,15,"moyenne",331.614571833768,165.807285916884,690,286.102689450764,1,351.094969758206
"1...16",17,30,15,"moyenne",331.614571833768,165.807285916884,735,283.568941526044,1,346.301865643672
"1...17",18,30,15,"moyenne",331.614571833768,165.807285916884,780,281.263010823851,1,341.944328418377
"1...18",19,30,15,"moyenne",331.614571833768,165.807285916884,825,279.150184811669,1,337.955496483672
"1...19",2,60,15,"moyenne",331.614571833768,165.807285916884,90,421.558810315529,1,868.198407607433
"1...20",3,60,15,"moyenne",331.614571833768,165.807285916884,165,362.56281771854,1,629.819559895968
"1...21",4,60,15,"moyenne",331.614571833768,165.807285916884,240,341.027788669381,1,561.410713926014
"1...22",5,60,15,"moyenne",331.614571833768,165.807285916884,315,328.077333634854,1,523.862463908815
"1...23",6,60,15,"moyenne",331.614571833768,165.807285916884,390,314.165032032959,1,487.106784450345
"1...24",7,60,15,"moyenne",331.614571833768,165.807285916884,465,304.319795733856,1,461.590396583544
"1...25",8,60,15,"moyenne",331.614571833768,165.807285916884,540,296.868661807769,1,442.536691948213
"1...26",9,60,15,"moyenne",331.614571833768,165.807285916884,615,290.957508878845,1,427.572597977317
"1...27",10,60,15,"moyenne",331.614571833768,165.807285916884,690,286.102689450764,1,415.379541766349
"1...28",11,60,15,"moyenne",331.614571833768,165.807285916884,765,282.008648011446,1,405.163016303718
"1...29",12,60,15,"moyenne",331.614571833768,165.807285916884,840,278.483867386929,1,396.41383049721
"1...30",13,60,15,"moyenne",331.614571833768,165.807285916884,915,275.398334586777,1,388.789393532275
"1...31",14,60,15,"moyenne",331.614571833768,165.807285916884,990,272.660384516007,1,382.049959496872
"1...32",15,60,15,"moyenne",331.614571833768,165.807285916884,1065,270.203328434912,1,376.022214096911
"1...33",16,60,15,"moyenne",331.614571833768,165.807285916884,1140,267.977348490397,1,370.577401616644
"1...34",17,60,15,"moyenne",331.614571833768,165.807285916884,1215,265.944380090765,1,365.617620508674
"1...35",18,60,15,"moyenne",331.614571833768,165.807285916884,1290,264.07476666173,1,361.066924329786
"1...36",19,60,15,"moyenne",331.614571833768,165.807285916884,1365,262.345006548907,1,356.865362598325
"1...37",2,90,15,"moyenne",331.614571833768,165.807285916884,120,388.8977442528,1,926.094446075125
"1...38",3,90,15,"moyenne",331.614571833768,165.807285916884,225,344.170420029281,1,675.833988618282
"1...39",4,90,15,"moyenne",331.614571833768,165.807285916884,330,324.837470612731,1,598.654120626463
"1...40",5,90,15,"moyenne",331.614571833768,165.807285916884,435,307.902946650221,1,541.686741855067
"1...41",6,90,15,"moyenne",331.614571833768,165.807285916884,540,296.868661807769,1,506.048855348648
"1...42",7,90,15,"moyenne",331.614571833768,165.807285916884,645,288.90840654126,1,481.000099634996
"1...43",8,90,15,"moyenne",331.614571833768,165.807285916884,750,282.776866287912,1,462.058767263584
"1...44",9,90,15,"moyenne",331.614571833768,165.807285916884,855,277.835000996378,1,447.003668929784
