"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_velocity","max_velocity","interval_velocity","interval_power","rest_power","duration","PN","PC","DR","power_cogganMOD","err","abs_error","percent_error"
"1...1",2,95,420,15,"moyenne",287.074791960115,2.34893786687458,6.1067092164354,5.80137375561363,421.246751135962,145.970717458927,450,157.755803098133,285.623402169123,1,2881.9900172461,-2460.74326611014,2460.74326611014,-148.989820509622
"1...2",3,90,300,15,"moyenne",287.074791960115,2.34893786687458,6.1067092164354,5.49603829479186,394.09752412011,146.117851034992,645,165.684712473586,278.212730236069,1,1504.69052005898,-1110.59299593887,1110.59299593887,-116.979143548275
"1...3",5,85,240,15,"moyenne",287.074791960115,2.34893786687458,6.1067092164354,5.19070283397009,367.739063438255,146.246592914049,1035,168.638005566459,268.772382227698,1,1108.16520075716,-740.426137318906,740.426137318906,-100.335252804835
"1...4",7,82.5,180,15,"moyenne",287.074791960115,2.34893786687458,6.1067092164354,5.03803510355921,354.848684558957,146.461162712477,1185,172.898131833068,266.11751653756,1,907.001672486016,-552.152987927059,552.152987927059,-87.5148126470561
"1...5",9,80,120,15,"moyenne",287.074791960115,2.34893786687458,6.1067092164354,4.88536737314832,342.146774166817,146.890302309333,1095,179.661863641616,267.664758590118,1,748.742544149777,-406.59576998296,406.59576998296,-74.5439089293492
"1...6",12,77.5,120,15,"moyenne",287.074791960115,2.34893786687458,6.1067092164354,4.73269964273744,329.630257896386,146.890302309333,1500,177.287611923286,261.533706137475,1,714.4923246322,-384.862066735813,384.862066735813,-73.7197093858042
"1...7",15,75,120,15,"moyenne",287.074791960115,2.34893786687458,6.1067092164354,4.58003191232655,317.296061382218,146.890302309333,1905,174.822556815782,256.931079992072,1,690.228322392996,-372.932261010778,372.932261010778,-74.0294263873582
"1...8",18,72.5,60,15,"moyenne",287.074791960115,2.34893786687458,6.1067092164354,4.42736418191567,305.141110258864,148.177721099902,1290,187.756803043008,264.461017941279,1,557.732540372454,-252.59143011359,252.59143011359,-58.5465623915581
"1...9",21,70,60,15,"moyenne",287.074791960115,2.34893786687458,6.1067092164354,4.27469645150478,293.162330160878,148.177721099902,1515,184.337719698145,261.341234797749,1,546.652292551719,-253.489962390842,253.489962390842,-60.3680754145648
"1...10",2,95,420,30,"moyenne",287.074791960115,2.34893786687458,5.81364301060483,5.52296086007459,367.989668655262,145.970717458927,480,187.446024390809,284.277181049445,1,731.31165781107,-363.321989155808,363.321989155808,-66.1005277458719
"1...11",3,90,300,30,"moyenne",287.074791960115,2.34893786687458,5.81364301060483,5.23227870954435,345.730919970416,146.117851034992,690,189.181406221678,276.848472807722,1,625.144204958945,-279.413284988529,279.413284988529,-57.5590573522745
"1...12",5,85,240,30,"moyenne",287.074791960115,2.34893786687458,5.81364301060483,4.94159655901411,324.01187799296,146.246592914049,1110,187.706602947262,267.397805652918,1,553.85434055293,-229.842462559969,229.842462559969,-52.3638927445423
"1...13",7,82.5,180,30,"moyenne",287.074791960115,2.34893786687458,5.81364301060483,4.79625548374899,313.348115411336,146.461162712477,1290,191.577552507896,264.461017941279,1,499.758121339206,-186.410005927871,186.410005927871,-45.8513285232765
"1...14",9,80,120,30,"moyenne",287.074791960115,2.34893786687458,5.81364301060483,4.65091440848387,302.811321576757,146.890302309333,1230,198.637158857244,265.389504354557,1,450.145363059197,-147.334041482439,147.334041482439,-39.1347987178502
"1...15",12,77.5,120,30,"moyenne",287.074791960115,2.34893786687458,5.81364301060483,4.50557333321875,292.398843845957,146.890302309333,1680,194.151170621057,259.346154470173,1,436.789467713151,-144.390623867194,144.390623867194,-39.603109808073
"1...16",15,75,120,30,"moyenne",287.074791960115,2.34893786687458,5.81364301060483,4.36023225795363,282.108029575669,146.890302309333,2130,189.839088441359,254.795035851021,1,426.676885306247,-144.568855730577,144.568855730577,-40.7934347063982
