"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...1",2,30,15,"moyenne",331.614571833768,165.807285916884,60,484.560361256426,1,1150.23820631292
"1...2",3,30,15,"moyenne",331.614571833768,165.807285916884,105,402.878762665867,1,814.487849354829
"1...3",4,30,15,"moyenne",331.614571833768,165.807285916884,150,369.527948757263,1,711.974893004319
"1...4",5,30,15,"moyenne",331.614571833768,165.807285916884,195,351.924923204716,1,661.066577149023
"1...5",6,30,15,"moyenne",331.614571833768,165.807285916884,240,341.027788669381,1,630.407263455757
"1...6",7,30,15,"moyenne",331.614571833768,165.807285916884,285,333.595122017372,1,609.826646559424
"1...7",8,30,15,"moyenne",331.614571833768,165.807285916884,330,324.837470612731,1,586.663372807293
"1...8",9,30,15,"moyenne",331.614571833768,165.807285916884,375,316.54480604663,1,565.100147086514
"1...9",10,30,15,"moyenne",331.614571833768,165.807285916884,420,309.859554194281,1,547.811600825462
"1...10",11,30,15,"moyenne",331.614571833768,165.807285916884,465,304.319795733856,1,533.548342507586
"1...11",12,30,15,"moyenne",331.614571833768,165.807285916884,510,299.627738291157,1,521.511632617744
"1...12",13,30,15,"moyenne",331.614571833768,165.807285916884,555,295.58244689137,1,511.166071760967
"1...13",14,30,15,"moyenne",331.614571833768,165.807285916884,600,292.043211850818,1,502.138739959288
"1...14",15,30,15,"moyenne",331.614571833768,165.807285916884,645,288.90840654126,1,494.161498897858
"1...15",16,30,15,"moyenne",331.614571833768,165.807285916884,690,286.102689450764,1,487.036315648939
"1...16",17,30,15,"moyenne",331.614571833768,165.807285916884,735,283.568941526044,1,480.613545918902
"1...17",18,30,15,"moyenne",331.614571833768,165.807285916884,780,281.263010823851,1,474.777849316519
"1...18",19,30,15,"moyenne",331.614571833768,165.807285916884,825,279.150184811669,1,469.438775191058
"1...19",20,30,15,"moyenne",331.614571833768,165.807285916884,870,277.202760824934,1,464.52430306497
"1...20",2,60,15,"moyenne",331.614571833768,165.807285916884,90,421.558810315529,1,1186.51156986994
"1...21",3,60,15,"moyenne",331.614571833768,165.807285916884,165,362.56281771854,1,845.763840047376
"1...22",4,60,15,"moyenne",331.614571833768,165.807285916884,240,341.027788669381,1,756.748774176871
"1...23",5,60,15,"moyenne",331.614571833768,165.807285916884,315,328.077333634854,1,708.94463528764
"1...24",6,60,15,"moyenne",331.614571833768,165.807285916884,390,314.165032032959,1,663.233739431416
"1...25",7,60,15,"moyenne",331.614571833768,165.807285916884,465,304.319795733856,1,631.60653265766
