"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...1",2,30,15,"pursuiter",416.548283671423,208.274141835712,60,576.587713295196,1,1349.23440090007
"1...2",3,30,15,"pursuiter",416.548283671423,208.274141835712,105,490.130232710691,1,981.400026625344
"1...3",4,30,15,"pursuiter",416.548283671423,208.274141835712,150,455.497488691939,1,872.198863459731
"1...4",5,30,15,"pursuiter",416.548283671423,208.274141835712,195,437.379412649372,1,818.568457427125
"1...5",6,30,15,"pursuiter",416.548283671423,208.274141835712,240,426.197906011164,1,786.414625568052
"1...6",7,30,15,"pursuiter",416.548283671423,208.274141835712,285,418.578233643143,1,764.872646345463
"1...7",8,30,15,"pursuiter",416.548283671423,208.274141835712,330,407.605313640174,1,735.848969964956
"1...8",9,30,15,"pursuiter",416.548283671423,208.274141835712,375,396.419707230363,1,706.852701370325
"1...9",10,30,15,"pursuiter",416.548283671423,208.274141835712,420,387.179914909432,1,683.049207754942
"1...10",11,30,15,"pursuiter",416.548283671423,208.274141835712,465,379.353098424874,1,662.985613414445
"1...11",12,30,15,"pursuiter",416.548283671423,208.274141835712,510,372.590750325244,1,645.720958920434
"1...12",13,30,15,"pursuiter",416.548283671423,208.274141835712,555,366.654400712635,1,630.616422536075
"1...13",14,30,15,"pursuiter",416.548283671423,208.274141835712,600,361.374778787995,1,617.221473846614
"1...14",15,30,15,"pursuiter",416.548283671423,208.274141835712,645,356.628020358678,1,605.208221180123
"1...15",16,30,15,"pursuiter",416.548283671423,208.274141835712,690,352.321131228682,1,594.331633365328
"1...16",17,30,15,"pursuiter",416.548283671423,208.274141835712,735,348.382745119405,1,584.404425483572
"1...17",18,30,15,"pursuiter",416.548283671423,208.274141835712,780,344.757045264523,1,575.280639338355
"1...18",19,30,15,"pursuiter",416.548283671423,208.274141835712,825,341.399648152192,1,566.844581163826
"1...19",20,30,15,"pursuiter",416.548283671423,208.274141835712,870,338.274744064725,1,559.003171372989
