"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...1",2,30,15,"pursuiter",416.548283671423,208.274141835712,60,0,1397.52004400233
"1...2",3,30,15,"pursuiter",416.548283671423,208.274141835712,105,0,1061.03198082321
"1...3",4,30,15,"pursuiter",416.548283671423,208.274141835712,150,0,896.294415489498
"1...4",5,30,15,"pursuiter",416.548283671423,208.274141835712,195,0,798.923412092446
"1...5",6,30,15,"pursuiter",416.548283671423,208.274141835712,240,0,734.869914766375
"1...6",7,30,15,"pursuiter",416.548283671423,208.274141835712,285,0,689.719308820136
"1...7",8,30,15,"pursuiter",416.548283671423,208.274141835712,330,0,656.321449183745
"1...8",9,30,15,"pursuiter",416.548283671423,208.274141835712,375,0,630.726110113791
"1...9",10,30,15,"pursuiter",416.548283671423,208.274141835712,420,0,610.572798590626
"1...10",11,30,15,"pursuiter",416.548283671423,208.274141835712,465,0,594.363968148784
"1...11",12,30,15,"pursuiter",416.548283671423,208.274141835712,510,0,581.103566498346
"1...12",13,30,15,"pursuiter",416.548283671423,208.274141835712,555,0,570.103230010965
"1...13",14,30,15,"pursuiter",416.548283671423,208.274141835712,600,0,560.871918307405
"1...14",15,30,15,"pursuiter",416.548283671423,208.274141835712,645,0,553.049883942178
"1...15",16,30,15,"pursuiter",416.548283671423,208.274141835712,690,0,546.367502821675
"1...16",17,30,15,"pursuiter",416.548283671423,208.274141835712,735,0,540.618689865361
"1...17",18,30,15,"pursuiter",416.548283671423,208.274141835712,780,0,535.64320752848
"1...18",19,30,15,"pursuiter",416.548283671423,208.274141835712,825,0,531.314579668832
"1...19",20,30,15,"pursuiter",416.548283671423,208.274141835712,870,0,527.531642460523
"1...20",2,60,15,"pursuiter",416.548283671423,208.274141835712,90,0,1450.39946813397
"1...21",3,60,15,"pursuiter",416.548283671423,208.274141835712,165,0,1133.06167830412
"1...22",4,60,15,"pursuiter",416.548283671423,208.274141835712,240,0,979.774386642514
"1...23",5,60,15,"pursuiter",416.548283671423,208.274141835712,315,0,890.833224129062
"1...24",6,60,15,"pursuiter",416.548283671423,208.274141835712,390,0,833.672180721533
"1...25",7,60,15,"pursuiter",416.548283671423,208.274141835712,465,0,794.488340642111
"1...26",8,60,15,"pursuiter",416.548283671423,208.274141835712,540,0,766.426376215695
"1...27",9,60,15,"pursuiter",416.548283671423,208.274141835712,615,0,745.693756040462
"1...28",10,60,15,"pursuiter",416.548283671423,208.274141835712,690,0,730.021122095914
"1...29",11,60,15,"pursuiter",416.548283671423,208.274141835712,765,0,717.967112028581
"1...30",12,60,15,"pursuiter",416.548283671423,208.274141835712,840,0,708.572491071184
"1...31",13,60,15,"pursuiter",416.548283671423,208.274141835712,915,0,701.174595980796
"1...32",14,60,15,"pursuiter",416.548283671423,208.274141835712,990,0,695.30156947465
"1...33",15,60,15,"pursuiter",416.548283671423,208.274141835712,1065,0,690.608988891594
"1...34",16,60,15,"pursuiter",416.548283671423,208.274141835712,1140,0,686.840267104248
"1...35",17,60,15,"pursuiter",416.548283671423,208.274141835712,1215,0,683.801002367045
"1...36",18,60,15,"pursuiter",416.548283671423,208.274141835712,1290,0,681.341837494269
"1...37",19,60,15,"pursuiter",416.548283671423,208.274141835712,1365,0,679.346688596011
"1...38",20,60,15,"pursuiter",416.548283671423,208.274141835712,1440,0,677.72446469199
"1...39",2,90,15,"pursuiter",416.548283671423,208.274141835712,120,0,1502.94641055229
"1...40",3,90,15,"pursuiter",416.548283671423,208.274141835712,225,0,1206.27318479643
"1...41",4,90,15,"pursuiter",416.548283671423,208.274141835712,330,0,1066.18181631966
"1...42",5,90,15,"pursuiter",416.548283671423,208.274141835712,435,0,987.34058287144
"1...43",6,90,15,"pursuiter",416.548283671423,208.274141835712,540,0,938.55074495318
"1...44",7,90,15,"pursuiter",416.548283671423,208.274141835712,645,0,906.564934756868
"1...45",8,90,15,"pursuiter",416.548283671423,208.274141835712,750,0,884.795612196259
"1...46",9,90,15,"pursuiter",416.548283671423,208.274141835712,855,0,869.599511308792
"1...47",10,90,15,"pursuiter",416.548283671423,208.274141835712,960,0,858.803376140027
"1...48",11,90,15,"pursuiter",416.548283671423,208.274141835712,1065,0,851.036886698904
"1...49",12,90,15,"pursuiter",416.548283671423,208.274141835712,1170,0,845.399554929748
"1...50",13,90,15,"pursuiter",416.548283671423,208.274141835712,1275,0,841.281005658692
"1...51",14,90,15,"pursuiter",416.548283671423,208.274141835712,1380,0,838.257751081958
"1...52",15,90,15,"pursuiter",416.548283671423,208.274141835712,1485,0,836.030771590879
"1...53",16,90,15,"pursuiter",416.548283671423,208.274141835712,1590,0,834.386133794337
"1...54",17,90,15,"pursuiter",416.548283671423,208.274141835712,1695,0,833.169259641791
"1...55",18,90,15,"pursuiter",416.548283671423,208.274141835712,1800,0,832.267629053834
"1...56",19,90,15,"pursuiter",416.548283671423,208.274141835712,1905,0,831.598882281351
"1...57",20,90,15,"pursuiter",416.548283671423,208.274141835712,2010,0,831.10248596116
"1...58",2,120,15,"pursuiter",416.548283671423,208.274141835712,150,0,1554.91196498264
"1...59",3,120,15,"pursuiter",416.548283671423,208.274141835712,285,0,1279.93061033786
"1...60",4,120,15,"pursuiter",416.548283671423,208.274141835712,420,0,1154.11243141369
"1...61",5,120,15,"pursuiter",416.548283671423,208.274141835712,555,0,1086.19243210978
"1...62",6,120,15,"pursuiter",416.548283671423,208.274141835712,690,0,1046.24035606206
"1...63",7,120,15,"pursuiter",416.548283671423,208.274141835712,825,0,1021.54446184303
"1...64",8,120,15,"pursuiter",416.548283671423,208.274141835712,960,0,1005.8082373353
"1...65",9,120,15,"pursuiter",416.548283671423,208.274141835712,1095,0,995.5862624929
"1...66",10,120,15,"pursuiter",416.548283671423,208.274141835712,1230,0,988.862997188008
"1...67",11,120,15,"pursuiter",416.548283671423,208.274141835712,1365,0,984.40461631673
"1...68",12,120,15,"pursuiter",416.548283671423,208.274141835712,1500,0,981.432088562224
"1...69",13,120,15,"pursuiter",416.548283671423,208.274141835712,1635,0,979.44305877095
"1...70",14,120,15,"pursuiter",416.548283671423,208.274141835712,1770,0,978.108909833664
"1...71",15,120,15,"pursuiter",416.548283671423,208.274141835712,1905,0,977.212576016588
"1...72",16,120,15,"pursuiter",416.548283671423,208.274141835712,2040,0,976.609729089967
"1...73",17,120,15,"pursuiter",416.548283671423,208.274141835712,2175,0,976.203976235533
"1...74",18,120,15,"pursuiter",416.548283671423,208.274141835712,2310,0,975.930745451473
"1...75",19,120,15,"pursuiter",416.548283671423,208.274141835712,2445,0,975.746693071006
"1...76",20,120,15,"pursuiter",416.548283671423,208.274141835712,2580,0,975.622684961467
"1...77",2,150,15,"pursuiter",416.548283671423,208.274141835712,180,0,1606.0582576006
"1...78",3,150,15,"pursuiter",416.548283671423,208.274141835712,345,0,1353.31015809078
"1...79",4,150,15,"pursuiter",416.548283671423,208.274141835712,510,0,1242.18270450098
"1...80",5,150,15,"pursuiter",416.548283671423,208.274141835712,675,0,1185.21418931236
"1...81",6,150,15,"pursuiter",416.548283671423,208.274141835712,840,0,1153.7111769814
"1...82",7,150,15,"pursuiter",416.548283671423,208.274141835712,1005,0,1135.5578686426
"1...83",8,150,15,"pursuiter",416.548283671423,208.274141835712,1170,0,1124.84819354076
"1...84",9,150,15,"pursuiter",416.548283671423,208.274141835712,1335,0,1118.4420719631
"1...85",10,150,15,"pursuiter",416.548283671423,208.274141835712,1500,0,1114.57847257579
"1...86",11,150,15,"pursuiter",416.548283671423,208.274141835712,1665,0,1112.23670699391
"1...87",12,150,15,"pursuiter",416.548283671423,208.274141835712,1830,0,1110.81306992847
"1...88",13,150,15,"pursuiter",416.548283671423,208.274141835712,1995,0,1109.94601270753
"1...89",14,150,15,"pursuiter",416.548283671423,208.274141835712,2160,0,1109.41734985992
"1...90",15,150,15,"pursuiter",416.548283671423,208.274141835712,2325,0,1109.09479470664
"1...91",16,150,15,"pursuiter",416.548283671423,208.274141835712,2490,0,1108.89791151851
"1...92",17,150,15,"pursuiter",416.548283671423,208.274141835712,2655,0,1108.77770644188
"1...93",18,150,15,"pursuiter",416.548283671423,208.274141835712,2820,0,1108.70430512461
"1...94",19,150,15,"pursuiter",416.548283671423,208.274141835712,2985,0,1108.65947956411
"1...95",20,150,15,"pursuiter",416.548283671423,208.274141835712,3150,0,1108.63210340364
"1...96",2,180,15,"pursuiter",416.548283671423,208.274141835712,210,0,1656.16264798078
"1...97",3,180,15,"pursuiter",416.548283671423,208.274141835712,405,0,1425.72783678588
"1...98",4,180,15,"pursuiter",416.548283671423,208.274141835712,600,0,1329.11586467575
"1...99",5,180,15,"pursuiter",416.548283671423,208.274141835712,795,0,1282.49444203143
"1...100",6,180,15,"pursuiter",416.548283671423,208.274141835712,990,0,1258.4761839031
"1...101",7,180,15,"pursuiter",416.548283671423,208.274141835712,1185,0,1245.68539993307
"1...102",8,180,15,"pursuiter",416.548283671423,208.274141835712,1380,0,1238.75334791269
"1...103",9,180,15,"pursuiter",416.548283671423,208.274141835712,1575,0,1234.96077749602
"1...104",10,180,15,"pursuiter",416.548283671423,208.274141835712,1770,0,1232.87509714361
"1...105",11,180,15,"pursuiter",416.548283671423,208.274141835712,1965,0,1231.7248437655
"1...106",12,180,15,"pursuiter",416.548283671423,208.274141835712,2160,0,1231.08948632619
"1...107",13,180,15,"pursuiter",416.548283671423,208.274141835712,2355,0,1230.73823533913
