"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...1",2,15,15,"sprinter",375.481359910061,187.740679955031,45,664.90931749689,1,1142.07795503875
"1...2",3,15,15,"sprinter",375.481359910061,187.740679955031,75,538.038974024387,1,888.337268093743
"1...3",4,15,15,"sprinter",375.481359910061,187.740679955031,105,476.173807418623,1,764.606934882215
"1...4",5,15,15,"sprinter",375.481359910061,187.740679955031,135,441.379317080446,1,695.017954205862
"1...5",6,15,15,"sprinter",375.481359910061,187.740679955031,165,419.423240991797,1,651.105802028565
"1...6",7,15,15,"sprinter",375.481359910061,187.740679955031,195,404.339981865256,1,620.939283775481
"1...7",8,15,15,"sprinter",375.481359910061,187.740679955031,225,393.327716695965,1,598.9147534369
"1...8",9,15,15,"sprinter",375.481359910061,187.740679955031,255,384.924665952598,1,582.108651950165
"1...9",10,15,15,"sprinter",375.481359910061,187.740679955031,285,378.297084294579,1,568.853488634127
"1...10",11,15,15,"sprinter",375.481359910061,187.740679955031,315,370.318964554109,1,552.897249153187
"1...11",12,15,15,"sprinter",375.481359910061,187.740679955031,345,361.195181580405,1,534.64968320578
"1...12",13,15,15,"sprinter",375.481359910061,187.740679955031,375,353.357710015062,1,518.974740075092
"1...13",14,15,15,"sprinter",375.481359910061,187.740679955031,405,346.526919427927,1,505.313158900824
"1...14",15,15,15,"sprinter",375.481359910061,187.740679955031,435,340.500366453011,1,493.26005295099
"1...15",16,15,15,"sprinter",375.481359910061,187.740679955031,465,335.12769842841,1,482.51471690179
"1...16",17,15,15,"sprinter",375.481359910061,187.740679955031,495,330.294784527938,1,472.848889100846
"1...17",18,15,15,"sprinter",375.481359910061,187.740679955031,525,325.913335048392,1,464.085990141755
"1...18",19,15,15,"sprinter",375.481359910061,187.740679955031,555,321.913910279108,1,456.087140603185
"1...19",20,15,15,"sprinter",375.481359910061,187.740679955031,585,318.241091664453,1,448.741503373875
"1...20",2,30,15,"sprinter",375.481359910061,187.740679955031,60,589.141595507404,1,1423.0435978253
"1...21",3,30,15,"sprinter",375.481359910061,187.740679955031,105,476.173807418623,1,974.567518981938
"1...22",4,30,15,"sprinter",375.481359910061,187.740679955031,150,429.278366110639,1,833.88105112359
"1...23",5,30,15,"sprinter",375.481359910061,187.740679955031,195,404.339981865256,1,763.304236971455
"1...24",6,30,15,"sprinter",375.481359910061,187.740679955031,240,388.862152756957,1,720.626737025824
"1...25",7,30,15,"sprinter",375.481359910061,187.740679955031,285,378.297084294579,1,691.927996155718
"1...26",8,30,15,"sprinter",375.481359910061,187.740679955031,330,365.574819810982,1,658.704954919643
"1...27",9,30,15,"sprinter",375.481359910061,187.740679955031,375,353.357710015062,1,627.268998770333
"1...28",10,30,15,"sprinter",375.481359910061,187.740679955031,420,343.423511595254,1,601.84101299402
"1...29",11,30,15,"sprinter",375.481359910061,187.740679955031,465,335.12769842841,1,580.695038257498
"1...30",12,30,15,"sprinter",375.481359910061,187.740679955031,510,328.0523435615,1,562.721338829199
"1...31",13,30,15,"sprinter",375.481359910061,187.740679955031,555,321.913910279108,1,547.172033555897
"1...32",14,30,15,"sprinter",375.481359910061,187.740679955031,600,316.512815015736,1,533.523528979018
"1...33",15,30,15,"sprinter",375.481359910061,187.740679955031,645,311.704197532447,1,521.397505372623
"1...34",16,30,15,"sprinter",375.481359910061,187.740679955031,690,307.380158228804,1,510.513247456926
"1...35",17,30,15,"sprinter",375.481359910061,187.740679955031,735,303.458525796799,1,500.657680819554
"1...36",18,30,15,"sprinter",375.481359910061,187.740679955031,780,299.87550938785,1,491.665869742554
"1...37",19,30,15,"sprinter",375.481359910061,187.740679955031,825,296.58074909252,1,483.407937390666
"1...38",20,30,15,"sprinter",375.481359910061,187.740679955031,870,293.533895654795,1,475.780061243474
"1...39",2,45,15,"sprinter",375.481359910061,187.740679955031,75,538.038974024387,1,1434.22267824094
"1...40",3,45,15,"sprinter",375.481359910061,187.740679955031,135,441.379317080446,1,977.022530005315
"1...41",4,45,15,"sprinter",375.481359910061,187.740679955031,195,404.339981865256,1,847.851096624648
"1...42",5,45,15,"sprinter",375.481359910061,187.740679955031,255,384.924665952598,1,784.698434225537
"1...43",6,45,15,"sprinter",375.481359910061,187.740679955031,315,370.318964554109,1,739.78679970018
"1...44",7,45,15,"sprinter",375.481359910061,187.740679955031,375,353.357710015062,1,690.666502888041
"1...45",8,45,15,"sprinter",375.481359910061,187.740679955031,435,340.500366453011,1,653.893142690054
"1...46",9,45,15,"sprinter",375.481359910061,187.740679955031,495,330.294784527938,1,624.970519180757
"1...47",10,45,15,"sprinter",375.481359910061,187.740679955031,555,321.913910279108,1,601.386664587764
"1...48",11,45,15,"sprinter",375.481359910061,187.740679955031,615,314.850071643344,1,581.621178473917
"1...49",12,45,15,"sprinter",375.481359910061,187.740679955031,675,308.773171186871,1,564.696107217699
"1...50",13,45,15,"sprinter",375.481359910061,187.740679955031,735,303.458525796799,1,549.951533724605
"1...51",14,45,15,"sprinter",375.481359910061,187.740679955031,795,298.747399350092,1,536.924543256961
"1...52",15,45,15,"sprinter",375.481359910061,187.740679955031,855,294.524125021649,1,525.27984054083
"1...53",16,45,15,"sprinter",375.481359910061,187.740679955031,915,290.702193166192,1,514.767939590858
"1...54",17,45,15,"sprinter",375.481359910061,187.740679955031,975,287.215443962117,1,505.198895698673
"1...55",18,45,15,"sprinter",375.481359910061,187.740679955031,1035,284.012297271552,1,496.425207312115
"1...56",19,45,15,"sprinter",375.481359910061,187.740679955031,1095,281.051858860982,1,488.330342634495
"1...57",20,45,15,"sprinter",375.481359910061,187.740679955031,1155,278.301224195546,1,480.820834062093
"1...58",2,60,15,"sprinter",375.481359910061,187.740679955031,90,502.221152057916,1,1434.31743373702
"1...59",3,60,15,"sprinter",375.481359910061,187.740679955031,165,419.423240991797,1,985.173621594281
"1...60",4,60,15,"sprinter",375.481359910061,187.740679955031,240,388.862152756957,1,864.99244397813
"1...61",5,60,15,"sprinter",375.481359910061,187.740679955031,315,370.318964554109,1,799.316755102293
"1...62",6,60,15,"sprinter",375.481359910061,187.740679955031,390,349.830589866766,1,733.753307597343
"1...63",7,60,15,"sprinter",375.481359910061,187.740679955031,465,335.12769842841,1,687.703204769286
"1...64",8,60,15,"sprinter",375.481359910061,187.740679955031,540,323.869616322521,1,652.959992365415
"1...65",9,60,15,"sprinter",375.481359910061,187.740679955031,615,314.850071643344,1,625.427602720538
"1...66",10,60,15,"sprinter",375.481359910061,187.740679955031,690,307.380158228804,1,602.817677187196
"1...67",11,60,15,"sprinter",375.481359910061,187.740679955031,765,301.035566528866,1,583.743551009911
"1...68",12,60,15,"sprinter",375.481359910061,187.740679955031,840,295.53934078974,1,567.311530905781
"1...69",13,60,15,"sprinter",375.481359910061,187.740679955031,915,290.702193166192,1,552.917045847578
"1...70",14,60,15,"sprinter",375.481359910061,187.740679955031,990,286.389825474357,1,540.13479745926
"1...71",15,60,15,"sprinter",375.481359910061,187.740679955031,1065,282.503957853199,1,528.65579522808
"1...72",16,60,15,"sprinter",375.481359910061,187.740679955031,1140,278.970770161401,1,518.249396200261
"1...73",17,60,15,"sprinter",375.481359910061,187.740679955031,1215,275.733568659606,1,508.739434476729
"1...74",18,60,15,"sprinter",375.481359910061,187.740679955031,1290,272.747970226015,1,499.98866487469
"1...75",19,60,15,"sprinter",375.481359910061,187.740679955031,1365,269.978644470979,1,491.88830900186
"1...76",20,60,15,"sprinter",375.481359910061,187.740679955031,1440,267.397052007103,1,484.350840424313
"1...77",2,75,15,"sprinter",375.481359910061,187.740679955031,105,476.173807418623,1,1434.46378232464
"1...78",3,75,15,"sprinter",375.481359910061,187.740679955031,195,404.339981865256,1,996.554359987286
"1...79",4,75,15,"sprinter",375.481359910061,187.740679955031,285,378.297084294579,1,883.150444956229
"1...80",5,75,15,"sprinter",375.481359910061,187.740679955031,375,353.357710015062,1,793.395872152128
"1...81",6,75,15,"sprinter",375.481359910061,187.740679955031,465,335.12769842841,1,731.067047790231
"1...82",7,75,15,"sprinter",375.481359910061,187.740679955031,555,321.913910279108,1,686.963750814702
"1...83",8,75,15,"sprinter",375.481359910061,187.740679955031,645,311.704197532447,1,653.450291351905
"1...84",9,75,15,"sprinter",375.481359910061,187.740679955031,735,303.458525796799,1,626.715727139055
"1...85",10,75,15,"sprinter",375.481359910061,187.740679955031,825,296.58074909252,1,604.628240424908
"1...86",11,75,15,"sprinter",375.481359910061,187.740679955031,915,290.702193166192,1,585.893283739721
"1...87",12,75,15,"sprinter",375.481359910061,187.740679955031,1005,285.58119041226,1,569.674355100812
"1...88",13,75,15,"sprinter",375.481359910061,187.740679955031,1095,281.051858860982,1,555.403939151784
"1...89",14,75,15,"sprinter",375.481359910061,187.740679955031,1185,276.996003622303,1,542.681595312056
