"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...1",2,15,15,"sprinter",375.481359910061,187.740679955031,45,0,1393.82490828218
"1...2",3,15,15,"sprinter",375.481359910061,187.740679955031,75,0,1019.50976436182
"1...3",4,15,15,"sprinter",375.481359910061,187.740679955031,105,0,835.573856971403
"1...4",5,15,15,"sprinter",375.481359910061,187.740679955031,135,0,726.269945245221
"1...5",6,15,15,"sprinter",375.481359910061,187.740679955031,165,0,653.869184634833
"1...6",7,15,15,"sprinter",375.481359910061,187.740679955031,195,0,602.406151745747
"1...7",8,15,15,"sprinter",375.481359910061,187.740679955031,225,0,563.96416907526
"1...8",9,15,15,"sprinter",375.481359910061,187.740679955031,255,0,534.170925234594
"1...9",10,15,15,"sprinter",375.481359910061,187.740679955031,285,0,510.414581614661
"1...10",11,15,15,"sprinter",375.481359910061,187.740679955031,315,0,491.038753420135
"1...11",12,15,15,"sprinter",375.481359910061,187.740679955031,345,0,474.942214190075
"1...12",13,15,15,"sprinter",375.481359910061,187.740679955031,375,0,461.364289739909
"1...13",14,15,15,"sprinter",375.481359910061,187.740679955031,405,0,449.762659422459
"1...14",15,15,15,"sprinter",375.481359910061,187.740679955031,435,0,439.740251741049
"1...15",16,15,15,"sprinter",375.481359910061,187.740679955031,465,0,430.999667049467
"1...16",17,15,15,"sprinter",375.481359910061,187.740679955031,495,0,423.313748717812
"1...17",18,15,15,"sprinter",375.481359910061,187.740679955031,525,0,416.505999818802
"1...18",19,15,15,"sprinter",375.481359910061,187.740679955031,555,0,410.437205461715
"1...19",20,15,15,"sprinter",375.481359910061,187.740679955031,585,0,404.996081644818
"1...20",2,30,15,"sprinter",375.481359910061,187.740679955031,60,0,1412.97842565916
"1...21",3,30,15,"sprinter",375.481359910061,187.740679955031,105,0,1044.88262687509
"1...22",4,30,15,"sprinter",375.481359910061,187.740679955031,150,0,864.246795603889
"1...23",5,30,15,"sprinter",375.481359910061,187.740679955031,195,0,757.12082968615
"1...24",6,30,15,"sprinter",375.481359910061,187.740679955031,240,0,686.348497229605
"1...25",7,30,15,"sprinter",375.481359910061,187.740679955031,285,0,636.203409438599
"1...26",8,30,15,"sprinter",375.481359910061,187.740679955031,330,0,598.886265353143
"1...27",9,30,15,"sprinter",375.481359910061,187.740679955031,375,0,570.089057078634
"1...28",10,30,15,"sprinter",375.481359910061,187.740679955031,420,0,547.238068575552
"1...29",11,30,15,"sprinter",375.481359910061,187.740679955031,465,0,528.700904250342
"1...30",12,30,15,"sprinter",375.481359910061,187.740679955031,510,0,513.392150903973
"1...31",13,30,15,"sprinter",375.481359910061,187.740679955031,555,0,500.561951619596
"1...32",14,30,15,"sprinter",375.481359910061,187.740679955031,600,0,489.67561136444
"1...33",15,30,15,"sprinter",375.481359910061,187.740679955031,645,0,480.341568957649
"1...34",16,30,15,"sprinter",375.481359910061,187.740679955031,690,0,472.266489265917
"1...35",17,30,15,"sprinter",375.481359910061,187.740679955031,735,0,465.226265834032
"1...36",18,30,15,"sprinter",375.481359910061,187.740679955031,780,0,459.046724243766
"1...37",19,30,15,"sprinter",375.481359910061,187.740679955031,825,0,453.59044003352
"1...38",20,30,15,"sprinter",375.481359910061,187.740679955031,870,0,448.747524129455
"1...39",2,45,15,"sprinter",375.481359910061,187.740679955031,75,0,1432.13279025521
"1...40",3,45,15,"sprinter",375.481359910061,187.740679955031,135,0,1070.51450706913
"1...41",4,45,15,"sprinter",375.481359910061,187.740679955031,195,0,893.487638873195
"1...42",5,45,15,"sprinter",375.481359910061,187.740679955031,255,0,788.864419283443
"1...43",6,45,15,"sprinter",375.481359910061,187.740679955031,315,0,720.049888984698
"1...44",7,45,15,"sprinter",375.481359910061,187.740679955031,375,0,671.551520105749
"1...45",8,45,15,"sprinter",375.481359910061,187.740679955031,435,0,635.684435414267
"1...46",9,45,15,"sprinter",375.481359910061,187.740679955031,495,0,608.202956568974
"1...47",10,45,15,"sprinter",375.481359910061,187.740679955031,555,0,586.57001908818
"1...48",11,45,15,"sprinter",375.481359910061,187.740679955031,615,0,569.176040080539
"1...49",12,45,15,"sprinter",375.481359910061,187.740679955031,675,0,554.950437161428
"1...50",13,45,15,"sprinter",375.481359910061,187.740679955031,735,0,543.153330231796
"1...51",14,45,15,"sprinter",375.481359910061,187.740679955031,795,0,533.256922842163
"1...52",15,45,15,"sprinter",375.481359910061,187.740679955031,855,0,524.874533998309
"1...53",16,45,15,"sprinter",375.481359910061,187.740679955031,915,0,517.716349784825
"1...54",17,45,15,"sprinter",375.481359910061,187.740679955031,975,0,511.560850917916
"1...55",18,45,15,"sprinter",375.481359910061,187.740679955031,1035,0,506.235798165331
"1...56",19,45,15,"sprinter",375.481359910061,187.740679955031,1095,0,501.605242270602
"1...57",20,45,15,"sprinter",375.481359910061,187.740679955031,1155,0,497.560442891884
"1...58",2,60,15,"sprinter",375.481359910061,187.740679955031,90,0,1451.27747372335
"1...59",3,60,15,"sprinter",375.481359910061,187.740679955031,165,0,1096.37708427513
"1...60",4,60,15,"sprinter",375.481359910061,187.740679955031,240,0,923.246041031033
"1...61",5,60,15,"sprinter",375.481359910061,187.740679955031,315,0,821.423612858486
"1...62",6,60,15,"sprinter",375.481359910061,187.740679955031,390,0,754.863952942962
"1...63",7,60,15,"sprinter",375.481359910061,187.740679955031,465,0,708.30240369255
"1...64",8,60,15,"sprinter",375.481359910061,187.740679955031,540,0,674.164823095063
"1...65",9,60,15,"sprinter",375.481359910061,187.740679955031,615,0,648.265264603744
"1...66",10,60,15,"sprinter",375.481359910061,187.740679955031,690,0,628.101348108208
"1...67",11,60,15,"sprinter",375.481359910061,187.740679955031,765,0,612.084767177886
"1...68",12,60,15,"sprinter",375.481359910061,187.740679955031,840,0,599.158568706959
"1...69",13,60,15,"sprinter",375.481359910061,187.740679955031,915,0,588.591931126749
"1...70",14,60,15,"sprinter",375.481359910061,187.740679955031,990,0,579.863290434304
"1...71",15,60,15,"sprinter",375.481359910061,187.740679955031,1065,0,572.590410067327
"1...72",16,60,15,"sprinter",375.481359910061,187.740679955031,1140,0,566.486774260584
"1...73",17,60,15,"sprinter",375.481359910061,187.740679955031,1215,0,561.333424338939
"1...74",18,60,15,"sprinter",375.481359910061,187.740679955031,1290,0,556.960210308329
"1...75",19,60,15,"sprinter",375.481359910061,187.740679955031,1365,0,553.232976664857
"1...76",20,60,15,"sprinter",375.481359910061,187.740679955031,1440,0,550.044598346198
"1...77",2,75,15,"sprinter",375.481359910061,187.740679955031,105,0,1470.40196899023
"1...78",3,75,15,"sprinter",375.481359910061,187.740679955031,195,0,1122.44137072634
"1...79",4,75,15,"sprinter",375.481359910061,187.740679955031,285,0,953.469219484791
"1...80",5,75,15,"sprinter",375.481359910061,187.740679955031,375,0,854.715797006912
"1...81",6,75,15,"sprinter",375.481359910061,187.740679955031,465,0,790.671281623084
"1...82",7,75,15,"sprinter",375.481359910061,187.740679955031,555,0,746.292102486826
"1...83",8,75,15,"sprinter",375.481359910061,187.740679955031,645,0,714.110593299109
"1...84",9,75,15,"sprinter",375.481359910061,187.740679955031,735,0,689.997624876068
"1...85",10,75,15,"sprinter",375.481359910061,187.740679955031,825,0,671.483482141619
"1...86",11,75,15,"sprinter",375.481359910061,187.740679955031,915,0,656.999807618341
"1...87",12,75,15,"sprinter",375.481359910061,187.740679955031,1005,0,645.502531428697
"1...88",13,75,15,"sprinter",375.481359910061,187.740679955031,1095,0,636.26965199994
"1...89",14,75,15,"sprinter",375.481359910061,187.740679955031,1185,0,628.786046706321
"1...90",15,75,15,"sprinter",375.481359910061,187.740679955031,1275,0,622.674524448444
"1...91",16,75,15,"sprinter",375.481359910061,187.740679955031,1365,0,617.652806590404
"1...92",17,75,15,"sprinter",375.481359910061,187.740679955031,1455,0,613.505718178534
"1...93",18,75,15,"sprinter",375.481359910061,187.740679955031,1545,0,610.066652535208
"1...94",19,75,15,"sprinter",375.481359910061,187.740679955031,1635,0,607.204881232427
"1...95",20,75,15,"sprinter",375.481359910061,187.740679955031,1725,0,604.816657720405
"1...96",2,90,15,"sprinter",375.481359910061,187.740679955031,120,0,1489.49581329275
"1...97",3,90,15,"sprinter",375.481359910061,187.740679955031,225,0,1148.67785088324
"1...98",4,90,15,"sprinter",375.481359910061,187.740679955031,330,0,984.102401755792
"1...99",5,90,15,"sprinter",375.481359910061,187.740679955031,435,0,888.653944798695
"1...100",6,90,15,"sprinter",375.481359910061,187.740679955031,540,0,827.344773352954
"1...101",7,90,15,"sprinter",375.481359910061,187.740679955031,645,0,785.345116524737
"1...102",8,90,15,"sprinter",375.481359910061,187.740679955031,750,0,755.289422647397
"1...103",9,90,15,"sprinter",375.481359910061,187.740679955031,855,0,733.102777159206
"1...104",10,90,15,"sprinter",375.481359910061,187.740679955031,960,0,716.346811679396
"1...105",11,90,15,"sprinter",375.481359910061,187.740679955031,1065,0,703.472832837489
"1...106",12,90,15,"sprinter",375.481359910061,187.740679955031,1170,0,693.450228334953
"1...107",13,90,15,"sprinter",375.481359910061,187.740679955031,1275,0,685.567102359254
"1...108",14,90,15,"sprinter",375.481359910061,187.740679955031,1380,0,679.316632855957
"1...109",15,90,15,"sprinter",375.481359910061,187.740679955031,1485,0,674.328974600578
"1...110",16,90,15,"sprinter",375.481359910061,187.740679955031,1590,0,670.328702113375
"1...111",17,90,15,"sprinter",375.481359910061,187.740679955031,1695,0,667.107239224611
"1...112",18,90,15,"sprinter",375.481359910061,187.740679955031,1800,0,664.504431636411
"1...113",19,90,15,"sprinter",375.481359910061,187.740679955031,1905,0,662.395889542759
"1...114",20,90,15,"sprinter",375.481359910061,187.740679955031,2010,0,660.684082113743
"1...115",2,105,15,"sprinter",375.481359910061,187.740679955031,135,0,1508.54861100835
"1...116",3,105,15,"sprinter",375.481359910061,187.740679955031,255,0,1175.05662362832
"1...117",4,105,15,"sprinter",375.481359910061,187.740679955031,375,0,1015.08929066699
"1...118",5,105,15,"sprinter",375.481359910061,187.740679955031,495,0,923.147770210247
"1...119",6,105,15,"sprinter",375.481359910061,187.740679955031,615,0,864.752054244403
"1...120",7,105,15,"sprinter",375.481359910061,187.740679955031,735,0,825.278911849296
"1...121",8,105,15,"sprinter",375.481359910061,187.740679955031,855,0,797.461148661323
"1...122",9,105,15,"sprinter",375.481359910061,187.740679955031,975,0,777.276593515869
"1...123",10,105,15,"sprinter",375.481359910061,187.740679955031,1095,0,762.318466924825
"1...124",11,105,15,"sprinter",375.481359910061,187.740679955031,1215,0,751.059317567327
"1...125",12,105,15,"sprinter",375.481359910061,187.740679955031,1335,0,742.484592015228
"1...126",13,105,15,"sprinter",375.481359910061,187.740679955031,1455,0,735.895841648975
"1...127",14,105,15,"sprinter",375.481359910061,187.740679955031,1575,0,730.798366899481
"1...128",15,105,15,"sprinter",375.481359910061,187.740679955031,1695,0,726.833738399708
"1...129",16,105,15,"sprinter",375.481359910061,187.740679955031,1815,0,723.737501863895
"1...130",17,105,15,"sprinter",375.481359910061,187.740679955031,1935,0,721.311682003419
"1...131",18,105,15,"sprinter",375.481359910061,187.740679955031,2055,0,719.406336260142
"1...132",19,105,15,"sprinter",375.481359910061,187.740679955031,2175,0,717.906839278022
"1...133",20,105,15,"sprinter",375.481359910061,187.740679955031,2295,0,716.724910353955
"1...134",2,120,15,"sprinter",375.481359910061,187.740679955031,150,0,1527.55005617331
"1...135",3,120,15,"sprinter",375.481359910061,187.740679955031,285,0,1201.54754585928
"1...136",4,120,15,"sprinter",375.481359910061,187.740679955031,420,0,1046.37253917074
"1...137",5,120,15,"sprinter",375.481359910061,187.740679955031,555,0,958.104905108769
"1...138",6,120,15,"sprinter",375.481359910061,187.740679955031,690,0,902.757917348146
"1...139",7,120,15,"sprinter",375.481359910061,187.740679955031,825,0,865.908360316968
"1...140",8,120,15,"sprinter",375.481359910061,187.740679955031,960,0,840.385068134525
"1...141",9,120,15,"sprinter",375.481359910061,187.740679955031,1095,0,822.219106549696
"1...142",10,120,15,"sprinter",375.481359910061,187.740679955031,1230,0,809.037819583125
"1...143",11,120,15,"sprinter",375.481359910061,187.740679955031,1365,0,799.33897477077
"1...144",12,120,15,"sprinter",375.481359910061,187.740679955031,1500,0,792.128979606743
"1...145",13,120,15,"sprinter",375.481359910061,187.740679955031,1635,0,786.72820933657
"1...146",14,120,15,"sprinter",375.481359910061,187.740679955031,1770,0,782.659559547873
"1...147",15,120,15,"sprinter",375.481359910061,187.740679955031,1905,0,779.58128545331
"1...148",16,120,15,"sprinter",375.481359910061,187.740679955031,2040,0,777.244748946719
"1...149",17,120,15,"sprinter",375.481359910061,187.740679955031,2175,0,775.466852761726
"1...150",18,120,15,"sprinter",375.481359910061,187.740679955031,2310,0,774.111497792345
"1...151",19,120,15,"sprinter",375.481359910061,187.740679955031,2445,0,773.076786433149
"1...152",20,120,15,"sprinter",375.481359910061,187.740679955031,2580,0,772.286001746671
"1...153",2,135,15,"sprinter",375.481359910061,187.740679955031,165,0,1546.4899545861
"1...154",3,135,15,"sprinter",375.481359910061,187.740679955031,315,0,1228.12037601219
"1...155",4,135,15,"sprinter",375.481359910061,187.740679955031,465,0,1077.89422625425
"1...156",5,135,15,"sprinter",375.481359910061,187.740679955031,615,0,993.432066399257
"1...157",6,135,15,"sprinter",375.481359910061,187.740679955031,765,0,941.226686575089
"1...158",7,135,15,"sprinter",375.481359910061,187.740679955031,915,0,907.049897155444
"1...159",8,135,15,"sprinter",375.481359910061,187.740679955031,1065,0,883.826467300177
"1...160",9,135,15,"sprinter",375.481359910061,187.740679955031,1215,0,867.643827158227
"1...161",10,135,15,"sprinter",375.481359910061,187.740679955031,1365,0,856.168684712524
"1...162",11,135,15,"sprinter",375.481359910061,187.740679955031,1515,0,847.930488621143
"1...163",12,135,15,"sprinter",375.481359910061,187.740679955031,1665,0,841.963553689509
"1...164",13,135,15,"sprinter",375.481359910061,187.740679955031,1815,0,837.613925722599
"1...165",14,135,15,"sprinter",375.481359910061,187.740679955031,1965,0,834.428416643671
"1...166",15,135,15,"sprinter",375.481359910061,187.740679955031,2115,0,832.087486961779
"1...167",16,135,15,"sprinter",375.481359910061,187.740679955031,2265,0,830.362892255455
"1...168",17,135,15,"sprinter",375.481359910061,187.740679955031,2415,0,829.090011083878
"1...169",18,135,15,"sprinter",375.481359910061,187.740679955031,2565,0,828.149247348097
"1...170",19,135,15,"sprinter",375.481359910061,187.740679955031,2715,0,827.453245083874
"1...171",20,135,15,"sprinter",375.481359910061,187.740679955031,2865,0,826.937940175642
"1...172",2,150,15,"sprinter",375.481359910061,187.740679955031,180,0,1565.35824539599
"1...173",3,150,15,"sprinter",375.481359910061,187.740679955031,345,0,1254.74491607442
"1...174",4,150,15,"sprinter",375.481359910061,187.740679955031,510,0,1109.59632564393
"1...175",5,150,15,"sprinter",375.481359910061,187.740679955031,675,0,1029.03618317322
"1...176",6,150,15,"sprinter",375.481359910061,187.740679955031,840,0,980.024424436934
"1...177",7,150,15,"sprinter",375.481359910061,187.740679955031,1005,0,948.525224945492
"1...178",8,150,15,"sprinter",375.481359910061,187.740679955031,1170,0,927.562089520858
"1...179",9,150,15,"sprinter",375.481359910061,187.740679955031,1335,0,913.284944531251
"1...180",10,150,15,"sprinter",375.481359910061,187.740679955031,1500,0,903.407804228022
"1...181",11,150,15,"sprinter",375.481359910061,187.740679955031,1665,0,896.500361460762
"1...182",12,150,15,"sprinter",375.481359910061,187.740679955031,1830,0,891.633127108036
"1...183",13,150,15,"sprinter",375.481359910061,187.740679955031,1995,0,888.185223895658
"1...184",14,150,15,"sprinter",375.481359910061,187.740679955031,2160,0,885.733556997563
"1...185",15,150,15,"sprinter",375.481359910061,187.740679955031,2325,0,883.985607787841
"1...186",16,150,15,"sprinter",375.481359910061,187.740679955031,2490,0,882.737007153251
"1...187",17,150,15,"sprinter",375.481359910061,187.740679955031,2655,0,881.843888497812
"1...188",18,150,15,"sprinter",375.481359910061,187.740679955031,2820,0,881.204422681114
"1...189",19,150,15,"sprinter",375.481359910061,187.740679955031,2985,0,880.746251238475
"1...190",20,150,15,"sprinter",375.481359910061,187.740679955031,3150,0,880.417811707242
"1...191",2,165,15,"sprinter",375.481359910061,187.740679955031,195,0,1584.14502208129
"1...192",3,165,15,"sprinter",375.481359910061,187.740679955031,375,0,1281.39115069923
"1...193",4,165,15,"sprinter",375.481359910061,187.740679955031,555,0,1141.42115954721
"1...194",5,165,15,"sprinter",375.481359910061,187.740679955031,735,0,1064.82545713447
"1...195",6,165,15,"sprinter",375.481359910061,187.740679955031,915,0,1019.02091807901
"1...196",7,165,15,"sprinter",375.481359910061,187.740679955031,1095,0,990.164443674438
