"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...1",2,15,15,"time-trialist",382.014826073375,191.007413036687,45,567.079650654026,1,943.151888271364
"1...2",3,15,15,"time-trialist",382.014826073375,191.007413036687,75,482.84765103289,1,774.687889029092
"1...3",4,15,15,"time-trialist",382.014826073375,191.007413036687,105,443.361920800624,1,695.716428564561
"1...4",5,15,15,"time-trialist",382.014826073375,191.007413036687,135,421.793305843176,1,652.579198649664
"1...5",6,15,15,"time-trialist",382.014826073375,191.007413036687,165,408.422610300459,1,625.837807564232
"1...6",7,15,15,"time-trialist",382.014826073375,191.007413036687,195,399.322491296225,1,607.637569555762
"1...7",8,15,15,"time-trialist",382.014826073375,191.007413036687,225,392.707883059244,1,594.408353081802
"1...8",9,15,15,"time-trialist",382.014826073375,191.007413036687,255,387.670497977791,1,584.333582918895
"1...9",10,15,15,"time-trialist",382.014826073375,191.007413036687,285,383.700826407106,1,576.394239777525
"1...10",11,15,15,"time-trialist",382.014826073375,191.007413036687,315,378.546383790588,1,566.085354544488
"1...11",12,15,15,"time-trialist",382.014826073375,191.007413036687,345,372.41488199882,1,553.822350960952
"1...12",13,15,15,"time-trialist",382.014826073375,191.007413036687,375,367.145113982902,1,543.282814929117
"1...13",14,15,15,"time-trialist",382.014826073375,191.007413036687,405,362.549129520276,1,534.090846003865
"1...14",15,15,15,"time-trialist",382.014826073375,191.007413036687,435,358.491075168214,1,525.974737299741
"1...15",16,15,15,"time-trialist",382.014826073375,191.007413036687,465,354.870180876606,1,518.732948716524
"1...16",17,15,15,"time-trialist",382.014826073375,191.007413036687,495,351.610031959207,1,512.212650881726
"1...17",18,15,15,"time-trialist",382.014826073375,191.007413036687,525,348.651565786666,1,506.295718536645
"1...18",19,15,15,"time-trialist",382.014826073375,191.007413036687,555,345.948362912298,1,500.889312787909
"1...19",20,15,15,"time-trialist",382.014826073375,191.007413036687,585,343.463398980436,1,495.919384924185
"1...20",2,30,15,"time-trialist",382.014826073375,191.007413036687,60,516.349749187051,1,1200.31300537768
"1...21",3,30,15,"time-trialist",382.014826073375,191.007413036687,105,443.361920800624,1,883.985723320399
"1...22",4,30,15,"time-trialist",382.014826073375,191.007413036687,150,414.403413763653,1,791.39160612094
"1...23",5,30,15,"time-trialist",382.014826073375,191.007413036687,195,399.322491296225,1,746.173017442532
"1...24",6,30,15,"time-trialist",382.014826073375,191.007413036687,240,390.030136907777,1,719.125363717566
"1...25",7,30,15,"time-trialist",382.014826073375,191.007413036687,285,383.700826407106,1,701.022906549738
"1...26",8,30,15,"time-trialist",382.014826073375,191.007413036687,330,375.358473531691,1,678.694354249931
"1...27",9,30,15,"time-trialist",382.014826073375,191.007413036687,375,367.145113982902,1,657.179628396266
"1...28",10,30,15,"time-trialist",382.014826073375,191.007413036687,420,360.45983292652,1,639.777005141969
"1...29",11,30,15,"time-trialist",382.014826073375,191.007413036687,465,354.870180876606,1,625.300010262372
"1...30",12,30,15,"time-trialist",382.014826073375,191.007413036687,510,350.096242360793,1,612.98769216302
"1...31",13,30,15,"time-trialist",382.014826073375,191.007413036687,555,345.948362912298,1,602.328231249667
"1...32",14,30,15,"time-trialist",382.014826073375,191.007413036687,600,342.293177455806,1,592.96386675096
"1...33",15,30,15,"time-trialist",382.014826073375,191.007413036687,645,339.033961583217,1,584.636431692546
"1...34",16,30,15,"time-trialist",382.014826073375,191.007413036687,690,336.098710183323,1,577.154564194763
"1...35",17,30,15,"time-trialist",382.014826073375,191.007413036687,735,333.432608986284,1,570.373134905936
"1...36",18,30,15,"time-trialist",382.014826073375,191.007413036687,780,330.993115368358,1,564.179878239038
"1...37",19,30,15,"time-trialist",382.014826073375,191.007413036687,825,328.746648075872,1,558.486438563597
"1...38",20,30,15,"time-trialist",382.014826073375,191.007413036687,870,326.666301692234,1,553.222213637556
"1...39",2,45,15,"time-trialist",382.014826073375,191.007413036687,75,482.84765103289,1,1243.0987637947
"1...40",3,45,15,"time-trialist",382.014826073375,191.007413036687,135,421.793305843176,1,915.600538493222
"1...41",4,45,15,"time-trialist",382.014826073375,191.007413036687,195,399.322491296225,1,828.986284107606
"1...42",5,45,15,"time-trialist",382.014826073375,191.007413036687,255,387.670497977791,1,787.475678810758
"1...43",6,45,15,"time-trialist",382.014826073375,191.007413036687,315,378.546383790588,1,757.53225240223
"1...44",7,45,15,"time-trialist",382.014826073375,191.007413036687,375,367.145113982902,1,723.453462817807
"1...45",8,45,15,"time-trialist",382.014826073375,191.007413036687,435,358.491075168214,1,697.968692466611
"1...46",9,45,15,"time-trialist",382.014826073375,191.007413036687,495,351.610031959207,1,677.931100478288
"1...47",10,45,15,"time-trialist",382.014826073375,191.007413036687,555,345.948362912298,1,661.589650012246
"1...48",11,45,15,"time-trialist",382.014826073375,191.007413036687,615,341.166753548912,1,647.88767389628
"1...49",12,45,15,"time-trialist",382.014826073375,191.007413036687,675,337.044806200433,1,636.147074991356
"1...50",13,45,15,"time-trialist",382.014826073375,191.007413036687,735,333.432608986284,1,625.911110098362
"1...51",14,45,15,"time-trialist",382.014826073375,191.007413036687,795,330.22429377022,1,616.859846023439
