"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...1",2,15,15,"time trialist",382.014826073375,191.007413036687,45,0,1076.97891817028
"1...2",3,15,15,"time trialist",382.014826073375,191.007413036687,75,0,833.465734896216
"1...3",4,15,15,"time trialist",382.014826073375,191.007413036687,105,0,714.059474491055
"1...4",5,15,15,"time trialist",382.014826073375,191.007413036687,135,0,643.325081930783
"1...5",6,15,15,"time trialist",382.014826073375,191.007413036687,165,0,596.661802441325
"1...6",7,15,15,"time trialist",382.014826073375,191.007413036687,195,0,563.656484972166
"1...7",8,15,15,"time trialist",382.014826073375,191.007413036687,225,0,539.144516940631
"1...8",9,15,15,"time trialist",382.014826073375,191.007413036687,255,0,520.273001511731
"1...9",10,15,15,"time trialist",382.014826073375,191.007413036687,285,0,505.33742798399
"1...10",11,15,15,"time trialist",382.014826073375,191.007413036687,315,0,493.256615587983
"1...11",12,15,15,"time trialist",382.014826073375,191.007413036687,345,0,483.311599538198
"1...12",13,15,15,"time trialist",382.014826073375,191.007413036687,375,0,475.005630384797
"1...13",14,15,15,"time trialist",382.014826073375,191.007413036687,405,0,467.984450680905
"1...14",15,15,15,"time trialist",382.014826073375,191.007413036687,435,0,461.988598463327
"1...15",16,15,15,"time trialist",382.014826073375,191.007413036687,465,0,456.823669265956
"1...16",17,15,15,"time trialist",382.014826073375,191.007413036687,495,0,452.341113877297
"1...17",18,15,15,"time trialist",382.014826073375,191.007413036687,525,0,448.425459892755
"1...18",19,15,15,"time trialist",382.014826073375,191.007413036687,555,0,444.985582336431
"1...19",20,15,15,"time trialist",382.014826073375,191.007413036687,585,0,441.948601580261
"1...20",2,30,15,"time trialist",382.014826073375,191.007413036687,60,0,1107.22277621231
"1...21",3,30,15,"time trialist",382.014826073375,191.007413036687,105,0,874.339783678194
"1...22",4,30,15,"time trialist",382.014826073375,191.007413036687,150,0,761.107326371049
"1...23",5,30,15,"time trialist",382.014826073375,191.007413036687,195,0,694.815490989681
"1...24",6,30,15,"time trialist",382.014826073375,191.007413036687,240,0,651.729647208522
"1...25",7,30,15,"time trialist",382.014826073375,191.007413036687,285,0,621.795832668169
"1...26",8,30,15,"time trialist",382.014826073375,191.007413036687,330,0,600.023844895932
"1...27",9,30,15,"time trialist",382.014826073375,191.007413036687,375,0,583.654804509586
